报告日期,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),5.85,5.66,5.53,5.38,5.32,5.25,5.21,5.14,5.11,5.08,5.07,6.48,5.62,4.94,4.79,4.66,4.49,4.41,4.25,4.14,4.07,4.03,3.86,1.75,0.38,0,0,
每股经营活动产生的现金流量净额(元),0.86,0,0,0,-0.13,0,0,0,0.21,0,0,0,0.21,0,0,0,0.04,0,0.05,0,0.35,0.29,0.24,0.25,0,--,--,
主营业务收入(万元),347654,255822,161212,77284,275460,198015,133899,66682,258731,203055,126153,87831,256186,201938,120516,62457,182931,132841,75122,33144,128976,50404,124620,63407,102554,97101,104254,
主营业务利润(万元),59400,39340,25453,10603,36378,25351,16827,6048,33561,26340,21692,10452,46271,35016,23840,11471,33773,20569,11583,4625,17789,9839,18892,9781,18059,6949,11115,
营业利润(万元),36068,20709,13871,4536,15250,9478,6575,1976,13319,12810,11708,5447,19274,15772,11062,6172,18430,11649,6302,2385,8318,5119,10284,5326,8659,559,3574,
投资收益(万元),0,0,0,0,0,0,0,0,-310,0,0,0,0,0,-73,0,203,0,0,0,1616,1176,1317,0,0,0,0,
营业外收支净额(万元),-4172,0,0,0,-2257,0,0,0,-377,0,0,0,-402,-234,0,-88,-557,-195,-131,0,-319,0,62,0,0,--,--,
利润总额(万元),31896,20412,13627,4292,12998,9204,6340,1890,12633,12083,11243,5508,18840,15461,10785,6013,18080,11646,6369,2486,9832,6100,11662,5229,8343,456,2903,
净利润(万元),27827,18655,11902,3640,11232,7843,5489,1608,10759,10132,9391,4643,16836,13399,8995,5038,16676,9895,5361,2113,8926,5649,9810,4431,7108,428,2830,
净利润(扣除非经常性损益后)(万元),28812,0,12110,0,13147,0,5759,0,11341,0,9479,0,17204,0,8984,0,16885,9875,5350,0,7590,4523,8287,4428,0,--,--,
经营活动产生的现金流量净额(万元),46795,27612,12809,11673,-6755,4068,14466,-8421,11440,-3535,-792,-12903,6137,1348,9598,2606,1081,0,1408,0,10352,8540,7052,4573,0,--,--,
现金及现金等价物净增加额(万元),13225,7013,-2915,-9519,-5099,-13965,150,-13877,24410,14053,18511,4367,-7290,-6704,1359,2858,-11348,0,-16915,0,-32857,-5586,56521,43,0,--,--,
总资产(万元),694418,595004,519165,458481,444337,372912,365020,360223,356643,355713,357185,351812,330282,324250,326154,319417,322428,280952,264013,253379,250353,235201,202598,83771,83200,69427,67052,
流动资产(万元),183860,174769,162136,147912,171232,138430,135903,135913,133662,140078,144729,141205,113151,106273,107422,100239,--,--,--,61723,0,0,0,0,0,23989,22061,
总负债(万元),337019,248098,179013,126591,116087,88051,82514,81597,79627,80501,81982,84075,164515,178476,184785,182005,190054,151008,138603,131217,130404,116210,88627,51420,55280,50321,48519,
流动负债(万元),124734,99234,87849,66516,67812,45685,40142,35800,35811,43636,45238,44496,68634,63768,75135,84061,--,--,--,27554,0,0,0,0,0,44247,45686,
股东权益不含少数股东权益(万元),317384,306892,300139,291877,288237,284848,282494,278613,277005,275213,275202,270438,165767,145774,141369,137412,132374,129944,125409,122162,119949,118991,113970,32350,27920,19106,18533,
净资产收益率加权(%),9.21,0,4.05,0,3.97,0,1.96,0,4.09,0,3.7,2.51,11.83,0,6.57,0,13,7.92,4.37,0,7.57,4.86,13.23,0,25.46,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
