报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2005-03-31,2004-12-31,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1991-12-31,
基本每股收益(元),0,0,0.01,0.02,0.01,0.01,0.01,0.04,0.12,0.11,0.06,11.15,--,--,--,-0.3,-0.18,-0.18,-0,-0.35,-0.18,-0.18,-0,-0.35,-0.18,-0.18,-0,-0.35,-0.18,-0.18,-0,-0.35,-0.18,-0.18,-0,-0.35,-0.18,-0.18,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,1.41,--,13.91,--,13.82,--,-12.35,-12.35,-12.22,-12.18,-12.05,-12.05,-11.88,-11.87,-11.7,-11.7,-11.52,-11.52,-11.35,-11.35,-11.17,-11.17,-11,-10.99,-10.82,-10.82,-10.64,-10.64,-10.47,-10.46,-10.29,-10.29,-9.76,-8.71,-8.7,-8.37,-8.28,-8.11,-8.05,-7.99,-7.93,-6.5,-4.46,-3.73,-3.35,-2.78,-2.01,0.77,1.03,2.06,2.29,2.25,2.23,2.34,2.31,2.29,2.93,--,2.09,1.72,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,0,0,0,0,-0.02,-0.04,-0.05,0.06,0.03,-0.06,-0.04,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),29988,27604,17474,94229,56214,48112,28043,81559,38165,29378,23410,12362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,10308,2658,10299,2658,3684,1279,3705,2870,16972,6297,11912,8338,22025,12090,22169,19773,15661,9350,
主营业务利润(万元),2119,1755,1166,6937,3923,3367,1885,10761,4207,3237,2344,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,3594,825,3988,1223,1392,457,836,-4771,-7518,-354,-6943,-755,-3784,882,-169,0,-2011,9350,
营业利润(万元),331,496,526,4252,1634,1880,1031,7286,1971,1735,1425,743,-2702,-2692,-10,-4677,-2823,-2776,-55,-5554,-2827,-2770,-49,-5547,-2829,-2775,-47,-5542,-2824,-2765,-49,-5533,-2808,-2769,-54,-5543,-2834,-2774,-62,-142,-6567,-1363,-5524,0,0,-879,-6153,-2887,-13806,-5909,-11257,-12093,-37791,-5722,-20293,--,-7319,0,-5014,0,-2463,0,2616,0,3060,9350,
投资收益(万元),--,--,--,29,21,18,-9,17,--,--,--,9,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,-399,1753,-1087,80,-482,484,1968,1602,-4324,633,8609,1087,3412,1162,974,1701,4294,0,758,0,
营业外收支净额(万元),-30,-39,-14,-38,-87,-0,-1,134,-27,-26,-35,174749,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,--,--,--,--,--,-0,--,-0,-0,--,0,--,--,--,-4,1231,-1679,0,0,0,--,0,--,--,0,0,0,0,0,0,0,--,--,--,
利润总额(万元),301,457,512,4214,1548,1880,1031,7420,1944,1709,1391,175492,-2702,-2692,-10,-4677,-2823,-2776,-55,-5554,-2827,-2770,-49,-5547,-2829,-2775,-47,-5542,-2824,-2765,-49,-5533,-2808,-2769,-54,-5543,-2834,-2774,-62,-142,-6567,-1363,-5524,-2726,-1801,-879,-6556,97,-16572,-5853,-11773,-11628,-35843,-4167,-25784,-3679,942,360,-1569,574,1671,2904,7306,4806,3840,1589,
净利润(万元),295,451,512,2989,1176,1602,853,6162,1897,1673,979,175295,-2702,-2692,-10,-4677,-2823,-2776,-55,-5554,-2827,-2770,-49,-5547,-2829,-2775,-47,-5542,-2824,-2765,-49,-5533,-2808,-2769,-54,-5543,-2834,-2774,-62,-142,-6567,-1363,-5524,-2726,-1801,-879,-6556,112,-17463,-5899,-12954,-12011,-36088,-4088,-25454,-3571,881,326,-1151,540,1633,2556,6142,4584,3806,1478,
