报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-09-30,1995-12-31,1994-12-31,
基本每股收益(元),0.02,0.01,0.03,0.01,0.01,0,0.03,0.01,0.01,0.01,0.08,-0.13,-0.11,0.01,-0.08,-0.16,-0.15,-0.1,-0.26,-0.11,-0.04,-0.04,0.01,0.06,0.06,0.05,0.11,0.1,0.08,0.05,0.15,0.16,0.13,0.07,0.22,0.24,0.16,0.08,0.17,0.19,0.14,0.06,0.26,0.35,0.23,0.1,0.22,0.15,0.12,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.76,3.78,3.75,3.7,3.71,3.72,3.66,3.59,3.56,3.51,3.42,3.36,3.38,3.37,3.29,3.23,3.29,3.21,3.08,2.98,2.89,2.89,2.87,2.86,3.34,3.4,3.36,3.31,3.35,3.33,3.29,3.25,3.24,3.22,3.18,3.14,3.21,3.17,3.11,3.07,2.7,3.21,3.21,3.15,3.15,3.07,3.08,2.99,3.06,2.96,2.98,2.82,2.76,5.4,1.68,2.04,0.86,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.34,0.37,0.29,0.47,0.31,0.23,0.15,0.16,0.06,0.05,0.05,0.04,0.01,0.15,0.13,0.42,0.28,0.19,0.03,0.27,0.09,-0.01,-0.07,0.45,0,--,0,0.33,0,0,0,0.34,0,0.2,0,0.32,0,0.15,0,0.29,0,0.1,--,0.33,0.08,0.13,0.11,--,--,0.1,--,--,--,--,--,--,--,
主营业务收入(万元),95754,47560,216840,162598,107487,48692,219041,162046,113550,56656,249393,169611,112546,53440,230016,172666,116809,58251,300758,232159,164101,79340,307978,234837,154740,77845,309256,235381,161775,84063,324603,251985,175787,86407,305514,230077,157380,78374,230991,171279,111224,50277,297812,234896,157703,73861,249151,190204,124617,58943,175909,132214,84429,42655,164910,129348,87308,41629,156453,117777,80113,37543,124649,97117,65180,30110,109899,84990,57466,27079,107164,50506,109568,51411,111759,53746,119062,57730,126859,60256,121729,--,106686,106353,
主营业务利润(万元),12417,5908,26107,19494,12653,5494,28438,17042,12147,6106,21111,12813,7716,5738,20897,15620,9358,3533,22896,20280,14435,5752,30573,24167,16582,8650,32775,25553,17790,8975,33068,27535,20147,10443,38294,29296,19348,8966,29092,23566,16283,7680,43461,37939,25112,10184,35374,22527,17628,6241,26444,20795,15089,7157,27487,23223,15213,7375,29983,23040,15338,7643,25765,20199,13175,6057,20703,16266,10725,5180,23077,10379,22007,10999,24905,12591,26087,13193,10185,5286,13101,--,10574,12811,
营业利润(万元),898,154,-278,181,7,-87,-829,-826,-191,57,-7366,-7049,-5662,-178,-7280,-7387,-6574,-4148,-19163,-5154,-2102,-1622,-529,2291,2145,1812,1578,3452,3187,2064,4309,6686,5937,3583,8483,11055,7505,3141,4740,7787,5734,2428,12673,17642,11344,4561,9218,5932,4223,1451,3676,3062,3086,1819,2791,4598,3079,1630,3884,4230,2684,1592,3124,4848,3184,1494,589,2896,2033,0,2151,2007,3744,3147,4445,3508,5449,3649,12695,0,15241,--,10891,13276,
投资收益(万元),--,--,125,--,--,--,50,--,--,--,24,--,--,--,24,--,--,--,1800,361,226,29,761,955,571,401,492,462,298,93,876,821,630,298,1240,995,681,364,674,571,254,43,880,941,568,279,957,819,685,364,1466,1106,742,375,1815,1445,994,492,1637,1181,722,273,1448,1000,756,334,1303,925,620,181,820,374,1158,549,1015,240,212,0,0,0,0,--,0,0,
营业外收支净额(万元),-121,153,1307,329,296,189,1843,1128,454,143,10564,1683,1260,412,4000,1108,642,269,8897,600,357,83,706,266,223,152,2908,942,156,-7,2934,722,459,100,2330,989,-115,39,4085,886,370,318,-9,--,-253,--,--,813,--,725,242,0,--,0,-549,0,0,0,-936,-88,0,0,-610,-481,-321,-63,-195,17,-80,-63,-265,103,-106,0,62,0,--,0,0,58,0,--,0,0,
利润总额(万元),777,307,1029,510,303,102,1013,302,263,200,3198,-5365,-4402,234,-3280,-6279,-5932,-3879,-10266,-4554,-1745,-1539,177,2557,2367,1964,4486,4394,3343,2057,7242,7409,6396,3682,10813,12044,7390,3180,8825,8673,6104,2746,12664,17319,11091,4686,10403,6745,5012,2176,5384,4098,3828,2182,4057,5560,3829,2010,4585,5323,3521,1783,3963,5366,3619,1766,1698,3838,2574,1251,2707,2485,4797,3883,5522,3802,5642,3715,12968,6551,15245,--,11078,13149,
净利润(万元),777,307,1063,538,331,102,1018,302,263,200,3087,-5381,-4402,234,-3338,-6364,-5959,-3906,-10390,-4554,-1745,-1539,202,2473,2283,1962,4228,4084,3038,1834,6053,6357,5358,2988,8790,9720,6247,2634,6761,7646,5531,2253,10295,14245,9415,4121,8821,6180,4755,2023,4514,2701,3009,1672,3084,4413,2922,1520,3485,4343,2707,1281,2813,4114,2872,1344,1471,3119,2195,1110,2455,2160,4429,2855,4525,3229,4771,3155,11023,5568,10242,--,9427,11606,
净利润(扣除非经常性损益后)(万元),619,5,-874,-268,-154,-187,-1350,-708,-156,62,-5777,-6883,-5526,-116,-6645,-7360,-6540,-4156,-19082,-5090,-2048,-1622,-448,2247,2094,1810,1866,--,2882,--,3517,--,4899,--,7042,--,6362,--,3698,--,5161,0,10302,0,9668,--,8044,0,4203,--,3827,0,3009,0,3434,0,3167,0,4585,0,2591,0,3176,0,3193,0,1665,3101,2275,--,2602,2057,4744,2855,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),5745,-4045,22860,14202,4421,6068,-212,-4098,-7661,350,2052,1919,-839,1650,-5153,17960,1473,-6213,7047,12425,5616,306,7023,-7094,-4313,-1205,13056,13744,14886,11489,19049,12350,9139,5941,6575,2599,1962,1908,1656,250,5876,5146,16828,11136,7609,1278,10851,3679,-352,-2687,17931,14753,5448,4055,10750,7075,3609,-99,11205,11242,6454,3764,10721,8373,5069,1202,9693,0,3150,--,10739,2588,4334,3684,2594,--,3247,--,--,--,--,--,--,--,
