报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.76,0.34,2.13,1.83,1.28,0.64,2,0.96,0.54,0.12,0.08,1.17,0.89,0.49,
每股净资产(元),--,--,--,--,5.92,--,5.08,--,3.6,3.05,2.93,2.39,1.6,1.12,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.22,--,1.02,--,0.08,0.07,0.06,0.32,1.52,0.4,
主营业务收入(万元),29302,12071,68412,57255,38954,19936,63303,33802,29752,14324,13433,41022,27867,16128,
主营业务利润(万元),13659,5280,31725,26556,18323,9605,29478,14555,9694,3993,3828,18392,13219,7283,
营业利润(万元),11260,4968,23388,20382,14182,7125,22169,10728,5943,1280,871,12985,9665,5219,
投资收益(万元),1223,34,70,66,43,21,34,19,87,156,96,--,--,--,
营业外收支净额(万元),-0,-1,-20,--,--,--,-47,-54,12,2,-3,28,-155,-65,
利润总额(万元),11260,4967,23368,20382,14182,7125,22122,10674,5955,1282,868,13013,9511,5154,
净利润(万元),9557,4221,20081,17312,12046,6050,18937,9065,5117,1133,778,11046,8061,4367,
净利润(扣除非经常性损益后)(万元),8228,3588,19789,17230,12005,6029,18697,9096,5105,993,692,10989,8188,4409,
经营活动产生的现金流量净额(万元),-4532,-5000,-389,278,2051,-2235,9683,3716,755,697,573,2988,13835,3611,
现金及现金等价物净增加额(万元),-67178,-65454,83648,-6010,-3230,-3934,5762,-2113,2029,238,-3000,-5929,10383,255,
总资产(万元),197587,179631,174600,88179,89728,--,87061,--,47574,45655,46226,44751,40450,20966,
流动资产(万元),168961,160017,154882,68176,69466,--,67837,--,29476,26907,26742,34228,31826,11621,
总负债(万元),35809,21172,20363,26967,33781,--,39098,--,13547,16842,18547,22207,25953,10900,
流动负债(万元),34941,20848,20038,26551,33390,--,38803,--,13547,16842,18547,22207,25953,10900,
股东权益不含少数股东权益(万元),161778,158458,154238,61212,55947,--,47964,--,34026,28812,27679,22544,14497,10066,
净资产收益率加权(%),6.01,2.7,35.88,--,22.31,11.86,46.67,--,16.31,4.01,2.85,55.18,70.15,55.4,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
