报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.24,0.1,0.46,0.31,0.17,0.06,0.43,0.22,0.12,0.04,0.46,0.2,0.12,0.02,0.52,0.62,0.58,0.74,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.21,--,--,--,3.04,2.77,2.41,2.45,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.73,--,--,--,0.72,0.75,1.04,-0.23,
主营业务收入(万元),77836,35628,163128,107317,67200,28679,147945,90386,55085,17840,120045,70061,41976,15567,131707,136920,127040,146088,
主营业务利润(万元),44534,20286,84578,56877,34657,14533,73452,45426,26765,9866,64134,38978,24101,9048,67046,76199,70213,78283,
营业利润(万元),9522,4224,15663,10475,5696,2511,13171,6742,3461,662,12575,5679,3368,518,13879,17217,14919,19840,
投资收益(万元),635,376,1160,861,600,199,203,236,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),165,-28,1651,1622,822,-16,1291,771,323,335,364,267,58,-22,1065,350,1360,59,
利润总额(万元),9687,4197,17314,12097,6518,2495,14462,7514,3784,997,12939,5946,3427,496,14944,17568,16279,19899,
净利润(万元),8079,3423,15236,10295,5543,2116,12610,6379,3207,904,11321,5046,2880,490,13033,15273,14189,17151,
净利润(扣除非经常性损益后)(万元),7284,3061,12566,8081,4259,1872,11145,5467,2877,596,10937,4790,2800,509,12116,14976,12845,17101,
经营活动产生的现金流量净额(万元),6382,-5115,20123,3153,-1740,-4567,13299,2017,-4606,-4020,18183,563,-3851,-5135,17760,18652,25808,-5476,
现金及现金等价物净增加额(万元),16804,10515,163,-9569,-7763,-3997,9749,341,35751,-7810,8209,-6221,-7255,-8063,-1594,-4495,6183,10405,
总资产(万元),253473,249207,253314,247453,231395,224346,240001,217267,222449,173398,186593,--,--,--,183504,172314,159922,146036,
流动资产(万元),199886,187084,187690,192861,176072,170700,185937,163933,169520,120178,134446,--,--,--,133533,127030,122276,112580,
总负债(万元),104879,98636,106332,98893,90050,79895,97891,81347,89701,99552,106778,--,--,--,108137,103595,100091,86705,
流动负债(万元),103337,97094,104789,98893,90050,79895,97891,81347,89701,99552,106778,--,--,--,108137,103595,98091,81630,
股东权益不含少数股东权益(万元),145688,147756,144285,145889,141057,144154,142110,135920,132748,73846,79815,--,--,--,75367,68719,59831,59331,
净资产收益率加权(%),5.49,2.34,10.44,7.13,3.83,1.48,11.06,6.16,3.67,1.13,14.92,6.88,3.93,0.65,18.09,22.82,23.03,37.13,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
