报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.55,0.46,0.06,0.73,0.1,0.18,0.03,1.01,0.35,0.25,0.03,0.83,0.38,0.28,-0.03,0.71,0.16,0.2,0.02,0.61,0.11,0.15,0.04,0.46,0.17,0.2,0.12,0.37,0.15,0.12,0.01,0.81,0.15,0.12,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.27,--,2.77,2.67,2.41,2.44,1.9,1.94,2.68,2.67,2.17,2.21,2.18,2.13,1.85,1.88,1.85,1.73,1.51,1.48,2.73,2.72,2.12,2.09,3.2,3.12,2.79,2.59,2.38,2.31,1.78,1.74,1.66,1.57,1.3,1.29,1.23,1.22,1.13,1.13,1.1,1.1,1.07,1.07,1.08,1.06,1.09,1.61,1.83,2.2,2.51,2.43,2.69,2.57,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,-1.42,--,--,--,-0.83,--,1.05,0.79,0.05,0.07,-1.25,-1.04,-1.34,-1.65,-1.7,-2.32,-0.42,1.18,0.5,0.75,0.33,-0.04,0.19,0.02,-0.65,-1.98,-1.62,-0.54,-1.19,0.12,0,0,0,-0.5,0,0,0,0.14,0,0,0,-0.63,0,0,0,0.02,0,-0.1,--,0.07,-0,-0.19,-0.07,-0.19,--,-0.44,--,--,--,--,--,--,
主营业务收入(万元),925974,720513,116190,1710023,442444,333580,134234,1658397,587590,350389,110289,1430045,614727,361913,26206,922224,314874,264105,36568,668425,272999,227294,75803,545268,255857,231721,125712,405005,141626,108367,13581,343777,92434,60940,23875,257187,126872,102000,28264,200523,61477,51296,11752,101946,36445,29088,7194,47977,23954,14159,2260,35717,23876,21612,9629,10658,9320,67777,39624,86340,47765,81479,45650,93153,52085,86096,91284,53047,
主营业务利润(万元),167736,135277,25249,278494,75543,77175,18789,296757,119235,81692,17890,254128,128864,92060,3542,253877,77733,73935,9173,134906,44875,37228,11938,111893,52157,49309,25539,97098,39442,29451,4207,90011,26389,--,5321,58012,35372,24772,4846,50887,19510,14880,4615,25897,9818,7275,1875,12829,5591,4191,1047,8934,5463,4702,1969,-614,-1381,8033,5428,13084,6880,11876,7434,12701,11202,11629,11883,3415,
营业利润(万元),113413,100631,11786,160582,22278,38950,6705,211380,75976,53590,5784,180344,82681,61161,-7012,153467,36072,43101,1949,89683,18721,22015,5361,70231,27563,31916,17489,59800,21697,17242,179,67730,13553,8997,2595,44467,28419,19971,2807,39191,13940,11434,2868,18549,5217,4187,445,7222,2164,2052,336,3270,1495,1422,1139,-13663,-11653,-7473,349,1168,2607,3684,3789,12807,6432,12114,12127,3660,
投资收益(万元),13284,11559,5102,-79,-398,214,--,-482,398,398,--,-7,481,450,--,5375,5375,375,375,2583,--,0,35,297,299,0,0,128,128,128,--,--,--,0,0,0,-9,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-953,-133,18,-4,-2,21,-14,0,0,0,--,--,--,
营业外收支净额(万元),7935,612,241,763,465,232,183,9105,405,153,78,881,471,516,486,3875,682,999,556,828,-222,399,521,2417,-154,-199,-83,-3931,--,--,--,73,--,--,43,54,0,0,0,2251,0,0,0,-21,0,0,0,84,19,0,-3,-79,-65,-65,0,-6320,-6292,-172,0,-88,0,0,0,0,--,-450,-571,-369,
利润总额(万元),121349,101242,12027,161344,22744,39183,6888,220486,76381,53743,5862,181225,83152,61677,-6527,157341,36753,44100,2504,90512,18499,22414,5881,72649,27410,31717,17406,55869,21199,16963,496,67803,13655,9155,2639,45199,28967,20466,3097,43063,17267,14538,5423,19240,5211,4189,444,7306,2182,2039,333,3191,1430,1358,1100,-20936,-18078,-7626,268,1078,2540,3530,3723,12689,6201,11817,11555,3290,
净利润(万元),88314,73046,9815,116671,16002,27974,5421,160947,56263,40245,5069,131577,60153,44623,-4947,112580,25717,31404,1636,64637,11825,16297,4173,48937,17826,21219,12674,38837,15452,12329,265,42940,8203,6423,1551,33539,21983,15160,2117,27988,10366,8925,3091,11498,2603,2167,115,4210,1204,1168,136,1141,245,208,667,-19112,-17396,-7293,127,503,2049,2769,3049,10863,5022,9718,10553,3060,
