报告日期,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,
基本每股收益(元),0.08,0.08,0.04,0.15,--,0.06,0.03,0.21,0.07,0.04,0.02,0.15,0.05,0.03,0.02,0.14,0.08,0.06,0.05,0.07,0.04,0.03,0,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.04,0.04,0.02,0.02,0.05,0.05,0.04,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.18,2.16,2.1,2.09,2.07,2.03,1.99,1.98,1.96,1.95,1.95,1.94,1.93,1.93,1.92,1.92,1.93,1.92,1.91,1.89,1.88,1.87,1.81,1.56,1.54,1.53,1.52,1.5,1.58,1.55,1.46,1.49,1.5,1.46,1.42,1.38,1.7,1.66,1.62,1.58,1.56,1.54,1.55,1.54,1.52,1.51,1.52,1.6,1.59,1.59,1.58,1.58,1.58,1.85,1.91,1.97,2,2,1.87,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.16,--,0.95,0.52,0.28,1.01,0.62,0.35,0.08,0.35,0.23,0.15,0.07,0.32,0.17,0.12,0.05,0.41,0.25,0.17,0.06,0.16,0.15,0.05,-0.01,0.2,0,--,0,0.17,0,0,0,-0.15,0,0.05,0,0.09,0,0.04,0,0.11,0,0.06,--,0.1,0.07,0.14,0.08,0.08,0.07,0.17,0.09,--,--,--,--,--,--,
主营业务收入(万元),29034,19307,9605,42728,32454,22070,10919,46408,33195,21546,10727,45103,32553,21728,10513,45236,33004,22276,11559,40189,26598,16345,4374,19761,13735,9215,4530,19155,13713,9040,4424,18892,13615,8869,4449,18590,13429,9057,4408,10323,5805,2662,1324,5076,3883,2340,1155,4983,3243,2201,1040,4400,3155,2104,1138,16389,11790,8213,4016,15585,8432,15385,8442,16047,8144,15649,7787,14163,7697,16277,8606,7235,16081,
主营业务利润(万元),9232,6417,3221,14164,11690,8301,4051,14012,10188,6358,3443,14103,10292,6922,3273,15069,11773,8248,4592,14413,8785,5411,1033,5823,3845,2446,1215,5964,4004,2766,1502,6392,4501,2942,1655,6911,5097,3481,--,3739,2453,1124,573,2860,2024,1119,534,2408,1392,899,444,1837,1319,859,476,4007,2992,2148,881,4419,2462,3727,1863,4679,2318,3803,1882,-2502,-1184,-872,-91,1432,3445,
营业利润(万元),3963,2982,1528,5810,5550,4298,2060,6281,4557,2626,1542,4649,3281,2163,1043,4138,3940,2972,1963,4121,2473,1586,83,966,903,483,257,1175,886,715,443,1335,1294,809,572,1886,1423,985,531,1459,918,246,430,2363,1460,779,373,1346,839,483,261,1270,1027,686,439,441,695,677,188,493,666,-100,-192,103,35,-913,-759,-2341,0,-796,0,1475,3515,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,14,--,--,--,0,--,0,0,2567,2420,2434,242,898,528,554,360,1805,1001,697,360,1179,659,267,0,8,8,8,-18,77,0,30,44,-20,-10,164,84,163,200,0,0,19,0,
营业外收支净额(万元),1450,1752,1045,4238,-276,-399,-6,4221,133,-0,-0,4554,113,13,14,4130,63,75,-0,48,132,125,0,-10,2,2,--,94,30,31,-0,--,--,--,--,--,--,-3,--,-192,0,--,0,8,0,0,0,-44,0,-2,0,-0,0,-0,0,199,-9,-5,-8,24,0,219,0,47,0,0,0,0,0,0,49,0,--,
利润总额(万元),5414,4733,2573,10048,5274,3899,2054,10502,4690,2626,1542,9203,3394,2176,1057,8269,4003,3047,1962,4169,2605,1710,83,956,905,485,257,1269,916,746,442,1312,1291,805,572,1791,1423,982,528,3834,3338,2680,671,3268,1988,1332,733,3107,1838,1178,621,2449,1686,952,439,649,695,681,162,622,680,188,25,129,32,107,60,-2129,-967,-686,5,2107,3495,
净利润(万元),2027,1908,1078,3653,1903,1366,777,5071,1709,920,546,3730,1167,620,414,3521,1873,1555,1149,1760,953,715,59,682,606,377,185,727,674,519,333,941,939,517,403,1309,1276,870,457,3641,3574,2966,670,3273,1990,1335,737,2903,1841,1103,580,2258,1347,726,294,540,583,572,138,533,580,187,24,110,26,104,60,-2129,-967,-686,4,1791,3495,
