报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,
基本每股收益(元),-0.31,-0.13,0.09,0.54,0.55,0,0.12,0.12,0.1,0.08,0.1,0.11,0.07,0.04,2.02,-1.14,-0.59,-0.14,-1.12,-0.83,-0.5,-0.29,0.1,-0.52,-0.07,-0.04,-0.3,-0.13,-0.07,0,-0.4,-0.1,0,0,0.03,0.01,0.03,0,0.02,0.01,0.02,0,0.33,0.02,0.02,0,0.03,0.03,0.03,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.77,--,--,--,--,--,--,0.47,0.53,0.6,0.6,0.89,1,1,0.99,0.99,1.01,0.98,0.97,0.93,0.95,0.92,0.92,0.61,0.61,0.59,0.59,0.61,0.6,0.6,0.57,0.56,0.55,0.53,0.5,0.47,0.47,0.46,0.44,0.41,0.38,0.37,0.35,0.28,0.25,0.3,0.34,0.49,0.54,0.57,0.63,0.9,1.03,1.03,1.02,1.01,1.01,2.51,2.57,2.56,2.51,2.42,2.32,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,-0.09,-0,-0.1,-0.15,-0.07,-0.14,0.05,-0.22,-0.26,-0.09,0.04,0.09,0.06,0.08,0.01,-0.08,0.08,-0.03,0.22,-0.14,-0.08,0.05,0.22,0,0,0,0.86,0,0,0,0.49,0,0,0.08,0.58,0,0,0,-0.05,0,-0.12,0,0.11,-0.13,0.22,-0.07,0,--,-0.18,--,--,--,--,--,--,
主营业务收入(万元),41861,20842,97180,72733,51170,26681,100953,76358,55007,30403,87329,69099,46818,20859,134133,102362,71966,35535,176362,133439,94717,46049,188583,135976,92647,46810,182340,137560,96886,49727,247212,193922,137144,66610,247390,183232,128532,60324,222313,174759,112395,53120,259042,201903,142105,67576,263876,199318,139066,65456,230782,166307,108027,49961,225278,147431,92740,40389,185098,134222,91915,36962,138472,89793,49653,18806,48895,35561,23481,9270,73268,41122,109377,63333,126009,64877,124709,68312,204121,102192,238366,113381,361467,
主营业务利润(万元),4038,1819,13932,11154,8333,4059,16297,11847,8907,4952,15429,11089,7223,3749,7391,6810,8181,4911,19264,13716,10556,5059,24282,17772,12324,6216,20370,18555,14279,7072,24339,23584,16536,7690,36905,25493,17286,8843,33551,22411,13951,4632,11547,24617,16779,7781,25789,20746,14141,--,23806,16558,11695,6883,25734,17503,10081,5066,21753,14635,9180,4425,8393,4551,1599,-819,-667,-1563,-1577,-989,-4587,-3102,3016,3692,55,121,9504,-446,1752,1710,30843,0,337852,
营业利润(万元),-3691,-1579,1201,6529,6671,23,1600,1508,1196,925,1601,1443,894,452,23463,-14079,-7030,-1731,-15382,-9670,-5679,-3498,-10130,-6142,-3354,-1765,-14575,-6033,-3326,54,-17807,-4953,-109,27,816,-6,1128,-0,-1347,-631,79,-786,-20130,-897,-257,-643,1029,992,1260,1236,1414,1033,627,536,2301,1194,1201,904,2758,2046,928,593,1839,-214,-1823,-1924,-15021,-6521,-4026,0,-18352,-6416,-1972,-944,-2760,708,-74882,823,3869,0,10215,0,58444,
投资收益(万元),-1079,-175,5878,6146,6083,105,348,296,199,91,313,231,122,59,49875,2244,1172,872,3193,2637,1716,214,3836,3534,2896,821,4304,3240,1979,1010,3496,3456,2405,463,3717,3243,3967,1407,1977,1146,350,-47,5796,892,945,80,5722,2026,1061,281,895,1482,1358,803,-180,-119,-119,0,-100,-39,-51,0,-221,-127,-127,0,-153,-467,-250,-45,-180,311,-612,-51,-329,0,-157,24,0,0,0,0,0,
营业外收支净额(万元),23,29,-6,32,28,33,2,84,28,78,-70,-71,14,5,1071,844,87,56,2030,-262,-294,15,11100,46,88,49,343,75,22,-1,-606,94,113,9,629,381,193,34,1797,1328,1204,830,35192,--,1387,--,--,--,--,--,0,0,0,-22,-408,0,0,0,-49,-31,0,0,61,114,0,28,60,91,37,0,-1349,-109,3443,0,2138,0,--,0,0,0,0,0,0,
利润总额(万元),-3668,-1550,1195,6561,6700,56,1602,1592,1223,1004,1531,1372,908,457,24534,-13235,-6942,-1675,-13352,-9933,-5973,-3483,970,-6096,-3266,-1716,-14232,-5959,-3304,53,-18413,-4859,4,36,1445,375,1321,34,449,697,1283,45,15062,958,1130,163,1477,1495,1327,1251,3057,2467,1944,1317,1757,1039,1046,874,2716,2084,953,601,1834,-190,-1904,-1886,-15114,-6898,-4239,-2838,-19881,-6214,896,1629,930,142,-74971,893,3671,2765,13238,5835,37703,
净利润(万元),-3688,-1570,1054,6449,6608,6,1438,1460,1142,982,1227,1282,850,440,24074,-13581,-7089,-1690,-13359,-9962,-5996,-3474,1206,-6148,-3313,-1738,-14372,-6038,-3371,51,-18844,-4757,136,85,1196,349,1339,62,1053,557,1119,50,15732,908,1036,123,1206,1615,1519,1344,3123,2533,1984,1364,2052,1285,1190,949,2665,1932,830,658,1593,-548,-1970,-1904,-15107,-6890,-4236,-2777,-19287,-5537,1422,234,774,139,-74808,742,3111,2347,11718,4831,28871,
