报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.04,0.01,0.13,0.03,0.03,0,0.18,0.07,0.07,0.02,0.16,0.09,0.07,0.01,2.61,2.6,2.65,0,0.07,-0.05,-0.03,-0.02,-0.06,-0.05,-0.03,-0.01,-0.06,-0.04,-0.03,-0.01,-0.06,-0.04,-0.03,-0.01,-0.06,-0.04,-0.03,-0.01,-0.03,-0.04,-0.03,-0.01,-0.07,-0.04,-0.02,-0.02,-0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1.93,--,-2.02,-1.88,-1.86,--,-1.83,-1.95,-1.8,-1.79,-1.77,-1.88,-1.75,-1.73,-1.84,-1.83,-1.81,-1.8,-1.81,-1.78,-1.79,-1.77,-1.75,-1.73,--,-1.7,-1.54,-1.53,-1.62,-1.5,-1.4,-1.38,-1.12,-0.96,-1.01,-0.98,-0.96,0.43,0.46,0.62,0.65,0.94,0.98,1.07,1.06,1.87,1.35,1.33,1.85,1.76,2.25,1.87,2.58,2.31,1.97,1.59,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,-0,--,0,--,0,-0,0,--,0,0.01,0,--,--,-0,0,--,0,0,--,--,--,0,-0,--,--,-0.01,--,--,0,0,0,0,-0.01,--,0,0,0,--,-0.02,--,-0.5,-0.92,0.05,0.03,0.5,0.06,0.04,--,--,--,--,--,
主营业务收入(万元),27159,9633,74144,26277,20408,8937,92675,49082,38696,13763,85856,42442,28451,10039,723,40,8,0,1109,336,282,162,546,401,281,161,533,393,275,143,522,384,269,155,505,388,275,163,491,322,222,116,456,351,237,46,378,0,0,0,0,0,0,9,9,0,0,831,823,629,300,1345,1145,901,1918,14465,12737,26335,14142,27239,10777,32865,13012,43665,42221,50228,--,
主营业务利润(万元),5411,1750,14609,2387,2523,1236,22175,12090,9765,4239,23163,12220,8289,2488,275,24,4,0,302,-83,-5,15,-40,-27,-6,15,-51,-34,-11,-1,-46,-41,-16,9,-61,-38,-11,16,-85,-106,-66,-29,-122,-85,-54,5,-66,0,0,0,0,0,0,-0,-0,0,-0,6,15,33,-46,-481,-487,-479,308,3613,3725,6212,4450,7026,1785,5759,1868,1106,974,1175,--,
营业利润(万元),3672,1285,12463,3348,3149,274,16960,5112,5085,2199,13969,7662,5199,664,1150,762,1988,-87,3,-1140,-728,-387,-1493,-1125,-708,-373,-1389,-1008,-658,-338,-1559,-965,-623,-297,-1503,-937,-635,-305,-1567,-1010,-681,-326,-1788,-1078,-792,-403,-1448,-1115,-761,-372,-4767,-1092,-705,-6858,-4770,-4361,-486,-9758,-6300,-5903,-920,-9487,-3449,-2459,--,-1599,1607,3758,2738,4833,1243,3367,228,1753,1837,1972,--,
投资收益(万元),--,--,--,--,--,--,-264,-286,-286,--,-191,-191,-174,-109,1268,939,2173,0,--,--,--,--,--,--,0,--,0,--,-0,0,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,-27,--,--,--,--,--,0,0,0,0,-2282,-3,-2,0,-9,--,0,0,0,0,-6,0,96,--,-5,0,48,234,34,--,
营业外收支净额(万元),-103,-19,-22,46,41,32,-35,1151,1145,23,434,523,543,24,63879,63884,63884,0,1776,0,0,0,0,0,0,0,-65,--,0,0,-0,-0,0,-0,-1,-1,-1,-1,880,-0,--,--,2,3,3,3,-383,-0,-0,0,2,0,0,-3392,142,0,0,-9227,-78,1,0,-644,-13,-10,-15,0,281,-81,0,542,507,--,0,0,--,--,--,
利润总额(万元),3568,1266,12441,3394,3190,306,16925,6262,6231,2221,14403,8185,5742,689,65029,64646,65872,-87,1779,-1140,-728,-386,-1493,-1125,-708,-373,-1454,-1008,-658,-338,-1559,-965,-623,-297,-1504,-939,-636,-306,-686,-1010,-681,-326,-1786,-1075,-789,-400,-1831,-1143,-761,-372,-4765,-1091,-704,-8250,-2629,-2229,-486,-21267,-6381,-5904,-920,-10140,-3463,-2469,-230,-1438,1888,3671,2756,5471,2066,3929,233,1700,2020,1971,--,
净利润(万元),2470,819,8992,2189,2133,120,12345,4610,4595,1631,10640,6109,4237,445,65029,64646,65872,-87,1778,-1139,-727,-386,-1493,-1124,-708,-373,-1442,-1007,-658,-337,-1465,-964,-623,-297,-1408,-938,-635,-306,-682,-1009,-681,-326,-1759,-1073,-788,-400,-1830,-1143,-761,-372,-2217,-1091,-704,-5069,-226,172,-483,-18730,-4458,-3786,-844,-8364,-2995,-2117,74,-2102,545,1687,1349,4322,1485,2819,208,1478,1719,1839,--,
