报告日期,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,
每股净资产(元),4.03,2.81,2.59,2.59,2.59,2.55,3.72,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,
主营业务收入(万元),1678,1523,364,102,2569,667,31726,9742,
主营业务利润(万元),39,77,-397,-253,1413,23,0,0,
营业利润(万元),44157,0,-397,0,1408,0,18087,6284,
投资收益(万元),3015,1515,496,283,78,7536,4745,0,
营业外收支净额(万元),0,-2,0,0,0,0,0,0,
利润总额(万元),57093,11509,67,20,7696,7568,22768,7595,
净利润(万元),48529,9786,38,12,7296,7552,21061,7595,
净利润(扣除非经常性损益后)(万元),--,--,--,--,--,0,0,--,
经营活动产生的现金流量净额(万元),--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),--,--,--,--,--,--,--,--,
总资产(万元),309002,149414,138580,138473,135536,124901,113849,32267,
流动资产(万元),72964,49877,46877,49654,47140,21839,39974,19622,
总负债(万元),45768,25361,27220,27141,24213,27421,24808,2370,
流动负债(万元),43982,23575,25434,25355,22427,25635,23022,584,
股东权益不含少数股东权益(万元),225622,121146,111360,111332,111322,97480,89041,29897,
净资产收益率加权(%),0,0,0,0,0,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
