报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2005-09-30,2005-03-31,2004-12-31,2004-09-30,2003-12-31,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-0.3,-0.15,-0.59,-0.42,-0.28,-0.14,-0.49,-0.39,-0.26,-0.13,-0.52,-0.36,-0.24,-0.12,-0.48,-0.34,-0.22,-0.11,-0.42,-0.31,-0.21,-0.1,-0.37,-0.29,-0.19,-0.1,-0.36,--,-0.18,-0.08,-0.32,-0.25,-0.16,-0.08,-0.29,--,--,--,--,--,--,--,--,-0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-9.91,-9.76,-9.61,-9.44,-9.29,-9.16,-9.02,-8.92,-8.79,-8.66,-8.53,-8.37,-8.25,-8.13,-8.01,-7.86,-7.75,-7.63,-7.52,-7.42,-7.31,-7.21,-7.11,-7.02,-6.92,-6.83,-6.73,-6.64,-6.55,-6.46,-6.38,-6.31,-6.22,-6.14,-6.06,-6.09,-6.01,-5.85,-5.93,-5.77,-5.7,-5.62,-4.85,-2.83,-4.67,-4.81,-4.65,-4.15,-4.09,-4.03,0.16,0.22,0,0.43,0.94,1.12,2.25,2.32,2.38,3.63,3.31,4.19,3,2.59,2.54,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,-0.01,--,-0,0,0.02,0.02,-0.41,--,-0.26,0,--,--,--,--,--,--,
主营业务收入(万元),0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530,2174,9128,10191,16232,3664,7206,6076,1767,--,
主营业务利润(万元),0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-222,-198,1420,1982,1643,201,908,1003,424,--,
营业利润(万元),-3311,-1644,-6567,-4657,-3072,-1525,-5416,-4327,-2853,-1418,-5824,-4013,-2647,-1316,-5376,-3730,-2456,-1222,-4671,-3457,-2281,-1135,-4121,-3209,-2117,-1053,-3989,-2980,-1965,-976,-3543,-2770,-1826,-909,-3226,-2629,-1741,-884,-3361,-2502,-1652,-818,-1918,-1686,-2387,-1792,-2401,-1363,0,-20202,-1779,-1271,-670,-7256,-1364,-7226,-896,38,1191,1753,0,923,1028,615,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,4,4,7,0,0,-3504,-263,-182,-92,-442,-263,-263,14,330,164,863,358,1187,964,904,--,
营业外收支净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,3,--,--,--,--,--,-471,-11,-84,0,0,-22944,0,0,0,0,0,-2034,0,--,0,0,200,0,--,--,--,
利润总额(万元),-3311,-1644,-6567,-4657,-3072,-1525,-5416,-4327,-2853,-1418,-5824,-4013,-2647,-1316,-5376,-3730,-2456,-1222,-4671,-3457,-2281,-1135,-4121,-3209,-2117,-1053,-3989,-2980,-1965,-976,-3543,-2770,-1826,-909,-3226,-2629,-1741,-884,-3358,-2502,-1652,-818,-1918,-1686,-2854,-1799,-2478,-1363,0,-46650,-2041,-1453,-762,-7698,-2001,-9523,-882,332,1332,3440,763,2096,1983,1467,--,
净利润(万元),-3311,-1644,-6567,-4657,-3072,-1525,-5416,-4327,-2853,-1418,-5824,-4013,-2647,-1316,-5376,-3730,-2456,-1222,-4671,-3457,-2281,-1135,-4121,-3209,-2117,-1053,-3989,-2980,-1965,-976,-3543,-2770,-1826,-909,-3226,-2629,-1741,-884,-3358,-2502,-1652,-818,-1918,-1627,-2854,-1799,-2478,-1363,-595,-46650,-2041,-1453,-762,-7698,-2001,-9019,-741,267,958,2650,587,1678,1622,1467,--,
净利润(扣除非经常性损益后)(万元),-3311,--,-6567,--,-3072,--,-5416,--,-2853,--,-5824,--,-2647,--,--,--,-2456,--,-4671,--,-2281,--,-4121,--,-2117,--,--,--,-1965,--,-3543,--,-1826,--,--,--,-1741,--,--,--,-1652,--,--,--,-2384,--,-2394,-1363,0,-23706,--,-1271,0,-7706,-1627,-6986,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),1,--,-1,--,0,--,-4,--,-1,--,-2,--,-5,--,7,--,-2,--,2,--,2,--,-1,--,-0,--,-2,--,-0,--,3,3,-2,--,0,-1,1,--,2,4,2,--,3,81546,-3,-2,-9,3,0,-86,--,-37,0,196,180,-4607,--,-2944,8,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),1,--,-1,--,0,--,-4,--,-1,--,-2,--,-5,--,7,--,-2,--,-1,--,2,--,-1,--,-0,--,-2,--,-0,--,3,3,-2,--,0,-1,1,--,2,4,2,--,3,--,1,2,2,3,0,-136,--,-73,0,-129,-45,-2584,--,53,441,--,--,--,--,--,--,
总资产(万元),2140,2140,2140,2140,2141,2140,2141,2141,2145,2144,2146,2141,2143,2145,2148,2148,2152,2152,2154,2154,2155,2154,2155,2156,2156,2155,2156,2156,2158,2159,2158,2158,2161,2161,2162,2190,2199,2206,2248,2293,2329,2372,2760,35325,2989,2968,3197,3365,3511,3566,27628,27506,29606,28958,34890,38368,50441,53813,56445,46254,31006,29127,16991,16779,--,
流动资产(万元),513,513,513,513,514,513,513,513,517,517,519,514,516,518,520,520,525,525,527,527,527,527,528,528,529,528,529,--,531,532,531,531,534,534,535,500,502,501,501,504,501,501,274,--,368,272,365,0,632,0,13082,0,13098,0,0,0,25938,26169,29387,18240,15510,13999,5880,4633,--,
总负债(万元),112370,110703,109059,107149,105565,104018,102493,101404,99934,98499,97083,95267,93903,92574,91261,89614,88345,87112,85891,84677,83501,82354,81221,80309,79217,78153,77101,76092,75078,74090,73114,72340,71399,70482,69575,69908,69030,68179,67336,66525,65711,64921,56680,--,54969,56508,54916,49593,--,48429,25821,25110,25614,24204,24438,24100,23035,25524,27137,18095,7775,6431,4928,6409,--,
流动负债(万元),99926,98260,96616,94706,93121,91574,90049,88960,87491,86055,84639,82824,81459,80130,78817,77170,75901,74668,73448,72233,71057,69910,68777,67865,66773,65709,64657,--,62634,61647,60670,59896,58955,58038,57131,57465,56586,55735,54893,66525,53268,64921,56680,--,54969,56508,54916,0,4897,0,25821,0,25614,0,0,0,23035,25524,27137,18095,7775,6431,4928,6409,--,
股东权益不含少数股东权益(万元),-110230,-108563,-106919,-105009,-103424,-101878,-100352,-99263,-97790,-96355,-94937,-93126,-91760,-90429,-89113,-87467,-86193,-84959,-83737,-82523,-81347,-80200,-79066,-78153,-77061,-75998,-74945,-73936,-72920,-71931,-70955,-70182,-69238,-68321,-67412,-67718,-66830,-65973,-65089,-64233,-63383,-62549,-53919,-65808,-51980,-53540,-51719,-46227,-45458,-44864,1808,2396,3992,4754,10452,12453,25032,25773,26464,25220,23003,22416,11982,10367,--,
净资产收益率加权(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,-89.48,0,0,--,1.05,--,--,--,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
