报告日期,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-03-31,2013-12-31,2013-03-31,2012-12-31,2012-09-30,
基本每股收益(元),0.32,0.12,0.37,0.33,0.11,0.47,0.31,0.51,--,0.31,0.58,--,--,0.59,--,--,0.45,--,0.36,--,
每股净资产(元),4.79,4.82,4.71,4.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.91,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.18,--,
主营业务收入(万元),453293,211840,737195,313139,106616,558293,283519,601934,788098,297902,501103,361491,239268,433989,331053,107300,352505,81300,287004,215370,
主营业务利润(万元),183780,64273,247930,164967,56508,237426,164232,267427,232704,163478,233613,202137,140056,192200,183818,--,148543,--,120506,105297,
营业利润(万元),183780,64273,247930,164967,56508,237426,164232,267427,232704,163478,233613,202137,140056,192200,183818,--,148543,--,120506,105297,
投资收益(万元),75269,27481,192393,131618,76356,10007,-785,4986,--,3531,6057,--,3612,1533,-2236,--,844,--,1739,3723,
营业外收支净额(万元),209,99,-328,-19,-59,-450,--,-52,--,10,1290,--,769,3652,-110,--,3322,--,1800,1202,
利润总额(万元),183988,64372,247602,164948,56449,236977,164232,267375,232632,163488,234904,203733,140825,195852,183708,--,151865,--,122307,106499,
净利润(万元),143846,50707,202335,132144,46146,190025,127580,208861,180194,126153,181378,155835,107374,149535,138985,50300,114191,28300,92003,79399,
净利润(扣除非经常性损益后)(万元),143479,50434,202085,131885,46112,188478,--,209111,--,--,180150,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-664436,-868347,-2085448,194451,-1113226,-2564623,-4457090,4416057,--,-61441,851311,457211,-321968,1119626,1315075,--,1037421,--,1067743,731377,
现金及现金等价物净增加额(万元),730606,-70469,53385,329405,-331494,-2272012,-1827868,2470343,--,-282663,37615,--,-53434,119561,371787,--,-607836,--,491128,132021,
总资产(万元),34523095,32724235,31765850,30215920,--,30627609,28197623,27798811,22424550,20706620,18723525,17656013,16940932,15616594,15744073,13937400,13568937,11237100,10165822,9624929,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
总负债(万元),31523287,29711216,29016178,27546576,--,28015288,26378776,26035213,20644962,18999002,17062160,16388765,15729435,14638129,14772968,--,12748422,--,9422159,8894876,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股东权益不含少数股东权益(万元),2945866,2960027,2698497,2619229,--,2562985,1769551,1763597,--,1707618,1661365,--,1211497,978465,971105,880000,820515,775600,743664,730053,
净资产收益率加权(%),6.75,2.44,8.36,14.62,2.6,10.8,--,12.22,--,7.38,14.69,--,--,16.67,--,--,14.65,--,12.81,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
