报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,
基本每股收益(元),-0.05,-0.24,-0.05,0.05,0,0.01,0.11,0.09,0.04,0.4,0.31,0.18,0.1,0.95,0.78,0.52,0.21,0.9,0.65,0.42,0.19,0.7,0.54,0.3,0.12,0.56,0.38,0.25,0.1,0.62,0.46,0.29,0.14,0.51,0.36,0.23,0.11,0.3,0.19,0.1,0.09,0.49,0.39,0.29,0.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.41,5.33,5.15,5.03,4.79,4.66,4.64,4.54,4.38,4.21,4.32,4.18,4.03,3.9,3.95,3.84,3.69,3.61,3.81,3.71,3.63,3.53,3.68,3.51,3.41,3.24,3.34,3.2,3.08,3.17,3.03,2.92,2.8,2.93,2.83,2.74,2.66,2.58,2.49,2.41,2.47,2.41,2.34,2.27,2.34,2.19,2.24,2.15,2.19,2.12,2.18,2.08,2.15,2.04,2.1,1.98,1,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.99,0.45,0.25,1.16,0.98,0.38,0.23,1.11,0.92,0.44,0.14,0.78,0.79,0.42,0.13,1.05,0.76,0.55,0.13,0.67,0.43,0.3,0.15,0.47,0,--,0,0.47,0,0,0,0.43,0,--,0,0.3,0,0,0,0.32,0,0.13,--,0.37,0.12,0.32,0.15,0.27,--,0.3,--,--,--,--,--,--,--,
主营业务收入(万元),20986,76307,54868,35676,17028,67779,50061,33105,16442,65028,47772,30712,14782,71296,53666,35027,15989,69183,50353,32491,15261,57859,43116,26674,12110,46192,33062,21442,9943,40010,29410,19183,9604,33232,24137,15086,7456,28288,21042,13757,6758,23359,17459,11327,5753,19471,14538,9080,4329,16447,12348,8196,3905,15655,11517,7512,3676,10962,8033,5463,2648,9547,7308,4970,2465,10280,5147,9668,4750,8885,4396,9902,5046,10039,4847,10138,4464,10236,7584,
主营业务利润(万元),10599,35166,26168,16803,7685,33158,25525,16891,8278,31709,23258,14578,7045,42673,32860,21577,9309,40930,30090,19663,9102,30793,23809,14414,6475,25578,18468,11858,5292,23350,17286,11232,5723,18490,13491,9080,4562,17631,13085,8620,4261,14441,10844,7038,--,11112,8760,5389,2556,9062,7002,4652,2176,8791,6491,4240,2086,6312,4665,3200,1546,5146,4013,2783,1369,5726,2939,5311,2623,4902,2460,5713,2955,5781,2940,6655,3119,6979,5635,
营业利润(万元),319,-1299,2554,3655,1290,6602,5388,4123,1989,12879,10213,6110,2959,27871,23163,15059,6369,27267,19417,12533,5426,19651,15402,8569,3564,14406,9987,6607,2585,15188,11772,7406,3698,12295,9061,5964,2873,7908,5173,2902,2416,12172,9850,7339,3762,7213,6621,4144,2028,6979,5532,3714,1704,6906,5021,3271,1591,5357,4137,2869,1383,5051,4013,2691,1331,5325,2840,4907,2499,4458,2230,5004,2657,5781,0,6655,0,6979,4867,
投资收益(万元),-1270,-1100,279,1703,567,3379,2311,1496,605,7511,5598,3616,1739,9389,6119,3807,1966,9547,5707,3493,1287,7711,4561,2568,1330,2246,1351,986,328,3465,2098,1266,572,3700,2279,1033,351,579,-195,-717,339,4130,2974,2769,1431,7418,5548,3708,1712,5471,4016,2590,1197,4155,3113,1653,694,3006,2223,1351,649,2016,1341,985,445,1504,953,336,-96,24,-113,118,138,-781,-85,-119,35,266,173,
营业外收支净额(万元),254,252,365,243,114,634,269,185,124,1212,540,490,242,1188,679,608,365,518,319,260,221,501,311,42,-2,403,97,80,34,245,232,157,4,94,-32,-4,-5,-105,--,-96,--,-39,--,--,--,-30,0,--,0,-5,0,0,0,-24,0,-13,0,-7,0,0,0,-17,-18,-17,0,-15,0,-26,0,-5,0,0,0,0,-3,0,9,0,--,
利润总额(万元),573,-1047,2919,3898,1404,7237,5657,4308,2113,14090,10753,6600,3201,29059,23842,15667,6734,27785,19735,12792,5648,20152,15714,8611,3562,14809,10084,6687,2619,15433,12004,7564,3702,12390,9029,5961,2867,7803,5051,2807,2417,12133,9865,7356,3760,14601,12150,7837,3714,12445,9549,6303,2898,11036,8123,4911,2276,8356,6355,4216,2030,7049,5336,3658,1756,6815,3785,5218,2405,4477,2106,5119,2801,4994,2852,6455,3164,7346,5048,
净利润(万元),-1253,-5590,-1117,1107,8,192,2443,2010,931,9164,7080,4263,2260,21854,17940,11973,4768,20756,15096,9769,4281,16218,12471,6860,2768,12927,8721,5827,2312,14223,10523,6687,3261,11818,8334,5391,2558,6874,4347,2314,2110,11217,9003,6791,3477,13626,11241,7266,3430,11473,8776,5790,2662,10041,7350,4426,2037,7535,5735,3786,1823,6294,4737,3257,1559,6018,3360,4485,2029,3809,1773,4367,2402,4128,2411,5469,2695,6824,4688,
