报告日期,2009-12-31,2005-09-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,1991-12-31,
基本每股收益(元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-10.88,-9.88,-9.8,-9.76,-3.53,-8.8,-7.99,-7.93,-7.45,-7.27,-6.95,-6.91,-6.08,-5.9,-5.56,-5.42,1.88,1.87,1.81,1.75,2.19,2.39,2.39,2.36,2.41,2.34,2.33,2.24,2.9,2.72,2.52,2.98,2.2,1.68,
每股经营活动产生的现金流量净额(元),--,--,--,-0,--,0,0,-0,0,0,0,0.03,0,-0.05,--,0.03,0.06,0.1,0.03,0.03,--,0.04,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),0,0,0,0,0,0,0,0,38037,28888,13552,61468,48510,30941,13824,72409,47975,81910,40143,62144,103976,339037,173267,245837,119083,175124,68114,137198,80046,227908,129028,179442,81142,87716,
主营业务利润(万元),0,0,0,0,0,0,0,0,5330,4258,2242,9354,6988,5163,2220,13225,8819,15078,6770,10757,11369,25707,11613,-4664,-314,-5909,5615,-1511,8493,838,5634,7309,5076,5261,
营业利润(万元),-8066,-3761,-1251,-33334,-1309,-3835,-1741,-6536,-9699,-3551,-889,-16908,-8721,-4648,--,-68133,2926,5219,1798,1000,827,780,250,-3214,0,-4198,0,-228,3563,3388,0,9214,5398,5261,
投资收益(万元),0,--,--,-6279,--,-6731,0,-6146,-2239,-101,0,-433,123,55,122,-9724,743,789,826,1072,1150,1875,1511,5661,2059,8655,1487,5805,1323,7500,4663,2580,2727,0,
营业外收支净额(万元),0,--,--,-15686,-619,0,0,-20111,0,0,0,-30907,-12428,-10016,-1897,-79703,0,853,0,947,0,--,0,0,743,0,417,0,607,0,0,99,--,--,
利润总额(万元),-8066,-3762,-1251,-55299,-1928,-26449,-1803,-32793,-19094,-11133,-919,-48217,-20994,-14577,-4422,-157557,4097,6861,3085,3029,2448,3338,2196,3512,2817,8219,3655,6584,5493,15564,8674,11893,7597,5241,
净利润(万元),-8066,-3762,-1251,-55299,-1928,-26449,-1803,-32793,-16393,-10766,-941,-44696,-19973,-14590,-4271,-157599,2596,3763,1831,1010,1006,623,953,2003,2055,3048,2734,4867,4670,13566,7165,10196,6663,4361,
净利润(扣除非经常性损益后)(万元),-8066,--,--,-6634,--,-3622,0,-14985,0,-3201,0,-13662,-7317,-4646,--,-71370,2318,3668,1831,1010,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),--,-4,-3,-72,3,-26,-6,-78,1306,783,560,968,0,-1572,--,783,1769,2886,964,907,--,1326,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),--,4,1,-10,--,-2,-1,-7099,-3780,140,268,-1322,0,-620,--,-373,1903,-3171,-1207,-1720,--,-1281,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),4843,5464,5481,2067,3896,5400,15749,21262,49873,62796,66361,74069,95087,101010,101907,98080,268971,232994,254506,243531,351966,348399,357242,348220,307632,352279,284211,267710,263462,253193,285168,253707,116417,66164,
流动资产(万元),203,703,699,761,--,707,356,356,21601,32368,--,--,0,0,43686,0,0,0,0,0,231387,244114,252817,243907,212403,236205,207545,196596,186702,176864,210586,188323,91756,35653,
总负债(万元),335029,305150,302657,297992,--,272475,258178,261888,273762,275486,268815,275502,268555,268093,--,251437,195983,161207,186049,177017,267025,258476,267371,263311,222507,247215,202059,189341,180518,180590,215615,189994,85640,1024346,
流动负债(万元),207808,304116,301622,296958,--,271440,258178,261888,270824,273740,--,--,0,0,257115,0,0,0,0,0,252336,253239,261670,259452,219963,243272,197925,186046,170541,169316,195338,171403,67492,1010989,
股东权益不含少数股东权益(万元),-330186,-295925,-297176,-295925,-55381,-267075,-242429,-240626,-226093,-220466,-210719,-209700,-184504,-179121,-168802,-164531,57128,56733,54893,53062,66327,72566,72424,71468,73172,71116,70802,68068,73424,68754,63752,57867,30596,13347,
净资产收益率加权(%),--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
