报告日期,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,
基本每股收益(元),-0,-0,-0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,0,--,--,-2.74,-2.84,-2.81,0.4,0.41,0.47,0.57,2.3,2.16,2.13,1.9,1.92,3.36,3.09,2.63,1.81,2.02,2.03,2.18,2.23,2.45,2.36,2.31,2.01,1.89,
每股经营活动产生的现金流量净额(元),--,--,--,--,0,0,-0.07,0,-0.05,--,-0.56,0.11,-0.03,0.28,-1.09,--,-0.64,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),0,0,0,50,171,159,745,554,319,131,692,11046,21167,10979,38586,20964,140940,64687,49070,2057,2774,1349,1290,1119,2667,526,967,741,--,
主营业务利润(万元),0,0,0,24,-1,24,158,133,68,9,149,4053,10974,7348,10345,6697,18259,5927,4852,-347,-409,-125,-659,219,112,118,57,325,--,
营业利润(万元),-9,-6,-4,12,441,-404,-27124,-2872,-2617,-1657,-11827,2877,5350,5082,5884,5008,15276,4933,4852,0,-405,0,-647,0,0,119,69,334,--,
投资收益(万元),--,--,--,--,-100,0,-28487,31,0,0,-1845,1,-594,-628,2730,533,-279,43,1526,27,276,106,856,50,904,394,728,0,--,
营业外收支净额(万元),--,--,--,--,0,0,-6831,-152,-149,0,-3700,0,-20,0,-835,0,0,0,0,0,0,0,0,165,71,0,0,--,--,
利润总额(万元),-9,-6,-4,12,79,-403,-62443,-2993,-2767,-1807,-17372,2874,4736,4157,7779,5540,14812,5014,5733,-221,104,132,322,447,1092,540,802,414,--,
净利润(万元),-9,-6,-4,9,79,-371,-61975,-2909,-2727,-1772,-16814,2516,4545,4016,7334,5421,11406,3935,4489,-220,85,132,300,388,1059,486,783,376,--,
净利润(扣除非经常性损益后)(万元),-9,-6,-4,9,-725,0,-30500,-2757,-2577,--,-12213,2520,4565,4314,8169,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
经营活动产生的现金流量净额(万元),5,8,0,0,3611,-7,-1183,0,-902,--,-10132,1973,-487,5115,-19742,--,-5578,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),5,8,0,0,3604,-8,-193,0,-193,--,-5749,-1639,1712,1430,-2120,--,-3503,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),5,9,49,49,6904,9531,9606,82930,83016,83014,83861,97909,90012,87556,81283,78400,77488,70186,59259,36314,34556,33805,36196,28095,27384,21744,13188,10267,6435,
流动资产(万元),5,9,49,49,4347,6026,0,0,--,70883,0,0,0,0,0,59478,57852,49967,43689,21511,20152,19852,22662,15709,15090,9442,7750,6604,3372,
总负债(万元),5,5,44,40,56200,60418,60090,74954,74814,73851,72892,46746,50105,48319,46273,43467,42941,39361,33432,20604,18639,17833,20589,12160,11446,6457,3933,4226,770,
流动负债(万元),5,5,44,40,56200,60418,0,0,--,73851,0,0,0,0,0,38085,42563,39269,32698,12823,10944,17749,20511,12088,11376,6357,3833,4096,610,
股东权益不含少数股东权益(万元),0,3,6,9,-49296,-50974,-50578,7268,7451,8405,10177,41396,38757,38228,34142,34514,29093,26730,22796,15705,15916,15972,15608,15936,15938,15288,9255,6041,5665,
净资产收益率加权(%),-198.43,-99.06,-49.15,195.75,0,0,0,0,0,--,-90.47,6.27,12.48,0,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
