报告日期,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),1.82,1.84,1.86,1.89,2.35,2.35,2.35,2.35,2.37,2.37,2.81,2.81,2.78,2.75,2.72,2.71,2.7,2.12,2.05,1.9,1.85,2.43,2.21,1.97,1.88,2.26,3.81,3.56,--,--,
每股经营活动产生的现金流量净额(元),0,0,0,-0.71,0,0,0,-0.9,0,0,0,0.38,0,0.1,--,0.49,0.16,0.66,0.46,1.41,0.75,0.22,0.3,--,--,--,--,--,--,--,
主营业务收入(万元),6061,4858,943,4063,20948,16482,11113,38369,33579,29203,3839,21496,15165,10372,4992,21052,11478,35528,17755,31793,16101,28950,7323,6222,2368,2958,1601,3621,1547,--,
主营业务利润(万元),856,725,256,1684,2053,1894,1228,7061,4680,3553,1045,8199,7699,4610,2708,10023,5904,14142,8730,13760,8262,12994,2987,-590,-800,-892,299,176,43,--,
营业利润(万元),-2023,-1633,-905,-8939,-272,-22,-130,2043,1722,1807,543,4486,4579,2443,1247,5664,3372,10382,6957,12237,7372,10748,1765,-548,0,-873,306,185,0,--,
投资收益(万元),-135,-86,-49,-4401,-102,-50,2,1730,-183,-115,-53,1052,-112,-108,-3,-512,-527,-690,-208,395,449,994,735,4640,3458,3703,1002,2029,1431,--,
营业外收支净额(万元),0,0,0,-595,824,0,0,-1669,0,232,2,-368,-54,-52,0,-237,-0,-226,0,-9,0,0,0,0,1,0,--,--,--,--,
利润总额(万元),-2163,-1712,-958,-13858,473,477,155,2228,1777,1945,492,5288,4414,2283,1243,4933,2845,9466,6545,12623,7722,11742,2499,4146,2683,3097,1374,2228,2139,--,
净利润(万元),-2071,-1603,-872,-13840,109,147,61,260,982,911,227,1582,877,247,198,992,501,5108,3254,6530,4422,6060,1700,3483,2244,2636,1197,2031,2021,--,
净利润(扣除非经常性损益后)(万元),0,-1616,0,-13523,0,-662,0,-530,0,354,0,792,1031,422,--,983,312,5316,3465,6558,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),2289,2142,2573,-20416,-3570,74,7760,-25721,-10794,-8180,-9829,9095,0,2333,--,11847,3842,15051,10520,32055,17009,3363,4581,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-953,-593,-601,-42345,-35966,-22521,4206,5359,17764,10499,-11119,2213,0,-8440,--,19179,6749,-1832,1981,10110,18730,1655,0,--,--,--,--,--,--,--,
总资产(万元),111946,112344,115420,115531,157726,167547,169783,163993,150028,125176,122610,108536,145852,138533,143940,148546,147849,135827,136199,128714,143395,163450,199591,48010,46183,41428,34546,30887,27792,18957,
流动资产(万元),74597,74989,78000,78127,98056,108174,115587,108470,99579,83827,--,--,--,--,45260,48689,0,0,0,0,62204,48351,66928,28591,26958,23183,16843,13119,10319,9784,
总负债(万元),55898,55835,55346,57230,83578,93339,95970,88632,72674,50428,48761,37590,24266,18593,25881,31300,--,36230,39682,37045,50733,77966,135754,16224,15626,13016,14561,12044,0,0,
流动负债(万元),42227,42061,44295,43368,71325,81028,89483,83677,72629,50379,--,--,--,--,22881,28300,0,0,0,0,41649,42944,53654,16215,12969,10359,12906,9973,9242,2598,
股东权益不含少数股东权益(万元),52383,52851,53582,54454,67635,67673,67587,67526,68244,68166,67394,67255,66539,65909,65180,65085,64594,48227,46483,43229,42011,36816,33486,29745,28506,26261,18278,17082,15051,14698,
净资产收益率加权(%),0,-3.04,0,-22.69,0,0.22,0,0.39,0,1.35,0,2.39,1.33,0,--,1.52,0.91,11.18,0,0,--,18.22,--,--,--,0,--,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
