报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.38,0.2,0.79,0.59,0.37,0.41,1.69,1.23,0.81,0.33,1.29,0.88,0.55,0.26,1.07,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,4.13,--,--,--,2.83,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.51,--,--,--,1.03,--,--,
主营业务收入(万元),16534,8307,34173,24572,15590,6238,24987,18606,11385,4896,18305,13229,7695,3713,14846,12714,11200,
主营业务利润(万元),8437,4297,17612,12870,8175,3272,12871,9365,5823,2463,8870,6331,3799,2190,7234,6490,5610,
营业利润(万元),4637,2512,9645,7240,4631,1999,7381,5535,3377,1350,4878,3288,2154,1286,4165,3591,3564,
投资收益(万元),-22,-7,336,244,257,101,-28,--,--,--,--,--,--,--,70,131,2,
营业外收支净额(万元),1,--,-7,-3,-3,19,44,122,77,74,295,197,68,13,8,33,105,
利润总额(万元),4638,2512,9638,7237,4628,2018,7424,5656,3453,1423,5173,3485,2222,1299,4172,3624,3670,
净利润(万元),4005,2112,8361,6177,3910,1716,6225,4371,2602,1037,4083,2779,1728,828,3309,2551,2844,
净利润(扣除非经常性损益后)(万元),3653,2036,7606,5589,3418,1496,5969,4188,2543,981,3855,--,1674,815,2969,1599,1069,
经营活动产生的现金流量净额(万元),587,499,2713,708,-651,-702,2324,1382,-229,-1688,1617,-840,-874,-1521,3243,2097,3473,
现金及现金等价物净增加额(万元),1000,-1055,4425,2140,4830,3252,639,15258,18361,-2161,-2266,-4468,-1377,-1694,4094,313,115,
总资产(万元),49967,48777,47910,45663,42316,44065,43058,41350,43493,22132,22935,--,--,--,13016,10015,9032,
流动资产(万元),39438,38144,37176,35374,32128,33981,32781,31174,33773,12323,12852,--,--,--,11680,8433,8113,
总负债(万元),4965,5774,7080,7057,6127,3894,4681,4799,8703,8021,9880,--,--,--,4075,4685,3340,
流动负债(万元),4936,5743,7047,7022,6089,3855,4639,4725,5002,4131,5803,--,--,--,4075,4682,3340,
股东权益不含少数股东权益(万元),45002,43003,40830,38605,36189,40171,38377,36551,34790,14110,13054,--,--,--,8941,5330,5692,
净资产收益率加权(%),9.35,5.04,21.51,19.19,9.69,4.37,24.19,26.86,18.04,7.64,37.18,--,17.07,8.85,47.27,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
