报告日期,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2004-12-31,2004-03-31,2003-12-31,2002-12-31,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),-0.01,-0,0.01,0.01,-0.01,0.01,0,4.85,4.85,2.45,-0.02,-0.04,-0.02,-0.04,--,--,--,--,--,-0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),0.19,0.2,0.2,0.24,0.21,0.23,0.22,0.22,0.48,-5.35,-9.91,-9.9,-9.89,-9.86,-9.96,-9.87,-9.93,-9.83,-9.08,-8.98,-8.94,-9,-8.89,-7.81,-7.62,-7.55,0,-2.99,-2.98,-1.77,-1.73,-1.63,0.09,0.31,1.42,1.38,3.27,3.38,3.41,3.28,4.3,4,5,4.8,4.77,5.81,3.77,3.34,0,
每股经营活动产生的现金流量净额(元),-0.01,-0,-0.05,-0.06,-0.02,-0.07,--,-0.12,--,0.01,--,0,--,-0.01,--,0,--,0,0,-0.01,--,0.01,--,0.02,--,--,0,0,0.04,--,0.22,0,0.04,-0.06,--,0.26,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),607,316,2953,1958,860,7901,3832,2509,587,1121,472,938,444,840,379,730,329,697,341,644,308,1776,309,2441,565,2580,2070,441,3661,16774,11397,46472,15480,48042,31944,52420,31855,52610,33017,67023,32681,90120,45325,107238,49577,105412,78776,46865,--,
主营业务利润(万元),89,22,1223,744,120,2596,1205,1087,245,586,195,425,185,492,285,541,237,509,247,459,189,1535,189,1153,203,1046,554,86,-45,4000,2356,13601,3410,13734,8558,11286,9573,873,619,-3781,1071,1877,2299,9720,11018,23480,12056,2012,--,
营业利润(万元),-313,-195,403,264,-458,250,29,-864,-724,-1236,-1012,-1302,-768,-1273,-3612,-1437,-3878,-1377,-3831,-1697,-3962,-1880,-3982,-8903,-4230,-25732,-18981,0,-7379,0,-4986,-54186,-7611,-11862,-1372,-26633,-3992,1480,0,-3317,0,2284,0,11604,0,14615,12158,4241,--,
投资收益(万元),--,--,358,652,9,61,4,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,113,109,-2806,-5189,0,9898,1459,1446,-5932,230,-3192,2678,-1874,-132,2342,736,392,1473,1841,1291,1714,1476,2604,517,181,--,
营业外收支净额(万元),10,2,32,17,2,3,3,162605,162565,82848,520,6,6,1,1,0,0,4,1,-5,0,3,2,79,8,-12080,0,-3,-1367,19,0,1083,0,-2558,0,--,0,0,147,0,85,0,0,0,0,--,--,--,--,
利润总额(万元),-303,-193,435,281,-456,253,32,161741,161841,81613,-492,-1296,-762,-1272,-3611,-1437,-3878,-1372,-3830,-1701,-3962,-1877,-3980,-8711,-4113,-40618,-24427,0,1152,0,-3328,-58729,-7155,-17331,1195,-28838,-3973,4561,1683,-2544,3239,5068,3718,14045,9091,12604,7736,3649,--,
净利润(万元),-303,-193,435,286,-456,243,32,161702,161708,81613,-492,-1296,-762,-1272,-2933,-1437,-3166,-1372,-3165,-1701,-3158,-1877,-3161,-6445,-4113,-27195,-24427,-441,1152,-4665,-3328,-60527,-7155,-18200,1199,-27327,-3593,3373,1385,-2736,2984,4487,4558,12951,8044,11668,5237,2826,--,
