报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,
基本每股收益(元),0.32,0.18,0.33,0.31,0.21,0.12,0.49,0.4,0.27,0.17,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,5.92,--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.3,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),200472,104334,254523,201727,136088,67960,266978,202111,135303,69892,251989,123006,579703,352251,292892,97878,196346,96467,151355,
主营业务利润(万元),110758,63612,112158,104949,70002,37045,131722,109148,73759,45015,130986,65594,360092,244122,166202,42084,85841,44503,61821,
营业利润(万元),110758,63612,112158,104949,70002,37045,131722,109148,73759,45015,130986,65594,360092,244122,166202,42084,85841,44503,61821,
投资收益(万元),42621,23772,79744,69621,45643,23815,72565,54222,36242,19540,32301,12589,53982,15695,31426,13019,29315,15420,21133,
营业外收支净额(万元),363,-104,-597,-434,677,663,-392,-643,-378,235,1068,606,1137,-107,-318,17,127,-603,-7363,
利润总额(万元),111120,63508,111561,104515,70679,37708,131329,108505,73381,45251,132055,66200,361229,244015,165884,42100,85968,43900,54458,
净利润(万元),85294,47303,84513,80206,53673,28734,101912,84669,57408,34922,104110,50793,272166,182936,126125,33754,65400,34843,40401,
净利润(扣除非经常性损益后)(万元),84909,47381,81442,76529,53188,28260,93587,81668,54222,34687,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),326620,438035,-301251,-353776,-150713,-186315,14541,45042,62887,-292424,--,--,--,--,--,--,81059,--,-45607,
现金及现金等价物净增加额(万元),485392,853300,-67949,-32489,7682,213258,-552068,-513171,-283316,-325742,--,--,--,--,--,--,-68773,--,-136203,
总资产(万元),6462176,6155721,4678089,4840275,5287732,5799611,5051676,--,4713482,--,4540651,4705297,5385410,7018417,3341731,2233017,1913303,1723231,1723222,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
总负债(万元),4549326,4261680,2838076,3005581,3482902,4004373,3769679,--,3460548,--,3353670,3572534,4281576,6004929,2523557,1491299,1208755,1045117,1087175,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股东权益不含少数股东权益(万元),1908145,1889620,1835587,1830309,1800447,1788974,1275733,--,1242306,--,1186981,1132763,1103833,1013488,818175,735404,698267,671713,636047,
净资产收益率加权(%),4.53,2.54,4.81,4.6,3.15,1.67,8.26,6.89,4.72,2.67,--,--,--,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
