报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.1,0.01,0.43,0.2,0.1,0.04,0.28,0.13,0.09,0.03,0.24,0.14,0.1,0.09,0.6,0.42,0.31,0.12,0.59,0.39,0.01,0.55,0.55,0.38,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.76,--,--,--,4.43,--,4.24,--,--,3.75,3.27,2.83,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.23,--,--,--,-0.1,--,1.16,--,--,0.59,0.57,0.7,
主营业务收入(万元),57338,21644,137997,73672,47863,19057,62111,34181,23013,10489,51523,33744,22469,10867,41932,28951,19079,8440,35846,24082,6009,34222,33107,27385,
主营业务利润(万元),18168,7103,46352,25891,16227,6787,24293,13113,8700,4078,17868,11620,8192,4087,15093,10257,7042,3231,14464,10442,2278,13673,12002,10274,
营业利润(万元),2828,456,11198,4823,2887,1286,6345,2229,1690,581,3125,1628,1598,853,3518,2257,1948,789,3239,2580,-42,3251,3158,2521,
投资收益(万元),-33,42,47,58,13,7,49,49,54,20,311,230,139,24,235,179,112,62,--,--,--,--,--,--,
营业外收支净额(万元),11,10,-86,-11,-103,-73,-3,523,189,179,2343,1501,709,133,1595,1251,688,231,1839,777,155,1408,1439,753,
利润总额(万元),2840,466,11112,4812,2784,1214,6342,2752,1879,760,5468,3130,2307,986,5113,3508,2637,1020,5078,3357,113,4659,4597,3273,
净利润(万元),2610,371,10102,4448,2367,923,5712,2561,1823,687,4821,2769,2029,860,4522,3131,2303,897,4409,2923,81,4154,4106,2825,
净利润(扣除非经常性损益后)(万元),1675,-275,8924,3792,1868,762,4796,2033,1595,600,3672,2227,1650,735,3975,2820,1999,670,3955,2543,-63,3940,3727,2732,
经营活动产生的现金流量净额(万元),-4822,-9084,-11264,-11595,-2267,-2997,-1173,-3745,-2207,-4211,-4076,-5166,-4547,-4693,3496,602,-723,-2388,8685,1838,-2046,4454,4305,5257,
现金及现金等价物净增加额(万元),10464,7561,-2003,27945,-8383,-6030,795,-3867,-4945,-4822,-22448,-25384,-24066,-20161,21719,-37,-1913,-3412,6995,-179,-2879,556,828,1507,
总资产(万元),315153,311754,276912,308597,251444,234263,229832,95275,90680,90213,91262,93013,92524,94552,98838,76540,74556,70103,69323,--,--,50759,45728,38352,
流动资产(万元),184014,180709,154837,188120,133912,117797,114071,59965,58849,60715,61992,70294,71360,77864,82601,60883,58722,54576,53602,--,--,34291,31440,28236,
总负债(万元),142864,140377,106120,145182,125475,108543,105089,28297,29734,29272,30960,34349,37292,38489,43634,42521,41366,38319,37536,--,--,22631,21180,17160,
流动负债(万元),141218,138385,103936,143035,123137,106017,102377,26904,28039,27572,29256,32641,35578,36771,41912,40794,39855,36803,36015,--,--,21644,20810,16790,
股东权益不含少数股东权益(万元),168696,167738,167382,159949,122418,122116,121193,63959,58848,58712,58025,55973,55233,56064,55204,34018,33189,31784,31787,--,--,28128,24548,21192,
净资产收益率加权(%),1.55,0.22,7.49,3.62,1.95,0.76,8.77,4.36,3.12,1.18,8.54,5,3.68,1.55,13.55,9.56,7.09,2.78,14.78,10.02,0.29,15.86,18.1,14.5,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
