报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),-0.01,-0.01,0.02,0,0.01,0,0.03,0,-0.01,-0.01,0.07,0.01,-0.02,-0.01,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),0.21,--,0.21,--,0.18,--,0.13,--,0.1,--,0.11,--,--,--,--,--,--,--,-1.09,-1.08,-1.1,-0.52,-0.48,-0.44,-0.42,0.21,0.24,0.55,0.57,1.46,1.45,1.46,1.42,1.54,1.4,1.47,2.01,1.71,2.32,2,1.72,1.76,1.71,1.67,1.7,1.78,1.77,1.71,1.53,1.41,1.21,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,-0.04,0,0,0,-0.01,0,0,0,-0.24,0,0.02,--,0.3,0.25,0.23,0.38,0.58,--,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),6570,3150,19191,12225,6910,3154,25960,15441,9864,6109,39210,17141,8574,4056,25552,0,0,0,0,0,0,259,205,121,455,361,279,177,13175,24964,22145,14144,54277,39619,63539,42196,69552,38112,43529,24329,13961,6480,17387,7114,18489,8115,19438,7685,15400,7939,16607,16995,16479,
主营业务利润(万元),984,252,3882,2224,1523,986,4295,1869,939,567,7100,2982,560,230,4834,0,0,0,0,0,0,-1296,-851,-137,-1729,-422,-282,-157,2057,6240,5268,3518,15907,12281,19009,12233,27341,15354,12120,5239,-1001,378,-310,-716,-1043,78,1781,739,2968,1494,0,0,0,
营业利润(万元),-283,-341,1234,230,249,194,2111,-85,-596,-245,3334,398,-1317,-551,2438,-27025,-10,-13,-480,-248,-3118,-4882,-2825,-950,-38731,-13317,-11967,-958,-34869,1622,2468,2288,10433,9296,13517,8478,23550,13961,9618,3921,-700,0,-287,0,-944,0,0,779,2977,1498,0,0,0,
投资收益(万元),8,1,22,20,15,1,53,116,35,26,181,-23,-29,--,581,--,--,--,0,1000,-2677,0,0,0,-4838,-3411,-3411,0,-925,0,0,0,304,-75,-259,-43,2698,2157,419,410,73,21,41,39,39,48,84,445,68,31,0,0,0,
营业外收支净额(万元),11,8,50,163,195,27,-790,265,164,-83,-214,99,11,-9,152,18152,-1,--,0,0,-24184,0,0,0,-3459,0,0,0,-4306,-498,-487,0,-5991,0,-1704,0,-15,0,0,0,0,-5,0,-0,0,-0,-9,0,0,0,--,--,--,
利润总额(万元),-272,-333,1284,393,444,222,1321,180,-432,-328,3120,497,-1306,-560,2591,-8873,-11,-13,-480,752,-29979,-4882,-2825,-950,-47028,-17000,-15651,-972,-40070,2454,2011,2314,6385,10791,13371,10241,27316,17197,10463,4328,-638,399,-254,-662,-914,166,1945,1217,3010,1508,2813,2613,2341,
净利润(万元),-348,-334,1023,61,425,218,1229,103,-415,-274,3283,646,-970,-318,1173,-8873,-11,-13,-480,752,-29979,-4518,-2611,-870,-43994,-16010,-14756,-906,-37418,1554,1299,1667,2544,7898,11625,9332,24233,15162,8989,3864,144,700,174,-390,-914,145,1470,961,2559,1271,2391,1751,1568,
净利润(扣除非经常性损益后)(万元),-372,-347,579,-557,-143,122,909,-658,-648,-265,3842,992,-542,-245,575,--,--,--,-480,0,-5795,0,-2611,0,-23423,0,-14484,0,-33142,721,1757,--,6684,5490,10978,7526,23165,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
经营活动产生的现金流量净额(万元),2775,1094,5192,2201,2115,-1193,1378,8738,10016,-2103,1583,3364,2942,858,2546,10,-0,-0,-6,-4,-1683,-221,-142,-102,-322,-288,-276,-201,-10580,0,775,--,13110,10963,10032,16947,16113,--,1629,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),2325,310,307,-154,3347,-181,-2511,-2109,-1657,-548,-6923,-8409,-8410,-4883,7621,9,-0,-0,-6,-4,-32,-85,-91,0,-6338,-6402,-6334,-3376,-5883,0,7314,--,5498,1757,1600,14212,5095,--,265,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),36915,29468,32329,28303,31840,29254,30799,28883,28776,31286,33432,37332,32757,37072,43830,10,43,222,1177,1181,2568,55673,56506,57122,57723,89902,90534,107974,111202,131586,131868,122905,115532,113900,120710,105684,90383,72743,57160,37303,39394,42631,38554,41598,39560,41045,37378,34632,29736,27371,24403,--,--,
流动资产(万元),23795,16388,19468,16451,20121,17473,18844,17176,16770,19199,21074,21972,17181,21306,30651,10,43,222,967,971,2568,1725,1794,0,1901,26917,27287,46588,--,--,0,59398,0,0,0,0,42932,46168,31955,20614,11996,15073,10113,13471,11475,16763,17517,14605,9658,7918,6968,--,--,
