报告日期,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),1.6,1.68,1.69,1.64,1.55,1.09,0.99,0.92,0.9,0.87,0.86,0.8,0.9,0.99,1.06,1.09,1.42,1.6,1.86,1.79,1.77,1.75,1.75,1.74,1.77,1.74,--,--,--,--,
每股经营活动产生的现金流量净额(元),0,--,--,0.95,0,0,--,1.12,0,0,0,0.52,0,0.15,--,0.67,0.12,0,-0.16,0.17,--,0.38,--,--,--,--,--,--,--,--,
主营业务收入(万元),2312952,1612220,831749,2790279,2027260,1255672,628160,1906487,1394114,888513,463011,1231914,810031,427006,232823,1191408,600043,1384672,598375,1098004,524529,922177,496972,896602,492331,806096,409484,743877,619488,564387,
主营业务利润(万元),57279,58974,44763,328986,269654,123487,54221,158969,113726,75632,46097,76492,52924,25873,11721,28258,31225,123940,80229,156492,69490,150993,71522,19889,22792,39185,47365,107159,--,--,
营业利润(万元),-3813,17427,21944,232131,194118,65939,25984,47788,36425,25601,20196,-36883,-35090,-22682,-11137,-180766,-62130,65,6954,23744,8120,12875,7902,19889,0,39185,47365,107159,--,--,
投资收益(万元),1471,1140,514,4051,2536,1356,545,-434,513,260,90,-831,-197,-492,317,3933,1224,3746,497,-502,-645,-3772,-1165,0,0,-1134,-787,2746,--,--,
营业外收支净额(万元),0,-671,-557,-838,0,0,-1355,-5154,-2397,0,0,-65390,-30901,-12132,0,-3124,0,-600,0,-970,0,--,0,0,-635,0,--,--,--,--,
利润总额(万元),-23487,18164,22169,235344,187164,59230,25174,42251,34591,23951,18988,-103104,-66188,-35306,-11086,-179740,-64002,-86301,7098,22734,7149,9931,6301,15431,0,37700,46179,110178,--,--,
净利润(万元),-15143,12396,14719,257376,225346,60509,25928,42400,34804,24097,19330,-102573,-65901,-35253,-11048,-180302,-64190,-87877,4493,14863,4545,6196,4130,9301,10320,24928,30635,74262,55589,64720,
净利润(扣除非经常性损益后)(万元),0,12588,--,256925,0,64485,--,44974,0,28600,0,-24500,-21890,-23723,--,-170600,-64190,1500,4493,14863,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),127032,214576,82667,337253,292303,147875,44950,400621,302545,191220,91255,185995,0,52252,--,237916,42717,13738,-57987,58896,--,130021,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),91,2567,-88,-2087,-1557,-1922,-2267,269,-1561,-1643,1008,-411,0,-575,--,-19205,-18439,-1782,8865,1720,--,-63617,--,--,--,--,--,--,--,--,
总资产(万元),1291916,1271787,1291066,1439276,1356712,1320221,1315691,1343490,1368706,1388847,1394955,1433623,1401042,1453474,1451426,1453195,1645622,1771071,1693576,1587635,1558256,1564921,1512636,1535101,1538025,1492896,1325757,1216957,--,--,
流动资产(万元),267599,219855,214502,332782,235236,217440,200616,205589,221374,219701,--,0,0,0,256190,0,0,0,0,0,340579,325119,336979,347199,340316,281081,261558,260058,--,--,
总负债(万元),721001,671952,689539,852486,801831,929924,959450,1012423,1045273,1076053,1087135,1144791,1075244,1096793,1070080,1060744,1136861,1196558,1026490,974505,954379,965674,912381,938987,931928,897199,723565,645497,--,--,
流动负债(万元),653746,599917,604149,762884,708750,752968,711038,771634,800681,777731,--,0,0,0,466049,0,0,0,0,0,315266,329459,351090,384852,358800,361821,260740,296083,--,--,
股东权益不含少数股东权益(万元),570411,597758,600081,585362,553332,388495,353915,327986,320391,309684,304917,285587,322259,352907,377126,388174,504309,568725,661911,608892,602183,597665,598642,594538,604451,594157,600599,569964,373935,239085,
净资产收益率加权(%),0,2.1,--,56.36,0,16.89,--,13.82,0,0,0,-30.45,0,0,--,-37.69,0,-14.58,0,2.47,--,1.04,--,--,--,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
