报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),-0.01,-0.01,-0.04,-0.02,-0.02,-0.01,-0.05,-0.04,-0.03,-0,0.01,-0.03,-0.01,-0.01,-0.03,0.04,0.05,0.01,0.03,0.01,0.01,0.01,0.02,0.03,0.02,0.01,0.08,-0.07,-0.04,-0.02,0.07,-0.03,-0.01,-0.03,-0.13,-0.05,-0.04,-0.02,0.01,-0.09,-0.06,-0.02,-0.33,-0.14,-0.1,-0.05,-0.25,0.01,0.02,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0.97,0.99,1.01,1.03,0.93,0.95,0.94,0.97,1.05,1.06,1.08,1.1,1,1.02,1.06,1.08,1.28,1.32,1.37,1.42,1.65,1.66,1.66,1.64,1.74,1.64,1.62,1.6,1.62,1.6,1.64,1.62,1.55,1.5,1.77,1.72,1.64,2.39,2.35,2.32,2.25,2.17,2.12,2.1,2.13,2.06,1.4,1.41,1.17,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0.22,0.04,0.02,0.01,0.12,0.07,0,0.29,0.13,0.13,0.09,-0.02,--,0.01,0.02,-0.19,-0.14,-0.02,-0.01,0.21,0.18,0.2,0.18,0.3,0,0,--,0.01,0,0,0,0.03,0,0,0,0.23,0,0,0,0.56,0,-0.08,0,-0.38,-0.2,0.16,0.4,--,--,
主营业务收入(万元),90,36,9672,9508,9405,5761,56399,33053,19046,13628,35359,23128,20019,3101,35614,25730,8485,3264,18841,7305,5657,4555,14846,13314,10139,5301,30098,763,762,401,8730,7539,4676,2287,14945,11641,7963,4006,15200,10514,7393,4517,19912,14648,9448,4899,40782,34934,29035,13061,48356,33100,22281,10226,45905,31020,21677,15669,65172,50152,33092,14504,48829,31254,19657,11589,47682,32648,17707,8687,40193,11463,59906,45929,22010,12377,
主营业务利润(万元),-37,-19,82,42,20,63,1636,1548,1127,833,1613,1103,947,191,1639,1234,863,711,4961,1995,1470,961,3966,3419,2591,1261,4736,239,238,52,1664,1605,903,445,3068,2971,2267,1304,3860,2966,2006,1255,4571,3560,2282,1222,15073,13635,12204,13015,19592,14088,10334,4465,18443,12283,8695,4744,19308,13107,8452,4482,15772,9567,5677,2788,11166,9843,3330,1357,7785,2845,12304,6504,3622,2572,
营业利润(万元),-415,-225,-1350,-699,-415,-239,-826,-467,-289,423,-748,-280,41,-272,863,1622,1769,428,2403,978,848,476,1697,1608,1330,646,501,-2161,-1419,-692,-2371,-663,-145,-885,-3749,-911,-661,-393,368,-2621,-1931,-551,-11130,-4301,-3027,-1337,-3990,3139,3496,1360,1913,2652,2916,1195,3919,3480,2312,1573,8683,6097,3590,1667,7723,4510,2146,878,5026,0,1533,0,4328,1574,9521,5616,3079,2219,
投资收益(万元),8,8,-0,0,0,0,-708,-150,3,-2,-269,-1,-0,--,1428,1428,1428,--,0,--,--,--,--,--,--,--,1,1,--,--,1044,848,817,11,-107,--,--,--,5116,185,185,185,84,0,0,--,9935,609,0,0,2953,4441,-254,-129,-612,-355,-236,-117,-462,-348,-237,-119,-467,-358,-239,-119,-243,-421,-62,-54,442,432,0,0,184,0,
营业外收支净额(万元),1,1,42,38,41,-19,-36,-36,-0,-0,1916,-29,-20,-20,55,86,9,-11,-53,-53,-53,-74,-12,-27,-25,-19,3295,-86,-6,-4,4832,-174,-180,-76,-300,-94,-75,-45,51,-93,-45,-33,-329,-227,-200,--,--,546,556,547,-1347,0,0,-2,-328,0,0,0,-77,0,0,0,-14,0,0,0,-75,0,-0,0,-4,0,-0,0,--,--,
利润总额(万元),-414,-224,-1308,-661,-374,-257,-861,-502,-290,423,1168,-309,21,-292,918,1708,1778,417,2350,925,795,402,1685,1582,1305,627,3796,-2247,-1425,-696,2461,-837,-325,-961,-4049,-1005,-736,-439,419,-2715,-1975,-584,-11459,-4528,-3226,-1429,-4001,3685,4052,1907,3950,6032,2285,1168,3322,3440,2252,1545,8345,5732,3308,1579,7525,4271,1941,778,4928,4701,1793,679,5270,2004,9521,5708,3056,1953,
净利润(万元),-426,-217,-1339,-769,-500,-256,-1435,-1175,-800,-41,223,-794,-431,-350,-825,1300,1538,260,1019,444,419,200,689,830,718,343,2607,-2177,-1357,-694,2139,-1041,-443,-940,-4119,-1461,-1134,-581,373,-2846,-2046,-702,-10557,-4424,-3123,-1444,-7970,192,579,297,1175,4386,988,615,1262,1838,1054,868,5305,3210,1667,767,4758,2711,1226,529,4015,2837,1366,456,3390,1350,6305,3799,1983,1457,
