报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.02,-0,-0.01,-0.02,-0.03,-0.02,0.04,0.04,0.02,0.01,0.12,0.07,0.03,0,0.26,0.04,0.03,0,0.16,0.07,0.05,0.02,0.16,0.03,0.01,-0,0.53,-0.03,-0.01,-0.04,0.22,0.17,0.12,0.06,0.24,0.2,0.12,0.06,0.06,0.08,0.02,-0.05,0.08,0.11,0.09,0.04,0.22,0.16,0.09,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.68,2.75,3.01,3.04,2.99,2.95,2.88,2.82,2.82,2.75,2.68,2.56,2.58,2.53,2.46,2.51,2.55,2.53,2.48,2.44,2.34,2.64,2.6,2.62,2.57,2.51,2.47,2.43,2.4,2.34,2.3,2.27,2.28,2.16,2.21,2.17,2.12,2.05,1.97,1.95,2.01,1.95,1.87,1.84,1.88,1.74,1.74,1.94,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.45,-0.66,-0.76,-0.41,-0.06,-0.36,-0.35,0.39,0.23,-0.05,-0.08,-0.24,-0.11,0.1,0.08,-0.06,0.32,0.3,0.12,0.13,0.09,0.02,0.01,0.47,0,--,0,0.09,0,0,0,0.13,0,0,0,0.11,0,0,0,0.25,0,0.09,--,0.06,0.03,0.2,0.05,0.11,--,--,
主营业务收入(万元),173313,83619,368300,271354,174716,79149,358316,255833,156720,79606,360776,244319,149286,72323,328204,241256,157994,77092,355270,271814,179014,87148,400611,302570,198668,99744,364670,251919,153698,64183,402652,314060,210217,101238,389854,286916,190599,88844,237264,142041,57419,18944,141267,114992,83102,42954,126951,70941,32798,13947,67013,40119,26721,14352,60413,42471,28485,11086,59239,43542,28969,11302,60653,41787,25313,10811,74061,54801,35098,14791,51130,25104,40524,16939,29626,21563,10736,
主营业务利润(万元),18325,5276,30912,23536,14190,7660,45183,30042,18058,9054,49801,31479,18405,10104,53256,35606,23549,10961,56736,40828,27685,13323,54535,36974,23129,11273,48331,27309,17334,5620,59349,44904,30638,14372,65758,49343,32454,14979,30225,17764,1165,-232,20179,16487,12400,5132,16030,9416,3999,--,5468,3825,2520,1376,5997,4531,2612,1044,8776,6831,4593,1797,9999,7286,4385,1828,14902,10973,7063,2699,8301,3795,8660,3759,7588,3862,1658,
营业利润(万元),100,-1478,-8028,-1668,-3067,-2097,6224,2719,914,665,13622,5849,1708,173,16423,4686,2856,59,15436,9351,6749,2832,6666,4510,1519,47,25919,-6517,-4404,-5130,22312,16472,12370,5418,24223,20737,12665,5247,3831,6743,382,-3119,4012,5986,5408,2028,11435,8639,4547,1897,178,-110,-60,77,439,667,256,36,2764,2414,1652,548,4465,3163,1932,568,6399,3914,2394,589,2723,1254,5205,2291,3720,-49,-150,
投资收益(万元),1677,886,1801,218,-9,--,3464,2909,1627,793,1940,1628,324,330,12117,1127,777,400,1249,335,28,--,66,36,15,13,33106,5072,3267,1560,5865,4422,3020,1656,5956,4423,2676,1379,6353,9859,7843,1395,5826,5166,3299,1587,9424,7218,3968,1736,8585,6522,3946,1736,6918,5735,3246,1538,7371,5824,3506,1456,6726,5778,3224,869,5485,5360,3557,1110,10171,5171,6903,4085,9401,10432,9249,
营业外收支净额(万元),14,64,2446,33,67,85,-2484,216,619,328,2507,2080,1363,664,2247,1800,1140,382,4262,665,274,78,7461,307,307,252,1593,515,133,67,416,397,322,79,-268,-511,-604,63,3247,5,58,43,-5,--,29,--,--,--,--,--,0,0,--,1,-21,0,0,0,26,0,0,0,83,32,44,15,-35,-30,-20,0,12,0,350,0,0,--,--,
利润总额(万元),114,-1414,-5582,-1636,-3000,-2012,3740,2935,1533,993,16128,7930,3071,837,18670,6486,3996,441,19698,10016,7022,2910,14127,4817,1826,299,27513,-6002,-4271,-5063,22728,16869,12692,5496,23955,20225,12060,5309,7078,6748,440,-3076,4007,6018,5436,2057,11815,8639,4547,1897,8871,6451,3926,1814,7337,6419,3519,1574,10161,8260,5187,2033,11274,8974,5200,1451,11848,9244,5931,1698,12905,6454,12588,6380,13265,10390,9095,
净利润(万元),1049,-69,-281,-1029,-1530,-1020,1864,1916,1249,672,6132,3635,1550,104,13309,2179,1256,92,8328,3717,2509,886,7906,1431,389,-120,26848,-1266,-723,-1871,11193,8506,6178,2963,12031,9911,6045,2846,2887,3903,1116,-2386,4259,5642,4777,1879,10965,7887,4054,1788,8605,6340,3829,1754,7002,6018,3285,1523,8995,7307,4504,1803,9645,7692,4424,1204,9571,7639,4923,1438,11870,5853,11304,5573,10699,9523,8388,
净利润(扣除非经常性损益后)(万元),881,-133,-3609,-1457,-1920,-1170,1234,1602,1008,531,2782,2907,991,-120,1118,1409,739,-46,5603,3381,2344,846,3105,1330,289,-148,5168,--,-767,--,11003,--,6127,--,11932,0,6358,--,1002,--,-3728,0,3690,0,4458,0,10396,0,4054,--,8310,0,3803,0,7017,0,3273,0,8978,0,4484,0,9255,0,4419,0,9197,7666,4942,--,7034,3301,7634,3680,0,--,--,
经营活动产生的现金流量净额(万元),-34916,20469,39347,38542,6879,2598,-3677,1338,-60713,-66713,40911,-9654,-33836,-40957,61349,36425,30311,11092,47989,18320,-21910,-9418,82125,14777,41076,19866,1916,-22649,-33159,-38469,-20824,-2816,-18051,-17491,19521,11544,-2630,-4247,-12098,-5552,4867,3800,-2782,16048,14922,6086,6704,4420,892,536,20782,-1266,-1028,3400,3752,2626,-38,2312,5834,2115,-638,-1464,5024,720,-1295,-1325,11139,0,3732,--,2695,1176,8719,2128,0,--,--,
现金及现金等价物净增加额(万元),7284,-3900,-12624,-12665,-5988,-13694,-10285,11583,-6901,-12163,17114,-25628,-33115,-37052,7271,-30763,-35293,-22916,-8700,-8963,-4492,8160,-17862,-34259,-26873,-33011,1431,-23940,-19832,-24659,9071,-9381,-10983,-1172,-5518,-9979,-1521,30816,12094,14377,52977,8939,14432,31225,1232,1573,-4913,469,-622,1220,-4493,-3639,-4690,-3684,-1327,-6378,-2916,3065,7026,8688,13184,19528,-294,-4193,-5159,-5932,2903,0,6009,--,-3188,-3211,7303,22898,0,--,--,
总资产(万元),580713,559289,579469,567639,554561,550785,542637,651756,660110,677033,618274,629887,617194,619838,605934,609148,605796,668813,643413,657817,660023,641759,577327,614154,623760,624423,642908,659187,677099,670830,657189,621129,616847,640432,616050,598052,608843,641752,575544,576916,624503,337091,342546,343311,302444,305628,302174,296643,293231,282570,277266,248201,235645,217173,217890,201041,190274,183833,159139,151449,151367,157413,128996,126776,124257,124073,138204,137714,142850,144301,130134,132408,131818,109465,86664,88200,86104,
流动资产(万元),277005,251892,269449,259349,243109,235018,222937,327028,324352,337511,276248,286099,273124,271834,256387,257320,252684,317268,289721,305633,307875,312490,248682,288235,299334,298120,315778,315136,339141,325680,311663,274774,269206,285065,261107,243807,255578,282388,213111,202553,243383,87028,93665,105654,66251,69444,63282,65915,57633,50227,45182,39467,37388,37487,40092,34626,37160,44592,41145,43389,48705,57944,33619,32617,32497,--,0,--,0,41676,0,0,0,45673,31335,11742,10788,
总负债(万元),229849,208529,227124,211684,199814,192719,182388,292189,300997,316289,258402,276434,268337,271001,255035,266714,265743,326337,301141,322739,327267,312169,249817,294741,296554,301283,315456,362742,381031,360784,342599,311572,311092,340342,320855,306052,323723,362772,312129,320020,373912,188005,190363,195619,155444,161891,159830,159564,158781,149821,143944,117222,107203,90893,93225,77301,69397,64072,40939,35079,38095,44681,18212,18031,21151,23924,37966,34505,42887,48235,36489,37232,42586,26595,25489,33128,31142,
流动负债(万元),216710,195311,213730,176641,164693,167695,157267,248259,256988,272220,235829,174649,166556,169204,153330,164452,183437,244071,218910,237602,242185,186054,122410,165414,168586,177358,181763,306123,324471,305081,286732,247785,247298,269536,244058,222306,251368,273414,265572,264246,318129,143873,146231,149983,106286,140732,141764,125541,125539,116579,109833,72497,63478,47168,49440,22736,18833,24192,11653,5985,9001,17119,15650,15531,18589,--,0,--,0,40603,0,0,0,21595,22388,29415,25760,
股东权益不含少数股东权益(万元),196874,197026,197095,195051,194551,197265,198286,196811,197006,198712,198040,195542,193457,193931,193828,182697,181775,181369,181276,176725,175480,173882,172994,166513,170954,163880,170606,135492,138773,152124,153855,151207,148896,145710,142725,142764,138870,135699,129511,130501,127714,124535,126922,128964,128099,125201,123322,118372,115986,114463,115222,112956,110446,108371,106617,105633,102899,101138,99615,97911,95108,97241,95438,93177,89909,86690,85486,88388,85672,82210,80749,82506,76652,73088,54584,49501,49367,
净资产收益率加权(%),0.53,-0.03,-0.14,-0.52,-0.78,-0.52,0.94,0.97,0.63,0.34,3.13,1.87,0.8,0.05,7.1,1.2,0.69,0.05,4.7,2.13,1.44,0.51,4.61,0.85,0.23,-0.09,16.55,-0.87,-0.48,-1.22,7.55,5.79,4.24,2.05,8.81,7.19,4.45,2.15,2.25,--,0.88,0,3.41,0,3.8,0,9.05,0,3.53,--,7.76,0,3.53,0,6.79,0,3.24,0,9.26,0,4.66,0,10.45,0,5.04,0,11.19,0,5.92,--,14.72,0,17.12,0,21.12,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
