报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,
基本每股收益(元),0.01,0,0.01,0,0,0,0.02,0.02,0.01,0,0.06,0.04,0.02,0.01,0.02,0.02,0.01,-0,0.01,0.01,0,-0,-0.04,-0,-0,-0.01,0.02,0.02,-0.01,-0.01,0.03,0.04,0.02,0.02,0.05,0.03,-0.01,-0.01,-0.09,-0.04,-0.02,-0.01,-0.13,-0.02,-0.03,-0.02,0.02,-0.06,-0.06,-0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.31,--,0.3,0.27,0.27,0.28,0.29,0.28,0.27,0.25,0.23,0.19,0.19,0.2,0.25,0.27,0.28,0.29,0.38,0.38,0.39,0.41,0.32,0.32,0.35,0.38,1.15,1.18,1.2,1.2,1.84,1.84,1.84,1.84,1.85,1.84,1.84,1.84,1.79,1.78,1.79,1.78,1.78,1.91,1.87,1.86,1.87,1.89,1.78,1.76,1.77,1.77,1.55,1.55,1.56,1.5,1.48,1.34,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,--,0.02,0.01,0.01,0.08,0.08,0.05,0.04,0.06,-0.01,-0.03,-0.02,-0.01,-0.02,-0.01,-0.01,-0.02,0.05,0.1,0.02,-0.25,-0.09,0.02,-0.03,0.25,0,--,0,0.7,0,0,0,0.26,0,0,0,0.34,0,0,0,-0.27,0,0.11,0,-0.2,0.01,0.13,-0.11,0.18,--,-0.02,--,--,--,--,--,--,
主营业务收入(万元),549,274,1317,1042,688,335,1225,863,591,347,1107,650,440,220,1059,714,477,240,1107,657,409,200,1077,726,408,208,1556,775,386,205,812,600,324,162,1746,1506,1157,618,3744,2945,1541,646,4938,4084,2316,805,5824,5080,3878,2322,27322,18585,12484,5111,26363,19956,12689,5327,37687,32239,13641,5755,33939,22822,14058,6242,38642,32097,21240,8775,41404,16787,33023,15627,22706,9842,21582,9792,26113,12998,25928,12728,49959,
主营业务利润(万元),440,191,762,565,373,195,646,435,296,170,634,473,315,157,699,521,348,176,456,307,203,97,426,307,196,99,381,316,168,89,379,311,133,62,379,465,346,181,11,354,210,113,-372,600,304,16,816,565,488,--,1004,1088,1106,613,2271,1793,941,627,4980,3394,1878,813,5991,3998,2182,891,8958,7313,4704,1747,9049,2652,6511,2943,4276,1685,4260,1989,1494,806,1051,707,3305,
营业利润(万元),309,60,237,110,86,4,430,302,243,72,1032,717,408,223,505,424,186,-72,76,97,59,-43,-525,-28,-81,-126,-12,387,-227,-213,290,1484,469,406,956,449,-243,-180,-749,-705,-428,-243,-2643,-1075,-734,-384,-2844,840,-315,281,-10985,-1764,-315,72,-12756,-1212,-1092,10,136,40,24,0,1236,440,221,40,2231,2901,1764,0,1417,906,2830,820,-189,-245,-724,162,1972,0,1382,0,4970,
投资收益(万元),-52,-114,-190,-253,-183,-162,-49,-142,-103,-226,463,192,49,-80,484,260,69,-109,321,146,85,-39,242,44,-24,-87,373,560,-101,-129,-208,-224,-229,-177,954,223,-24,-76,175,134,28,-47,87,100,49,8,91,102,11,-144,-735,-31,-53,-58,-117,138,27,26,-26,191,117,16,-8,79,34,7,-263,88,59,-11,-212,-150,-171,-137,-213,275,-181,-87,-25,114,499,187,402,
营业外收支净额(万元),1,1,1,1,1,1,-2,-2,-2,-0,1,1,0,0,-83,1,--,--,34,0,-0,-0,-269,0,0,--,398,0,0,--,387,-709,50,0,87,67,44,44,-774,14,2,-0,286,--,297,--,--,--,--,--,-4992,0,--,0,-436,0,0,0,32,128,0,0,-95,0,24,1,-78,-10,-38,0,1687,117,10,0,-64,0,--,0,0,14,0,11,--,
利润总额(万元),310,60,238,112,87,4,428,300,241,72,1032,718,408,223,422,424,186,-72,110,97,59,-43,-794,-27,-81,-126,385,388,-227,-213,677,775,519,406,1042,516,-199,-136,-1523,-692,-425,-243,-2357,-339,-436,-321,374,-1203,-1142,-584,-16710,-976,-361,14,-13307,-38,-28,48,172,384,221,33,1180,575,294,61,2116,3171,1786,322,2904,883,2671,684,-462,36,4458,107,1990,1198,1878,1052,5494,
净利润(万元),252,21,136,51,88,5,435,305,244,73,1035,723,411,225,426,425,187,-72,100,98,60,-43,-735,-26,-80,-125,386,388,-226,-213,572,686,434,338,888,453,-196,-135,-1572,-689,-427,-242,-2355,-398,-487,-316,411,-1134,-1097,-558,-11097,-823,-279,58,-11661,9,63,35,96,230,123,24,658,215,118,19,831,1611,844,228,2282,659,2144,462,-718,76,3581,21,1511,928,1573,925,4869,
