报告日期,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
基本每股收益(元),0.66,0.3,1.73,0.85,0.31,1.51,0.23,0.72,1.97,0.62,
每股净资产(元),--,--,--,7.95,--,7.1,6.12,5.89,6.29,4.9,
每股经营活动产生的现金流量净额(元),--,--,--,0.34,--,1.73,-0.41,1.58,2.83,1.32,
主营业务收入(万元),81427,36795,174328,80820,31669,152362,28056,120711,144256,133106,
主营业务利润(万元),12576,4719,27350,13371,4919,24287,3856,14861,28984,14170,
营业利润(万元),8231,3382,17503,8828,3238,15401,2385,5735,18758,5117,
投资收益(万元),239,56,362,210,90,121,30,76,--,--,
营业外收支净额(万元),546,396,1,1,4,79,2,1432,1642,1091,
利润总额(万元),8778,3778,17504,8828,3242,15480,2388,7167,20400,6208,
净利润(万元),7528,3251,15391,7583,2794,13493,2069,6398,17611,5566,
净利润(扣除非经常性损益后)(万元),6122,2515,13848,6788,2434,12198,1764,4950,16049,4472,
经营活动产生的现金流量净额(万元),20184,5537,10655,3035,-5977,15474,-3702,14104,25269,11763,
现金及现金等价物净增加额(万元),26607,19405,-2357,-8565,-8810,8201,-2158,-2708,2512,638,
总资产(万元),150171,146228,99054,88462,--,83454,72054,71611,79353,74122,
流动资产(万元),124590,119944,71644,59224,--,52023,37870,35366,39399,31429,
总负债(万元),22224,14232,20292,17508,--,20083,17431,19057,23206,30389,
流动负债(万元),22224,14232,20292,16954,--,18976,15493,16842,19884,25960,
股东权益不含少数股东权益(万元),127947,131996,78762,70954,--,63371,54623,52553,56147,43733,
净资产收益率加权(%),6.13,2.86,21.66,11.29,4.31,23.19,3.86,11.23,35.27,13.09,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
