报告日期,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-1.14,-0.95,-0.95,-0.01,-0.01,0.09,0.1,1.65,1.68,1.98,2.18,2.55,2.63,2.63,2.6,2.55,2.61,2.72,2.53,2.46,2.34,2.29,2.16,2.04,1.78,2.36,2.33,1.66,1.71,1.36,1.02,
每股经营活动产生的现金流量净额(元),--,0,0.02,0,0,0,0.19,0,0,0,-0.83,0,0.11,--,-0.83,--,0.15,0.06,0.34,0.11,0.23,0.05,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),--,61,703,625,583,379,866,547,304,131,5616,801,545,3809,16723,11705,8234,15511,11108,11085,6864,19432,14330,18029,9242,19907,11043,12282,13981,5902,3731,
主营业务利润(万元),--,-4,248,153,155,104,145,99,83,29,1726,269,182,1404,5226,3557,2587,3752,2681,1106,72,345,1920,-1215,764,813,1286,1836,2994,2068,728,
营业利润(万元),-2084,-98,-19346,-5484,-5329,-360,-17400,-1431,-1098,-667,-7959,-3324,-1130,542,2000,1166,994,2327,1460,-587,-951,-90,1391,206,0,1203,0,1989,3025,2993,1109,
投资收益(万元),-738,0,3575,3726,3724,22,-13758,-3572,-3257,-2915,-1749,2414,1653,-0,-588,34,-57,3872,97,3793,2107,1381,199,995,542,1095,9,4,448,4,48,
营业外收支净额(万元),-0,0,-3489,0,0,0,-4576,-4557,-4556,-57,-28,0,1,0,1,2,3,72,0,1015,0,0,0,0,2585,0,1,0,--,--,--,
利润总额(万元),-2822,-98,-19260,-2229,-2076,-339,-35734,-9561,-8911,-3638,-7593,-910,523,543,1414,1202,941,6271,1635,4221,1186,5185,2605,4593,3921,2372,1633,1958,3454,2987,1148,
净利润(万元),-2822,-67,-15633,-2064,-1966,-292,-34169,-9443,-8823,-3589,-7513,-912,495,494,1588,1140,879,6116,1614,3766,878,4394,2108,3905,3341,2880,1388,1313,3156,2697,867,
净利润(扣除非经常性损益后)(万元),-2822,0,-19823,0,-4146,0,-21905,0,-3626,0,-8123,-2194,-1555,--,2108,--,511,6037,932,2562,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),160,-23,310,243,249,120,3363,2237,2016,-879,-14812,0,-6116,--,-14778,--,2571,973,6103,2004,4130,837,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),160,-23,-104,-91,-75,-48,-1429,-1528,-1341,-1211,-23046,0,-6867,--,11059,--,3291,9786,23695,-531,2580,-3120,--,--,--,--,--,--,--,--,--,
总资产(万元),12556,16612,16678,31777,31897,42099,44642,69171,69494,71932,86089,83473,89613,133722,110027,115391,92392,80451,69473,66894,61830,54624,66675,51604,38967,36244,33692,23801,13166,9915,6196,
流动资产(万元),4354,8265,8312,21972,22061,26789,29304,47167,47147,--,37046,0,56008,72226,65628,72803,49860,31738,0,0,31927,27946,30952,23318,14151,14728,16441,9377,7197,6195,3916,
总负债(万元),32746,33987,33954,31941,31989,40454,42658,39623,39302,36467,35422,--,44071,85395,62199,66433,43142,28047,24169,22775,19779,13649,20873,15019,9240,10124,7951,10398,5965,4187,2774,
流动负债(万元),32746,33960,33928,31914,31962,40427,42631,39596,39275,--,48475,0,44071,76368,62172,60207,36915,21847,0,0,19608,13400,19407,14683,7781,7218,3745,5791,3473,3095,1982,
股东权益不含少数股东权益(万元),-20190,-16909,-16824,-209,-162,1528,1825,29208,29833,35071,38663,45245,45373,46652,46158,45301,46336,48289,45004,43683,41568,40626,38342,36225,29461,26120,25742,13404,7201,5728,3422,
净资产收益率加权(%),--,0,--,0,0,0,-175.36,0,-25.76,0,--,0,0,--,3.38,--,1.92,12.7,0,0,--,11.44,--,--,--,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
