报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.19,0.1,0.41,0.27,0.2,0.1,0.75,0.53,0.55,0.25,1.47,1.02,0.71,0.28,1.29,0.97,1.03,0.48,1.26,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,6.85,--,6.4,--,5.33,4.78,4.3,20.18,16.83,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.77,--,2.7,--,1.84,0.42,0.61,11.77,-0.62,
主营业务收入(万元),77971,36888,138130,96319,63710,29195,129226,91221,62198,28263,111759,79244,54389,25759,126021,89579,121873,56919,125216,99188,116296,
主营业务利润(万元),11540,5785,23450,16676,11398,5584,26337,18580,12344,5438,22677,16350,11326,4923,22863,16871,20274,9551,18788,14384,13232,
营业利润(万元),4644,2439,9802,6334,4811,2356,12884,8968,6053,2448,11003,8195,5655,2255,10363,7786,8374,4047,6974,4982,2154,
投资收益(万元),440,309,197,101,100,24,236,152,4,-11,84,26,11,--,90,64,-83,--,153,274,108,
营业外收支净额(万元),-96,-91,-65,-55,-40,-19,-4,174,125,24,737,170,118,46,260,216,92,-59,1254,-250,-123,
利润总额(万元),4548,2348,9737,6279,4771,2337,12880,9142,6178,2471,11741,8365,5774,2301,10623,8002,8466,3988,8227,4731,2031,
净利润(万元),3669,1876,7769,5210,3789,1861,10009,7011,4693,1846,8818,6137,4241,1706,7726,5831,6177,2887,6325,3180,998,
净利润(扣除非经常性损益后)(万元),3213,1682,7364,5035,3692,1838,9455,6692,4547,1833,7986,5937,4099,1637,7353,5537,6054,2937,5189,3968,2188,
经营活动产生的现金流量净额(万元),4280,1943,7719,5783,-1166,-1776,-6427,-9554,-10850,-5058,11337,7434,4604,4330,16226,14463,11014,2500,3643,9419,-497,
现金及现金等价物净增加额(万元),-46,-312,8772,-4411,4597,-3602,7881,2212,2357,4755,-1351,-959,-1080,-1582,1563,3946,-613,-859,1205,-1256,74,
总资产(万元),180283,188140,200385,147336,154551,145034,139307,127303,127299,121908,90649,84492,86148,--,89645,--,88549,82455,84092,84342,90178,
流动资产(万元),116481,114645,129646,93035,101587,96149,94651,87545,90659,89514,58583,53799,55593,--,59002,--,59257,53865,55233,52401,62570,
总负债(万元),76240,82104,96291,52753,63900,53974,50574,42145,41228,35884,44947,41471,45023,--,51221,--,56590,53787,58310,68201,76717,
流动负债(万元),49937,56194,70774,51422,63342,53393,49971,41519,40579,35212,44252,40753,44537,--,50704,--,56012,53334,57885,67841,76319,
股东权益不含少数股东权益(万元),104043,106036,104094,94583,90651,91060,88733,85157,86071,86024,45702,43021,41125,--,38424,--,31958,28669,25782,16141,13461,
净资产收益率加权(%),3.48,1.79,8.47,5.76,4.21,2.07,12.02,8.57,5.89,2.55,21.16,15.17,10.66,4.34,22.09,--,21.39,10.6,34.65,21.24,7.7,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
