报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2003-12-31,2002-12-31,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-0,-0,-0,-0,-0,0,3.4,-0.04,-0.03,-0.01,-0.22,-0.01,-0.01,-0,-1.21,-0.06,-0.04,-0.02,-0.08,-0.06,-0.04,-0.02,-0.08,-0.06,-0.04,-0.02,-0.03,-0.06,-0.04,-0.02,-0.02,-0.07,-0.05,-0.02,-0.09,-0.08,-0.06,-0.03,-0.11,-0.08,-0.06,-0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-1.53,-1.53,--,--,-1.53,-1.53,--,--,-4.99,-4.98,--,-5.41,-5.41,-5.41,-5.4,-4.25,-4.23,-4.22,-4.2,-4.18,-4.16,-4.14,--,--,-4.08,-4.06,-4.04,-4.07,-4.05,-4.03,-4.01,-4.01,-4.04,-4.01,-3.99,-4.04,-4.01,-4.09,-4.06,-4.04,-4.01,-3.96,-3.4,-3.3,-3.22,-3.13,-3.1,0.86,0.81,0,0.98,1.1,2.17,2.2,1.98,2.03,1.86,3.29,2.27,2.14,1.91,2.07,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,-0.01,--,--,--,-0,-0,--,--,-0,-0,--,--,-0,-0,--,--,-0,-0,--,--,-0,-0,--,0,-0,-0,--,--,-0,-0,--,0,0,0.01,--,-0.44,--,-0.47,0.25,0.04,-0.15,--,-0.44,--,--,--,--,--,--,--,--,
主营业务收入(万元),3,7,13,13,9,7,0,0,0,0,85,2,0,0,0,0,0,0,29,22,15,8,29,22,14,7,29,22,14,7,29,22,14,7,23,44,31,3,19,8,3,2,0,0,0,0,61,7267,19,9318,10537,38509,19594,41193,18034,53081,28629,57904,26368,47216,25966,25521,
主营业务利润(万元),1,5,8,8,6,5,-0,-0,-0,-0,55,2,0,0,-21,0,-0,-0,6,21,14,7,27,20,14,7,27,20,13,7,26,20,13,7,22,44,30,3,15,8,3,2,0,0,0,0,-73,123,-78,779,512,2381,1562,7710,2750,3121,1338,2659,881,934,1871,--,
营业利润(万元),-4,1,-16,-27,-1,1,-574,-532,-441,-94,-3424,-161,-94,-46,-1195,-891,-595,-297,-1203,-914,-625,-338,-1294,-1005,-670,-334,-421,-1009,-673,-332,-268,-1049,-697,-345,-1358,-1301,-860,-432,-1761,-1322,-887,-441,-1686,-2117,-1090,-439,-24601,-1130,-1916,-13617,-1872,-4396,-681,1731,1122,3371,0,2685,911,1228,1850,--,
投资收益(万元),--,41,81,81,81,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,0,0,0,3317,3410,3414,-2912,-304,-83,84,405,49,177,18,404,155,358,488,--,
营业外收支净额(万元),--,--,--,0,--,--,53980,-16,-16,-16,3,--,--,--,-17743,-1,-1,-0,-8,-8,-1,-0,-2,-1,-1,-0,-2,-1,-1,-0,-4,-3,-3,-2,-16,-16,-2,-1,3,-1,-0,-0,-13,0,-677,0,-29292,-198,0,-5153,0,-598,0,--,0,0,32,0,--,--,--,--,
利润总额(万元),-4,1,-16,-27,-1,1,53406,-548,-458,-110,-3421,-161,-94,-46,-18938,-893,-596,-298,-1211,-922,-626,-339,-1296,-1006,-670,-335,-423,-1010,-674,-333,-272,-1052,-700,-347,-1374,-1317,-862,-433,-1759,-1323,-887,-442,-1699,-3025,-1767,-439,-50575,2083,1301,-21680,-2205,-5041,-617,2247,1274,3660,1502,3466,1056,1562,2390,--,
净利润(万元),-4,1,-16,-27,-1,1,53406,-548,-458,-110,-3440,-161,-94,-46,-18938,-893,-596,-298,-1211,-922,-626,-339,-1296,-1006,-670,-335,-423,-1010,-674,-333,-272,-1052,-700,-347,-1374,-1317,-862,-433,-1759,-1323,-887,-442,-1699,-3025,-1767,-439,-50575,2035,1301,-21595,-1992,-4662,-496,1964,1046,3237,1145,2639,756,1213,2139,1558,
净利润(扣除非经常性损益后)(万元),-4,--,-97,-27,-1,--,-574,-532,-458,--,-3424,--,-94,--,-1195,--,-595,--,-1203,--,-625,--,-1338,--,-670,--,-1337,--,-673,--,-1390,--,-697,--,-1358,--,-860,--,-1761,--,-887,-441,-1686,0,-1089,--,-24735,--,-2082,-16418,-1971,-3985,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-0,-2049,-2154,-2127,-2107,-2049,-1607,-1547,-1453,-1046,-6801,-99,-50,11,-5,-40,-26,-4,1920,-38,-23,-0,1,-34,-23,0,1,-52,-27,0,-0,-52,-36,-0,1,-33,-33,0,-0,-52,-34,0,-2,0,72,--,-6889,--,-7359,3978,557,-2282,--,-6866,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-0,-2008,968,1255,1275,-2008,1742,5102,5196,5454,1470,15,14,11,-5,-5,-5,-5,5,5,1,-0,0,1,1,0,0,1,0,-0,-0,-1,-1,-0,1,-33,-33,0,-0,-16,-16,0,1,0,-3,--,-60,--,-15,-156,-948,-124,--,-24,--,--,--,--,--,--,--,--,
总资产(万元),6706,6717,6710,6736,6766,6797,6791,6850,6973,7213,1776,311,335,317,312,318,324,330,340,337,332,2335,2337,2318,2319,2342,2344,2335,2337,2363,2365,2370,2380,2383,2389,2369,2399,2563,2560,2366,2423,2815,4924,4525,5763,5610,5915,48072,41047,36896,71140,73281,89555,85710,76829,56946,56692,55563,37354,38329,30260,--,
流动资产(万元),6706,6716,6708,6735,6765,6795,6788,6847,6970,7211,1774,28,45,22,12,13,13,14,18,10,2,1999,1996,1971,1966,1985,1981,1967,1963,1984,1981,1981,1985,1982,1984,1958,1982,2223,2216,2041,2068,2210,1425,1405,--,1839,0,42236,0,25785,0,0,55989,51586,41886,32213,35228,33894,18245,23237,17781,--,
总负债(万元),30682,30692,30681,30719,30723,30752,30746,85369,85402,85444,86397,85299,85255,85189,85138,67099,66808,66516,66227,65936,65635,67350,67014,66705,66370,66058,65711,66288,65954,65640,65308,65359,65753,65402,65061,65875,65414,66336,66336,65770,65407,65058,58377,56279,56260,54779,54644,32540,28387,36044,54364,54364,53122,48434,47335,31373,33346,32487,23714,25516,18605,--,
流动负债(万元),30617,30627,30616,30622,30626,30622,30616,85206,85207,85213,85415,34727,34683,34617,34566,34268,33977,33685,33397,33106,32804,34520,34183,33875,33539,33227,32880,33017,32683,32368,32037,32088,32481,32130,31790,32604,32143,33500,33064,32499,32136,31786,58377,56279,--,54779,0,32540,0,35881,0,0,47466,41305,37316,26835,30186,27953,17970,20101,17087,--,
股东权益不含少数股东权益(万元),-23975,-23975,-23972,-23983,-23957,-23955,-23956,-78519,-78429,-78231,-84621,-84988,-84920,-84872,-84826,-66781,-66484,-66185,-65888,-65599,-65303,-65015,-64677,-64387,-64051,-63715,-63367,-63953,-63618,-63277,-62944,-62989,-63373,-63019,-62672,-63506,-63016,-64209,-63776,-63404,-62984,-62242,-53454,-51754,-50497,-49169,-48730,13579,12660,59,15406,17318,34110,34602,26608,24822,22730,21706,12508,11752,10513,10354,
净资产收益率加权(%),--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,--,11.56,-248.56,0,0,--,7.51,--,--,--,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
