报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2013-12-31,2013-03-31,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2011-03-31,2010-12-31,2005-03-31,2004-12-31,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),0.01,0,0.08,0.02,0.01,0.01,0.08,0.06,0.04,0.04,0.57,-0.01,-0.01,-0,0.02,0,-0.02,-0.02,-0,-0.05,-0.2,-0,0,-0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.61,--,-0.6,--,-1.07,--,-1.05,-1.05,-1.05,-0.91,-1.24,-1.24,-0.89,-0.89,-0.88,-0.57,-0.55,0.22,0.24,0.26,0.28,0.41,0.41,0.44,0.46,1.08,1.1,1.16,1.01,0.85,0.68,0.66,0.58,0.65,1.56,1.64,2.49,2.48,2.58,2.59,2.65,2.71,1.91,1.71,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,-0.01,0,0,-0.01,0,0,0,-0.03,0,-0,--,0,--,0.05,-0.18,0.21,-0.02,0,0.02,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),725,275,3458,1313,794,387,4159,3136,2246,1752,5371,419,419,0,1473,0,--,0,0,0,0,0,0,150,57,2549,2549,49,181,171,137,66,413,278,82,28,418,135,96,3622,1377,311,135,1253,1769,11382,5667,19146,10393,46323,16962,48811,22789,36146,19835,11403,3213,2962,
主营业务利润(万元),476,186,2185,810,505,250,2825,2161,1561,1230,3551,118,118,0,680,0,--,0,0,0,0,0,0,130,45,864,864,41,29,73,57,18,-244,107,21,4,-18,50,34,976,383,45,27,147,103,-7391,-1355,-6331,-826,175,323,189,856,1052,934,334,119,98,
营业利润(万元),250,71,1608,435,239,112,1496,1019,669,606,3105,-179,-156,-29,351,39,--,-322,-28,0,-2761,-33,0,-689,-111,763,792,-189,-11584,-822,-532,-225,-2707,-789,-665,-280,-7057,-876,-555,2350,1205,-182,-467,-3359,-1567,-6263,0,-4634,0,270,0,0,1372,1496,955,824,119,98,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,200,--,--,0,--,--,0,0,--,--,--,0,0,0,0,0,0,69,69,0,0,-216,0,0,-62,521,642,877,2959,668,-6153,0,-7116,1003,753,195,573,449,1318,392,0,0,0,
营业外收支净额(万元),--,--,-7,-5,0,-0,-46,-1,-42,-0,5111,--,--,--,137,--,--,--,0,--,--,0,0,-2,--,-15,0,0,-66,0,0,0,86,-13,0,0,-608,0,0,696,0,1619,0,0,0,0,-15,0,49,0,88,147,0,-9,0,--,--,--,
利润总额(万元),250,71,1602,431,239,112,1450,1019,627,606,8215,-179,-156,-29,488,39,--,-322,-28,0,-2761,-33,0,-691,-111,748,779,-191,-11650,-835,-540,-226,-2552,-733,-664,-280,-7881,-292,17,2984,2230,2079,409,151,-923,-13889,-747,-11819,229,929,608,1223,1850,2811,1381,781,100,85,
净利润(万元),161,53,1176,310,177,72,1093,906,554,533,8044,-204,-176,-29,332,39,-322,-322,-28,0,-2761,-33,-33708,-691,-111,127,158,-158,-11029,-835,-540,-226,-2552,-733,-664,-280,-7881,-292,17,2984,2230,2079,409,151,-920,-13882,-1125,-11814,136,657,296,402,1570,2378,1175,664,100,85,
净利润(扣除非经常性损益后)(万元),161,53,1178,310,177,72,1137,906,596,533,2933,-204,-176,-29,195,-161,--,-322,-28,--,--,-33,0,-690,--,142,171,0,-10963,0,-532,0,-2707,-789,-665,--,-8269,--,-561,1635,1205,-426,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-94,-342,2393,147,137,-86,-635,-1506,2021,-2472,2499,152,-123,-66,-209,3,0,0,0,0,--,0,0,-1,6,-161,-148,-1,-116,-23,-22,-12,-389,0,-11,--,30,--,733,-2462,2966,-222,-13,215,83,--,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-20,8,83,-352,-364,-89,-2463,-1507,2021,-2472,2405,59,67,-67,-212,0,0,0,0,0,0,0,0,-1,6,-8,7,-1,-148,-22,-14,-13,75,0,29,--,-25,--,286,-235,-309,-557,-39,0,-4,--,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),11952,11872,12415,10062,10118,9706,9894,10317,10525,5915,6088,828,927,927,1090,3,0,0,0,0,0,2420,2069,2069,4653,4708,4663,9529,9558,19907,19968,19920,19994,21403,22328,22394,22273,29244,29109,31569,25795,25418,26624,33905,32896,32186,43897,43007,56259,55090,56417,54806,52991,42811,24378,18987,--,--,
流动资产(万元),11634,11824,12364,10000,10052,9634,9820,10242,10445,5831,5999,735,829,921,1084,0,0,0,0,0,0,0,1327,1327,3619,3663,3600,8453,8463,18826,18861,18806,--,--,--,20283,0,24678,0,0,0,0,18029,12732,11688,13496,19441,17368,30167,27786,25814,24499,26027,21848,5537,4695,--,--,
总负债(万元),8029,8058,8654,7175,7355,7072,7307,7918,8476,3890,4595,9593,9527,9379,9513,14995,15031,15031,14736,14708,14708,15150,19501,19501,17183,17126,17050,17463,17302,16816,16581,16220,16068,15678,16282,15969,15567,--,13708,15356,11643,13496,17028,24794,24553,22923,21858,19854,21061,20118,21805,20033,17321,11938,11054,7019,--,--,
流动负债(万元),8029,8058,8654,7175,7355,7072,7307,7918,8476,3890,4595,9593,9527,9379,9513,14313,14349,14349,14054,14027,14027,14468,18820,18820,17183,17126,17050,16854,16693,16141,15906,15545,--,--,--,15554,0,14142,0,0,0,0,17018,24783,24542,22913,21848,19845,21052,20109,18465,16078,10115,7692,5013,2923,--,--,
股东权益不含少数股东权益(万元),3918,3810,3757,2882,2758,2630,2581,2393,2043,2018,1489,-8765,-8599,-8452,-8423,-14992,-15030,-15030,-14736,-14708,-14708,-12730,-17432,-17432,-12530,-12418,-12387,-7934,-7743,3091,3386,3700,3926,5725,5765,6145,6426,15092,15401,16213,14152,11922,9597,9112,8171,9088,21845,22970,34919,34784,34419,34581,35478,30682,13324,11967,--,--,
净资产收益率加权(%),4.2,--,37.1,--,6.63,--,53.69,--,31.37,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,0,0,-14.81,0,-49.05,0,0,--,-76.38,--,0.11,20.27,0,0,--,--,--,--,--,0,0,0,0,0,0,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
