报告日期,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1992-06-30,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),4,3.99,3.6,3.57,3.5,3.46,3.42,3.35,3.38,3.36,3.27,3.22,3.28,2.77,2.73,2.57,3.03,2.95,2.85,3.01,4.45,4.22,4.32,4.44,4.41,4.4,4.27,6.25,6.55,6.12,0,
每股经营活动产生的现金流量净额(元),0,0,0,0.17,0,0,0,0.63,0,0.09,--,-0.63,-0.56,0.85,0.39,1.13,0.36,0.27,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),115519,81885,48701,150104,111471,73906,42665,241286,195202,142321,83736,254661,139710,361956,236880,370614,179991,375444,175605,316642,163647,232695,108818,187578,88257,89253,22548,136007,64721,61188,42301,
主营业务利润(万元),22127,15745,8925,29058,20542,13988,8368,30870,23716,16871,9485,27850,15267,41721,29077,51889,23670,43736,20169,7225,4435,6659,3797,6263,4441,918,-1251,7246,4257,3564,-36862,
营业利润(万元),2817,2432,2408,6074,4005,2704,1957,5680,3795,3002,2130,4276,3722,5518,3417,8203,3656,9422,3690,10295,0,9482,0,6923,0,0,-1044,7539,4292,3713,0,
投资收益(万元),1313,1089,-9,3619,2528,1837,448,4945,3405,3119,272,6031,3711,7657,3763,1925,219,1881,709,388,18,428,41,940,502,3944,3324,309,193,0,0,
营业外收支净额(万元),0,0,0,-126,0,-67,-18,124,-25,-3,0,59,0,345,0,1006,0,0,0,0,341,0,62,0,-770,-990,0,0,--,0,--,
利润总额(万元),4123,3439,2053,9567,6458,4473,2387,10749,7175,6118,2400,10382,7443,13580,6998,11134,3789,11420,4469,11440,5231,9653,4474,8103,4316,4309,1865,6911,4089,3729,2436,
净利润(万元),2613,2408,1370,8367,5328,3640,1796,10240,6607,5690,2077,9027,6358,11481,5782,9482,3223,9590,3773,9723,4423,8248,3788,7030,3731,4182,1800,5907,3476,3169,2023,
净利润(扣除非经常性损益后)(万元),0,2908,0,8034,0,3697,0,10145,6629,5693,--,7702,4520,5476,1908,7635,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,
经营活动产生的现金流量净额(万元),3259,3513,9171,7136,-4831,5621,10593,26431,0,3803,--,-26707,-23631,32736,14894,43301,11512,8612,--,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-20943,-17040,0,-6603,-24542,11221,-3073,7981,0,10873,--,10874,8353,-22407,-12428,16046,-5849,6474,--,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),229932,231986,223192,229799,207152,243369,220076,243632,218365,241345,232414,231394,231258,223629,287459,255827,241595,247252,218235,214399,202941,181163,143327,129812,113294,111847,95181,96517,68986,65364,18951,
流动资产(万元),19016,21874,0,40128,23400,60573,44143,0,--,0,66351,0,0,56586,0,0,73791,109480,83266,84310,82297,80663,43025,48584,37391,42730,27862,48054,53264,53489,14939,
总负债(万元),51198,53688,--,69526,48439,86396,65164,91250,64880,88824,83560,84713,82333,106827,166165,146924,134887,142790,117403,117419,107177,99213,55326,51467,35340,34092,19808,22943,15578,15432,15298,
流动负债(万元),47676,50166,0,61504,48439,74396,65164,0,--,0,83353,0,0,109338,0,0,131447,139291,105335,103962,80934,75951,45300,41568,25261,24056,18542,21615,13118,12842,15298,
股东权益不含少数股东权益(万元),168841,168635,152309,150940,148096,146408,144380,141768,142799,141882,138268,136192,138652,106645,104792,99003,97074,94694,91366,87594,86372,81950,83899,78345,77954,77755,75373,73574,53408,49932,3653,
净资产收益率加权(%),0,1.58,0,5.69,0,2.53,0,7.23,0,0,--,7.01,5.3,11.1,0,0,--,10.67,--,--,--,0,0,0,0,0,0,0,--,--,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
