报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
基本每股收益(元),0.12,0.01,0.56,0.28,0.14,-0.03,0.46,0.04,-0.03,0.42,0.3,--,
每股净资产(元),--,--,--,3.27,3.13,--,2.99,--,2.5,2.52,2.08,--,
每股经营活动产生的现金流量净额(元),--,--,--,-0.4,-0.41,--,-0.07,-0.71,-0.48,0.3,-0.12,--,
主营业务收入(万元),63693,22644,175083,97734,51813,7252,136045,53673,25717,96410,73586,56911,
主营业务利润(万元),12529,3433,35782,19937,10736,890,32227,11332,5339,24376,17619,14569,
营业利润(万元),4751,467,16721,8018,3923,-1195,13508,980,-794,11718,7419,5929,
投资收益(万元),479,160,907,456,283,-99,791,128,96,601,163,17,
营业外收支净额(万元),-67,-2,-131,19,7,--,-0,8,13,306,70,-20,
利润总额(万元),4684,465,16591,8037,3929,-1195,13508,988,-781,12025,7490,5909,
净利润(万元),4204,485,14596,7181,3488,-958,11776,898,-650,10441,6558,4985,
净利润(扣除非经常性损益后)(万元),3598,309,14420,7050,3404,-959,11542,840,-679,10102,6578,4988,
经营活动产生的现金流量净额(万元),-24965,-20172,17901,-10105,-10429,-10747,-1879,-18035,-12099,7475,-2991,3712,
现金及现金等价物净增加额(万元),-28463,-48485,82697,-686,7624,-143,-11591,-15130,-12520,-239,7966,1745,
总资产(万元),294512,278926,305714,227462,210741,--,192095,--,141987,142480,98915,74335,
流动资产(万元),259674,246751,273125,194429,178510,--,158552,--,108187,110661,82903,68268,
总负债(万元),144055,127118,154387,144633,131602,--,116436,--,78744,78579,47129,42369,
流动负债(万元),143745,127118,154387,144633,131602,--,116436,--,78744,78579,47129,42369,
股东权益不含少数股东权益(万元),150507,151854,151369,82868,79175,--,75687,--,63261,63911,51790,31968,
净资产收益率加权(%),2.74,0.32,16.57,9.06,4.5,-0.63,16.87,1.4,-1.02,18,17.73,21.47,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
