报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),--,--,0.15,0.15,0.15,--,7.42,-0.02,-0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,-0.01,--,-3.14,-2.98,-2.34,-2.28,-2.15,-2.03,0.62,0.79,0.88,0.97,1.06,1.07,1.11,1.12,1.88,1.92,1.99,1.98,1.98,1.95,1.95,1.95,2.25,2.3,2.42,2.54,2.59,2.59,3.08,3.02,2.83,1.96,1.62,1.41,1.3,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.01,--,--,0,0,0,--,0,0,0,--,0.04,0,0,--,0.05,0,0,0,0.12,0,0.04,--,-1.31,0.04,0.09,0.02,-0.26,--,-0.39,-0.1,--,--,--,--,--,--,
主营业务收入(万元),--,0,0,162,0,--,0,0,0,58,4416,26824,19740,12260,4379,25571,20977,13861,6917,24820,23554,16693,7754,19326,11285,2863,1205,34645,23679,13975,6832,29050,29669,57394,14471,61213,21957,39772,18783,51426,21531,50914,58881,44139,--,
主营业务利润(万元),0,0,0,0,0,--,0,0,0,14,-1239,-1873,-1206,-1555,-466,-2725,-1509,-1108,-574,1114,2832,1554,600,1233,770,253,269,7998,4275,1817,387,542,4100,8555,-935,7497,1260,5331,3207,3885,839,4787,5749,4830,--,
营业利润(万元),14,-1,-171,-162,-119,--,-634,-523,-0,14,-3538,-21730,-7077,-5572,-2606,-58734,-7486,-4106,-2012,-7086,-1979,-1615,-522,-19780,-3436,-2206,-564,1454,229,98,0,-2429,-1665,-2205,-2495,-1639,-737,725,1048,3885,0,4787,5749,4830,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,-632,-255,-126,-90,-9430,-478,111,57,3034,450,300,150,287,788,638,-14,--,0,0,0,-336,0,-640,738,-115,862,0,0,1329,929,0,0,0,--,
营业外收支净额(万元),--,--,5580,5580,5580,--,267183,--,--,--,-1,-46,0,0,2,-73,0,0,--,-5,0,0,-3,-279,-2,0,875,234,-1,-1,-7,-6,0,-223,0,3444,0,0,0,0,1017,0,0,0,--,
利润总额(万元),14,-1,5409,5418,5461,--,266548,-523,-0,14,-3539,-22408,-7359,-5724,-2694,-68237,-7967,-3995,-1955,-4057,-1508,-1305,-375,-19772,-2651,-1569,298,1688,227,96,97,-2771,-1059,-3068,-2553,1690,122,6941,1047,6241,2785,4771,5759,4841,--,
净利润(万元),14,-1,5409,5418,5461,--,266548,-523,-0,14,-3539,-22379,-7359,-5724,-2694,-68187,-7967,-3995,-1955,-4057,-1508,-1305,-375,-19772,-2651,-1569,2,526,227,65,97,-2771,-1521,-4361,-2553,1436,104,5893,890,5303,2367,4055,3858,3244,--,
净利润(扣除非经常性损益后)(万元),14,-1,-171,-162,-119,--,-634,-523,-0,14,--,-22334,0,-5698,--,-68114,0,-4106,--,-6486,0,-1315,--,-5523,0,-1913,0,519,227,63,--,-2673,-1521,-4577,0,-1755,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-342,-156,-2988,-2979,-2936,461,461,0,-0,20,-0,21,22,-22,-23,69,-36,-21,-17,876,82,101,100,1075,353,280,72,2653,0,1006,--,-29822,794,2082,372,-5837,--,-8923,-1766,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-342,-156,-4004,-2995,-2951,--,4623,0,-0,20,--,-11,19,-22,-23,-42,-42,-26,--,-77,70,91,--,119,0,101,50,-54,0,49,--,-481,-874,598,-148,-490,--,-336,421,--,--,--,--,--,--,
总资产(万元),6335,6320,6321,6330,6373,9325,9325,20,20,20,75968,85127,80124,88496,87387,97082,138386,139849,143428,154767,133857,134439,132817,135775,146076,148196,150211,151273,156974,152349,151142,150368,164784,166239,151010,155094,129280,125988,124141,115949,102384,76729,60521,68536,--,
流动资产(万元),6335,6320,6321,6330,6373,9325,9325,20,20,20,--,26242,29538,31329,29479,38212,71914,72346,--,85885,0,82189,--,74668,0,85691,93246,91863,0,0,86738,0,0,0,0,0,68538,65731,56848,50499,38636,42744,28698,39757,--,
总负债(万元),6353,6353,6353,6353,6353,14766,14766,294566,265118,265118,--,152694,133364,140261,136083,142957,124218,121708,--,132653,109813,110191,--,110222,--,104441,104796,106104,111927,107950,106710,106033,113571,113870,96012,97385,70370,67181,70306,63087,52904,52250,40287,50911,--,
流动负债(万元),6353,6353,6353,6353,6353,12054,12054,280574,265118,265118,--,152605,133364,137167,132989,142873,121184,118679,--,129574,109813,110191,--,110222,0,74441,74796,76104,0,0,76710,0,0,0,0,0,50370,47181,62492,51835,41754,41100,25732,42952,--,
股东权益不含少数股东权益(万元),-18,-33,-32,-23,20,-5441,-5441,-294546,-265098,-265098,-71317,-67779,-53240,-51808,-48809,-46114,14076,18033,20043,21998,24044,24248,25177,25553,42674,43755,45327,45084,45047,44399,44432,44335,51213,52347,54998,57709,58911,58807,53835,52862,49480,24479,20234,17625,--,
净资产收益率加权(%),--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,0,-19.97,--,-16.92,0,-5.24,--,-56.17,0,0,0,1.17,0,0,--,-6.13,-0.25,-7.85,0,0,--,11.55,--,--,--,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
