报告日期,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1993-12-31,
基本每股收益(元),0.49,0.47,0.32,0.28,0.48,0.37,0.29,0.29,0.49,0.47,0.25,0.1,-0.85,-0.27,-0.16,-0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),2.92,2.9,2.75,2.8,2.62,2.52,2.43,2.37,2.08,2.06,1.83,1.67,-0.34,0.23,0.23,0.23,0.3,0.08,0.19,0.34,0.33,0.77,0.78,0.78,0.77,1.63,1.62,1.6,1.59,1.64,1.62,1.5,1.51,1.5,1.55,1.52,1.5,1.56,1.43,1.31,2.11,1.76,1.77,1.67,1.6,1.63,1.98,1.76,1.76,1.8,1.22,1.05,
每股经营活动产生的现金流量净额(元),0.97,0.86,0.61,0.04,0.41,0.32,0.36,0.14,0.87,0.56,0.3,0.16,0.18,0.1,0,0.05,0.18,0,0,0,-0.62,0,0,0,0.35,0,0,0,0.59,0,0,0,0.05,0,0.05,--,0.03,0.02,-0.2,0.01,0.08,--,0.14,0.22,--,--,--,--,--,--,--,--,
主营业务收入(万元),589656,477141,325515,199672,554159,363341,243804,192520,492473,393383,190184,82081,57482,42174,26666,13177,91634,73077,53809,30942,107444,79153,50153,24363,113921,82343,50380,24173,137153,91464,58894,26883,99853,63338,39097,18085,77018,39020,69827,8725,17556,7438,15075,7131,14016,7773,13694,8438,13148,5856,10386,11975,
主营业务利润(万元),354836,298145,202952,118282,344756,231076,170877,157179,357673,303661,145317,58483,8537,5486,2739,--,4967,2800,1613,1657,6734,5390,3584,1194,12255,8535,5403,2142,12117,8747,5373,1974,5236,3564,2300,1220,4334,2736,3372,492,2394,947,1878,1040,-1140,1330,645,395,586,338,571,470,
营业利润(万元),226500,207624,147929,100407,250939,180493,137923,143681,296590,263081,123830,49892,-16160,-5629,-3524,-1784,-5905,-6564,-4737,-1690,-8809,-1357,-108,-166,-1256,721,432,-5,1821,1751,1200,272,687,324,215,--,434,646,-979,-1252,411,-480,-204,21,-1022,0,701,0,615,0,588,486,
投资收益(万元),481,34,26,9472,2539,655,18,-32,4318,1483,3574,1,182,158,151,2,1865,1856,1915,1939,2098,818,-227,-105,-15122,76,82,49,-322,158,166,-396,264,42,1060,479,3003,1749,5718,2204,1861,812,1856,610,2914,878,942,44,700,355,298,3,
营业外收支净额(万元),53494,50269,31733,17206,38871,38291,37291,17497,33688,--,11598,--,-190,--,314,--,2927,0,0,0,-3050,0,0,0,-101,0,0,0,-188,-100,-56,28,-15,-10,-6,-5,-19,0,-550,0,-26,0,0,0,0,-3,0,-4,0,0,16,--,
利润总额(万元),279993,257893,179662,117613,289809,218784,175214,161179,330278,281664,135428,52675,-16350,-5241,-3210,-1695,-476,-4638,-2710,224,-9085,18,-6,75,-15758,1270,748,97,1523,1883,1358,-49,936,364,1271,490,3417,2340,4189,417,2430,323,1738,629,1895,2252,1652,459,1341,701,902,495,
净利润(万元),149937,143642,97637,85885,145839,113328,90309,88818,150452,142949,77067,24694,-16766,-5317,-3163,-1575,97,-4657,-2762,63,-8459,34,37,20,-15949,721,488,29,842,1255,914,-253,412,67,1076,428,2627,2016,3776,422,2017,314,1868,716,1812,2144,1442,400,1168,610,792,231,
净利润(扣除非经常性损益后)(万元),151227,--,99398,--,145572,--,90648,0,146118,0,72336,0,-16462,0,-3436,--,-4556,0,-2874,0,-8716,0,-220,0,-16354,0,503,0,625,0,641,0,346,-62,998,--,2810,1962,3776,422,1967,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),298574,264442,188376,13794,126904,98439,110178,42442,265485,171390,92754,49954,3607,1930,75,951,3532,-4718,-2848,-1441,-12363,6400,-1180,-3344,7027,4376,4109,1721,11753,790,736,-3937,1068,0,1002,--,501,349,-3868,219,881,--,1415,2220,--,--,--,--,--,--,--,--,
