报告日期,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.19,0.17,0.13,0.06,0.07,-0.03,0.09,0.05,0.19,0.14,0.11,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),3.11,3.09,3.05,2.98,2.93,2.81,2.93,3.19,2.92,2.9,3.17,3.14,2.73,2.71,2.67,2.68,2.64,2.61,2.57,2.54,2.51,2.68,2.73,2.71,2.7,2.57,2.56,2.53,2.54,2.49,2.46,2.42,2.42,2.4,2.34,2.29,2.24,2.17,--,--,--,
每股经营活动产生的现金流量净额(元),0.33,0.24,0.12,0.09,0.24,0.03,-0.07,0.01,0.26,0.23,0.15,0.09,0.27,0,--,0,0.25,0,0,0,0.15,0,0,0,0.15,0,0,0,0.24,0,0.04,0,0.32,0.07,0.12,0.08,0.01,0.05,--,--,--,
主营业务收入(万元),74645,55859,34098,13370,69300,51491,34201,15282,77512,56393,34821,14784,71369,53071,32662,13648,62648,45308,27026,11437,57730,43153,27220,11839,55806,42986,21465,9552,40520,28968,18117,7473,37391,15229,34436,15919,36820,16556,32605,23735,14078,
主营业务利润(万元),44180,32268,24222,9553,39427,9620,21279,10984,41270,27461,17275,--,42517,30025,19581,9431,38151,28301,18112,8488,28835,28030,18239,7570,31160,24326,15097,6641,28393,20953,12925,4716,27267,10223,24426,10977,28791,12950,24701,18157,11090,
营业利润(万元),33048,28038,21636,9230,23812,1279,15336,8072,37477,28340,16542,12679,27954,20878,13430,6375,24288,18608,11610,5316,2183,16584,10574,4077,16244,12793,7846,3351,16633,14069,8388,3612,23819,9103,22194,10271,24373,9237,16028,12783,9489,
投资收益(万元),957,686,693,33,880,-31,93,133,6565,6684,6316,6000,559,835,659,12,917,689,378,-214,-21379,-5531,-3407,-179,350,-486,222,624,-4680,-709,-413,-1171,1255,1043,5309,16,-141,0,0,0,0,
营业外收支净额(万元),415,334,49,-0,-11367,--,--,-1,1233,--,4714,--,-671,0,--,0,-116,0,0,0,-72,0,0,0,3024,-41,-22,-8,0,-49,-49,0,-3,0,3,0,231,0,0,0,0,
利润总额(万元),33463,28372,21685,9230,12444,1626,15723,8071,38710,30185,21256,14681,27843,21664,14061,6376,25092,19271,11974,5102,-10639,11007,7133,3866,30249,13629,9410,3966,26296,13310,7926,2439,25071,10146,31048,10287,24463,9237,16028,12783,9489,
净利润(万元),23631,20123,15367,6897,8099,-3899,11047,5804,23483,17453,13370,10202,18301,14912,9676,4910,16898,13275,8345,3426,-12548,6172,4341,2131,18323,7177,5434,2262,15747,8580,4585,1114,19138,6643,21442,6403,20486,8337,14322,11082,7877,
