报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,
基本每股收益(元),0.52,0.27,0.06,0.4,0.37,0.2,0.07,0.14,0.17,0.11,0.05,0.26,0.18,0.07,0.02,0.24,0.28,0.12,-0,0.01,0.09,0.15,0.12,0.33,0.23,0.12,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,4.95,--,4.6,4.5,4.47,4.39,4.4,4.49,4.7,4.54,4.43,4.22,4.63,4.73,4.56,4.53,3.97,3.71,3.96,4.32,5.05,5.69,3.34,3.24,3.39,3.32,3.22,3.11,3.22,3.14,3.06,2.97,3.15,3.08,3.07,2.98,3.1,2.99,3.01,2.86,2.76,2.68,2.9,2.82,2.75,2.67,2.83,2.73,2.56,2.65,2.47,2.45,2.27,2.13,2.03,
每股经营活动产生的现金流量净额(元),--,--,0.24,--,0.32,0.17,0.19,0.53,0.38,0.37,0.06,0.54,0.35,0.29,0.09,1.08,0.86,0.51,0.17,0.08,0.09,0.05,0.02,0.8,0.77,0.5,0.2,0.63,0,--,0,0.77,0,0,0,0.57,0,0,0,0.7,0,0,0,0.52,0,0.27,--,0.65,--,0.14,0.51,0.34,0.75,--,0.68,--,--,
主营业务收入(万元),659112,370384,172943,821168,592639,384057,186591,861358,676104,430804,197421,778081,566370,334244,158711,748454,547734,324948,142651,717040,533203,335178,166451,627538,468080,294855,137018,643592,472022,293794,143018,555761,417373,269527,126251,525488,406548,268463,129231,473820,353220,200621,90409,332094,245124,159385,80223,337028,257185,163963,340022,169534,324724,147124,294953,99360,167078,
主营业务利润(万元),124218,57721,19318,113463,85008,48265,19959,72902,66626,41384,20193,86845,55576,25463,13889,125417,95897,45646,12106,4679,5305,13321,16700,115820,89012,53679,--,144713,106695,67303,31531,123609,95295,65964,30220,141761,120743,86922,42139,155625,125821,65989,29007,108312,79129,53243,27421,113987,91861,58624,117844,60692,122820,51665,113063,27712,48500,
营业利润(万元),136817,66036,13379,93255,82285,48570,18022,34644,44267,31474,14889,62145,40897,13354,4049,66499,76275,30602,-255,-16305,12782,39036,32026,95431,68334,36858,13924,96713,74127,45989,21509,85191,68798,47703,21294,106559,102321,72966,34963,125881,105760,54016,24041,81321,67763,46394,24674,95384,82465,51328,100718,54179,99105,40355,98111,25613,48507,
投资收益(万元),54852,38427,8369,50926,43165,30429,13934,23563,19168,16902,8398,32608,26466,15293,4053,32883,25154,15967,3199,49950,56426,58179,28881,29084,14735,6903,2474,20160,14307,6436,2769,8313,2882,-433,2105,3114,1905,201,0,-14676,2104,0,0,3346,1585,105,0,2108,83,0,1190,42,7,2,37,28,29,
营业外收支净额(万元),-9924,-3898,-89,2855,7544,-733,-122,-1619,-994,-395,-229,-668,-804,-175,-112,-2732,-961,-279,-206,-1277,--,--,--,--,--,--,--,-3664,0,--,0,-2345,0,0,0,-1656,0,0,0,-3509,-2038,0,0,-3391,-3289,-1950,0,-1186,0,0,-372,0,-596,0,0,0,0,
利润总额(万元),126892,62139,13290,96110,89829,47837,17900,33024,43273,31079,14660,61478,40093,13179,3937,63767,75314,30323,-461,-17582,11484,38246,31856,94122,67604,36165,13719,113209,86488,51671,24191,91159,71093,46810,23285,108017,103410,72975,34892,107697,105826,53365,24010,81275,66058,44549,23888,96306,81783,50876,101536,54205,98517,40312,97927,25634,48473,
净利润(万元),103554,53852,11087,79728,74690,40213,14095,27689,33681,22985,10365,53113,36288,13984,3827,48520,56488,24118,-714,2705,17407,30253,23895,66321,45322,24898,9647,74249,56269,32943,15461,59749,45529,28761,14704,68205,64695,45741,22298,60928,66875,35414,15652,54552,45201,29699,16005,73406,55899,35187,62171,36317,82330,34265,82345,21789,36840,
净利润(扣除非经常性损益后)(万元),99486,45370,--,69321,--,33710,--,22771,--,22951,--,52417,--,13914,--,49718,0,24116,0,-42915,0,-7754,--,66798,0,25196,--,76271,56953,33260,0,58860,0,28889,0,67957,0,45827,0,62370,0,35828,0,55180,46850,30484,--,73820,--,35302,76888,36317,82043,--,--,--,--,
经营活动产生的现金流量净额(万元),169906,109527,47233,122362,64919,33346,38196,107393,76197,74941,11551,108452,70230,59263,18730,216125,172449,103204,33910,16453,19083,10804,3834,160643,155072,100830,41036,126592,112690,83561,36192,154656,135056,103737,18436,114938,119942,82585,50189,141671,148379,65933,22320,104015,0,53504,--,129714,--,27647,102578,68249,151230,--,136919,--,--,
