报告日期,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-03-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),0.94,1.01,1.24,1.95,2.32,2.18,2.16,2.05,1.98,2.04,2,1.98,1.96,1.98,1.96,1.93,1.99,2,1.95,1.71,1.93,1.95,1.89,1.89,2.25,1.52,1.12,1.07,1.02,
每股经营活动产生的现金流量净额(元),0.05,0,0,0,-0.35,0,0,0,0.47,0,0,0,0.54,0,-0.28,--,0.41,-0.49,0.55,-0.03,0.01,--,0.44,--,--,--,--,--,--,
主营业务收入(万元),--,1353351,863573,458901,1503830,1068181,682437,295329,1110387,797090,539107,276986,903126,633105,392048,175233,863873,412755,906354,401186,531229,218141,470657,237403,442240,96531,394837,366519,366696,
主营业务利润(万元),--,-58493,-48528,3674,63044,43857,36366,15289,30749,27510,15918,9156,31389,21900,14271,1741,38577,30593,37224,-6022,19497,14982,39865,10882,22414,6545,23973,23959,26034,
营业利润(万元),--,-80055,-60697,-5011,35489,22950,21332,8110,2439,8346,4001,2097,1908,3806,2173,-4033,15437,17216,11593,-17738,-57,5851,22576,1270,24124,7229,24140,24056,26109,
投资收益(万元),--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,
营业外收支净额(万元),--,0,0,0,82,0,0,0,-866,-127,-56,0,-647,-99,-92,0,-147,0,-1839,0,235,0,--,0,0,--,145,0,0,
利润总额(万元),--,-80006,-61760,-5532,35571,22678,21332,8111,1573,8220,3945,2097,1261,3707,2081,-4754,15290,17564,9755,-17816,808,6860,22571,1256,24899,7268,24285,24014,26345,
净利润(万元),--,-80006,-61760,-5532,26765,15679,14616,5596,1426,5992,3340,1969,1261,2968,1395,-4754,11143,11768,6593,-17816,508,4596,15122,841,18107,4870,16271,16089,17651,
净利润(扣除非经常性损益后)(万元),--,0,-61809,0,26305,0,14615,0,3634,0,3396,0,1908,3004,1422,--,11290,11347,8431,-17816,-592,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),--,16010,-8865,296,-27151,-23479,11328,-21675,37042,1618,17119,9486,42564,0,-21997,--,31977,-38373,43005,-2223,1116,--,31437,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),--,7772,20881,2017,-23259,-20079,9657,-17639,20093,1651,15226,8178,707,0,1404,--,-1568,-3800,-4094,-996,7415,--,-27074,--,--,--,--,--,--,
总资产(万元),--,252115,283975,305029,294460,250376,275812,267890,239855,247764,253074,247654,235687,225240,247579,212916,217221,263527,228780,237236,234845,231713,237517,282501,287747,231988,178621,172093,140331,
流动资产(万元),--,134674,169008,186416,171530,134583,157616,145637,112720,129067,131690,--,0,--,--,79412,0,0,0,0,0,88033,85814,131065,136711,100222,65005,70313,88308,
总负债(万元),--,172826,186442,151268,111540,79038,105537,106635,84196,87538,95500,91451,81454,69299,93212,60760,60311,105992,75357,102828,82621,91318,101718,146393,152480,156065,122536,118449,89100,
流动负债(万元),--,172826,186442,151268,111540,79038,105537,106635,84196,87538,95500,--,0,--,--,60260,0,0,0,0,0,58115,57982,87369,87070,74563,46717,53470,62253,
股东权益不含少数股东权益(万元),--,79288,97534,153762,182919,171338,170275,161255,155659,160225,157574,156203,154234,155941,154367,152156,156910,157535,153424,134408,152224,140395,135799,136108,135267,75923,56085,53644,51231,
净资产收益率加权(%),-59.32,0,-44.04,0,15.81,0,8.97,0,0.92,0,2.14,0,0.82,1.86,0.89,--,7.36,7.76,4.39,0,0,--,11.2,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
