报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,
基本每股收益(元),0.39,0.11,0.48,0.42,0.39,0.11,0.46,0.39,0.38,0.11,0.46,0.39,0.38,0.11,0.46,0.39,0.38,0.1,0.44,0.43,0.26,0.08,0.44,0.44,0.24,0.08,0.32,0.21,0.17,0.05,0.2,0.12,0.09,0.02,0.39,0.34,0.24,0.09,0.29,0.24,0.15,0.03,0.17,0.15,0.12,0.02,0.27,0.24,0.14,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.17,6.68,--,--,--,--,6.88,--,6.45,6.56,6.72,6.6,6.66,7.08,7.44,7.42,7.69,7.38,8.56,8.56,7.6,7.91,6.75,5.61,6.1,7.49,8.33,9.99,7.76,6.07,3.75,3.7,3.63,3.56,3.6,3.59,3.57,3.51,3.47,3.45,3.32,3.22,3.2,3.2,3.19,3.18,3.1,3.09,3.12,3.07,3,2.99,0,2.99,3,2.98,2.93,2.98,2.94,2.91,3.11,3.01,2.84,2.83,2.67,2.77,2.62,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0.14,-0.16,--,0.51,--,-0.15,--,0.06,0.08,-0.31,0.29,0,-0.02,-0.37,0.36,0.39,0.28,0.01,0.07,0.11,-0.12,0.01,0.35,0.22,-0.08,-0.03,0.5,0.34,0.02,-0.14,0.37,0,--,0,0.48,0,0,0,0.17,0,0,0,0.19,0,0,0,0.3,0,-0.07,--,0.27,0,0.02,0.31,0.07,0.36,--,0.33,--,--,--,--,--,--,--,--,
主营业务收入(万元),63918,29493,151963,112029,70220,31555,171019,121691,73437,33980,190753,128624,79915,37404,228019,156241,89945,40120,216422,154031,88750,40908,211633,153885,88629,38877,208643,146817,82909,35778,193386,131438,79789,34296,207475,141762,84051,33659,159992,108449,68244,31631,169659,120355,71682,34724,164235,109094,62753,24808,134459,94134,56703,23021,120232,83299,50835,19218,100769,62571,32294,10323,41058,28212,19337,11241,64189,45635,26953,9254,54195,39786,24491,54106,23459,46348,22856,41430,19389,49157,20291,50360,21667,47908,19047,14054,
主营业务利润(万元),6276,3139,13603,9727,6435,2545,12949,8660,4681,2587,13266,10165,6719,3355,16487,13670,8796,4032,19583,14415,8900,4147,19921,15042,8849,3803,18485,13577,8141,3890,17501,12538,8165,3922,19738,13935,8750,3406,16096,11741,7888,3559,14686,10483,6346,2931,14240,10085,6081,--,12056,8454,5253,2183,12299,8755,5784,2341,11157,7138,4014,1289,5633,4077,2646,1569,9206,6664,4128,1499,8574,6232,4080,8486,4199,7873,4306,8801,4346,2338,1644,4490,1724,4127,1642,1865,
营业利润(万元),5506,1387,14492,7293,6860,2060,7463,6731,6709,1784,6588,5528,5550,1750,6326,5305,5474,1750,5902,5816,3741,1369,6516,6490,3672,1238,5054,3083,2407,741,2551,1514,1230,221,5900,5274,3549,1300,4382,3733,2384,553,2299,2169,1654,357,4041,3568,2013,177,1349,1142,669,61,1472,1318,989,108,1055,1040,373,36,-1255,-614,-480,6,1721,1178,863,93,1215,0,763,981,726,430,484,1309,1036,2338,0,4485,0,4166,0,0,
投资收益(万元),4425,142,34274,10137,7428,2882,11185,10650,10498,2347,11076,7841,6710,2217,8575,5355,5167,1535,5372,5109,3586,1074,5294,5151,2784,1183,4371,1839,1491,421,1822,883,746,70,4013,3263,2350,1009,3363,2298,1201,68,1336,827,724,-14,2378,2039,1146,49,1119,892,381,139,724,632,412,187,1024,825,706,68,946,363,110,109,853,725,244,-22,793,0,208,1040,149,1417,184,483,142,1597,826,720,573,786,554,22,
营业外收支净额(万元),340,342,204,189,249,1,156,129,129,4,756,731,270,19,464,446,12,0,663,559,211,20,543,444,29,21,389,372,271,12,--,363,155,6,365,277,344,158,275,197,50,36,352,--,--,--,96,--,--,--,152,0,--,0,386,0,0,0,3310,0,0,0,46,4,4,2,51,68,47,0,-42,0,0,-190,0,-1417,0,0,0,0,27,0,3,0,2,-3,
利润总额(万元),5846,1728,14696,7482,7108,2061,7619,6860,6838,1788,7344,6259,5819,1769,6789,5751,5486,1750,6565,6375,3952,1389,7059,6934,3702,1259,5443,3455,2678,754,3059,1878,1385,227,6265,5551,3893,1459,4658,3929,2434,589,2651,2423,1860,382,4137,3592,2021,177,2672,2144,1054,204,2582,2150,1422,302,5388,2994,1484,135,101,116,-156,118,2624,1970,1154,74,1967,0,998,1831,870,1831,675,1691,1196,5200,2498,5204,2300,4959,2197,1884,
净利润(万元),5147,1439,6347,5519,5128,1430,6123,5224,5083,1412,6114,5217,5001,1411,6075,5199,4986,1386,5860,5723,3503,1078,5841,5780,3122,1027,4213,2844,2310,606,2620,1525,1165,241,5127,4538,3155,1202,3898,3133,2043,411,2203,1937,1533,254,3621,3229,1820,181,2324,1909,918,206,2250,1950,1255,264,4398,2720,1409,105,55,51,-197,77,1905,1645,949,48,1731,1235,850,1663,665,1522,585,1499,1027,4504,2126,4438,1996,4107,1851,1597,
