报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
基本每股收益(元),0.31,0.09,1.59,1.06,0.69,0.08,1.45,0.81,0.79,--,--,
每股净资产(元),--,--,--,--,4.35,--,3.67,--,2.22,2.47,1.08,
每股经营活动产生的现金流量净额(元),--,--,--,--,-0.08,--,0.66,--,0.54,-0.12,-0.75,
主营业务收入(万元),42731,13335,65858,51691,38187,6353,42886,26903,29702,11759,1956,
主营业务利润(万元),8904,3414,18790,13925,9393,2315,17332,10227,11388,4338,562,
营业利润(万元),3567,685,11155,7339,4732,448,10230,5662,5651,2246,-527,
投资收益(万元),30,38,92,108,95,1,37,12,42,--,--,
营业外收支净额(万元),18,6,-32,-24,-24,-3,12,4,91,5,11,
利润总额(万元),3585,691,11123,7315,4708,445,10242,5666,5742,2250,-516,
净利润(万元),3062,628,9533,6389,4111,459,8692,4857,4750,2140,-516,
净利润(扣除非经常性损益后)(万元),2874,599,8842,6388,4121,452,8377,4714,5737,2189,-519,
经营活动产生的现金流量净额(万元),3884,-888,-909,-146,-501,-2599,3937,4751,3237,-185,-746,
现金及现金等价物净增加额(万元),13298,15531,164,-386,-857,-3888,651,1033,4249,-284,-214,
总资产(万元),146642,132031,87436,82454,77842,--,70742,--,43165,16550,7509,
流动资产(万元),133030,120151,75606,70639,66105,--,60774,--,36636,13633,6672,
总负债(万元),78842,64697,55894,54017,51715,--,48727,--,29743,12850,6434,
流动负债(万元),78842,64697,55894,54017,51715,--,48727,--,29743,12850,6434,
股东权益不含少数股东权益(万元),67809,67363,31549,28423,26123,--,22015,--,13312,3700,1076,
净资产收益率加权(%),4.91,1.14,35.59,25.34,17.08,2.06,49.21,--,56.73,83.69,-38.67,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
