报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.01,-0.04,0.22,-0.08,-0.01,-0.06,0.69,0.06,-0.07,-0.04,0.73,0.05,-0.03,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,3.23,3.1,--,3.17,--,2.42,18.14,16.19,15.13,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,-1.03,-1.01,--,0.91,-0.8,-0.27,5.62,1.4,7.8,
主营业务收入(万元),17053,6281,49938,22243,15486,5301,43982,21532,12028,5645,39770,18616,4115,31128,29615,31104,
主营业务利润(万元),8931,2777,24613,10617,7679,2288,23058,10121,4894,2314,22149,8598,1796,17329,17267,19225,
营业利润(万元),186,-1204,5758,-1872,-183,-1041,10262,925,-864,-622,8395,-939,-803,5203,6758,9302,
投资收益(万元),107,30,534,335,266,147,41,-44,-26,-15,-26,-16,-4,-16,--,--,
营业外收支净额(万元),-47,-4,339,27,24,-1,-2,65,-15,142,2162,1766,439,3265,712,868,
利润总额(万元),138,-1208,6097,-1845,-159,-1043,10260,990,-879,-480,10556,827,-363,8467,7470,10170,
净利润(万元),171,-1103,5544,-1930,-187,-1003,8979,767,-822,-443,9118,618,-354,5371,4406,6702,
净利润(扣除非经常性损益后)(万元),92,-1144,4444,-2635,-461,-1127,8741,530,-984,-515,8910,521,-361,5170,4279,6736,
经营活动产生的现金流量净额(万元),5897,10668,-10051,-11781,-6740,-798,-14390,-13022,-12713,-8733,11442,-10114,-3401,7496,1863,10410,
现金及现金等价物净增加额(万元),142,3454,-4941,-9984,-5741,3057,2722,-15196,-14766,-14549,11564,-9269,-879,967,-1834,8322,
总资产(万元),108612,110804,116336,99898,100184,103984,111331,58974,53986,--,63427,--,49659,48855,48489,42025,
流动资产(万元),95362,97446,102969,87071,87525,92081,99829,47738,42507,--,52423,--,38428,37570,37438,30712,
总负债(万元),18098,17234,21707,12601,11236,8810,15153,18275,14876,--,23495,--,19199,24641,24624,20350,
流动负债(万元),17690,16860,21361,12265,10905,8451,14793,17924,14544,--,23219,--,18958,24409,24511,19993,
股东权益不含少数股东权益(万元),90514,93570,94629,87296,88948,95174,96177,40700,39110,--,39932,--,30460,24214,21607,20201,
净资产收益率加权(%),0.18,-1.19,5.55,-2.1,-0.19,-1.05,18.57,1.9,-1.4,-1.12,27.04,2.14,-1.47,22.11,19.67,33.95,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
