报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,
基本每股收益(元),-0.1,-0.05,-0.2,-0.16,-0.1,-0.05,-0.2,-0.15,-0.1,-0.05,-0.21,-0.16,-0.1,-0.05,-0.21,-0.15,-0.1,-0.05,-0.21,-0.15,-0.1,-0.05,-0.21,-0.15,-0.1,-0.05,-0.21,-0.16,-0.1,-0.05,-0.14,-0.15,-0.1,-0.16,-0.1,-0.05,-0.24,-0.16,-0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,-4.86,--,-4.76,--,-4.65,--,-4.56,--,-4.46,--,-4.36,--,-4.25,--,-4.15,--,-4.05,-4,-3.94,--,-3.84,-3.79,-3.74,-3.68,-3.63,-3.58,-3.52,0,-3.42,-3.43,-3.37,-3.22,-3.17,-3.11,-3.06,-2.97,-2.92,-1.76,-1.63,-1.57,-1.08,-1.02,-0.97,-0.91,0.29,0.32,1.01,1.03,1.28,1.28,1.27,1.27,1.57,2.76,1.78,1.53,2.49,2.14,1.93,1.56,1.5,1.82,1.76,1.66,
每股经营活动产生的现金流量净额(元),-0,--,0,--,--,-0,-0,-0,--,-0,-0,-0,-0,-0,-0,--,-0,-0,-0,-0,-0,-0,0,0,0,0,-0,-0,0,0,-0.03,0,0,-0.02,-0.02,-0.02,0.01,-0,0.01,0,0,-0.06,0,0,0,0.05,0,0,0,-0.11,0,-0.04,--,0.08,0.12,-0.34,-0.05,0.04,-0.15,-0.93,--,--,--,--,--,--,
主营业务收入(万元),157,79,331,0,133,48,399,276,174,86,358,256,175,94,391,295,206,72,351,290,238,88,383,287,183,95,357,190,188,0,430,82,245,205,294,130,2923,1774,1078,22223,10154,43396,30716,21180,10376,46039,34461,23500,12203,54351,40602,27802,13234,51794,31303,58698,32093,60269,29448,56994,29418,56933,28302,43208,21175,47023,
主营业务利润(万元),153,79,149,-2,133,48,226,274,172,84,179,245,165,84,204,277,198,69,159,269,228,78,189,262,159,81,174,177,181,0,152,4,241,19,289,6,457,359,222,2656,894,2776,1313,943,389,2735,2355,1390,602,4607,3741,2454,1233,6030,9615,11645,5333,9894,5263,6518,2164,440,421,610,254,724,
营业利润(万元),-3015,-1558,-5912,-4530,-3016,-1534,-5855,-4440,-2962,-1506,-5978,-4513,-3026,-1485,-5969,-4493,-2970,-1532,-5981,-4495,-2910,-1489,-6032,-4504,-3028,-1485,-6159,-4568,-2973,-1470,-6280,-4313,-2774,-4531,-3028,-1487,-6988,-4751,-3172,-2685,-1630,-13264,-5250,-3546,-1784,-54415,-21535,-20527,-628,-6370,373,242,105,1661,8269,6075,3681,5890,3836,2477,269,441,0,583,0,750,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,--,--,--,--,--,--,--,10,--,--,0,200,338,338,310,213,206,125,43,39,17,-2,1,-29,-20,0,-205,-221,-221,-9,-75,0,0,0,-716,54,2,1,0,0,202,167,885,413,712,379,629,
营业外收支净额(万元),6,5,--,--,0,--,8,7,6,1,-0,-0,-0,-0,0,1,1,1,2,2,-0,-0,-0,-0,--,--,-0,-0,--,0,2116,-3,-2,-0,0,0,24,3,3,0,0,-6630,0,0,0,-2681,0,0,0,-460,18,22,0,-44,-41,-33,0,-37,0,0,0,0,0,0,-1,--,
利润总额(万元),-3008,-1554,-5912,-4530,-3016,-1534,-5847,-4432,-2956,-1505,-5978,-4513,-3026,-1485,-5969,-4492,-2968,-1531,-5979,-4493,-2910,-1490,-6032,-4504,-3028,-1485,-6159,-4568,-2973,-1470,-4164,-4315,-2776,-4532,-3027,-1486,-6964,-4748,-3169,-5150,-1642,-19890,-5140,-3422,-1791,-57301,-21756,-20747,-636,-6904,391,264,105,901,8281,6044,3668,5853,3827,2670,435,1322,890,1448,616,1377,
净利润(万元),-3008,-1553,-5906,-4529,-3015,-1533,-5844,-4429,-2956,-1502,-5973,-4508,-3021,-1485,-5968,-4492,-2968,-1531,-5982,-4493,-2910,-1490,-6030,-4503,-3027,-1484,-6153,-4562,-2969,-1468,-4132,-4293,-2764,-4510,-3000,-18,-6864,-4714,-3142,-5324,-1621,-18207,-4934,-3243,-1711,-56469,-21598,-20634,-637,-7019,194,132,80,534,7357,5619,3315,4633,3118,2273,393,1152,772,1243,540,1170,
