报告日期,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),5.2,5,5.03,4.76,4.9,4.79,4.66,4.64,4.53,4.42,4.39,4.32,4.21,4.09,4.27,5,4.47,4.37,4.84,4.67,4.21,3.86,2.36,2.3,2.15,2.26,3.64,3.42,3.23,4.26,3.53,3.32,3.08,
每股经营活动产生的现金流量净额(元),0,2.09,0,0,0,1.65,0,0,0,0.4,0,0,0,0.71,0,0.33,--,1.04,--,0.52,0.93,0.3,0.5,-0.06,0.15,-0.02,--,--,--,--,--,--,--,
主营业务收入(万元),40488,166657,129466,87555,35941,147757,113994,74622,40543,91629,69678,46521,23251,78196,56801,35307,14044,76169,58180,38543,83781,35181,46149,26935,39462,18981,22219,11255,18766,10514,16200,13524,10018,
主营业务利润(万元),19230,88674,68747,43774,18925,60044,41997,25686,10988,40222,32903,23231,10377,37392,28360,18367,6875,40680,34194,22950,43766,17886,12375,7535,13232,7052,3938,2052,3169,2197,2874,--,--,
营业利润(万元),13510,66802,53255,33851,14941,36309,28468,17338,6467,25631,22061,16486,7705,28234,19084,12395,4577,28274,26839,18298,33470,14303,5896,4061,6726,4585,4375,0,3396,0,3234,--,--,
投资收益(万元),453,-20728,-11476,-10671,-6569,-9818,-9229,-2195,1515,-733,-519,49,519,-2148,-673,-263,136,-619,517,551,-463,356,777,-17,403,277,325,13,450,16,599,--,--,
营业外收支净额(万元),-863,-4677,0,0,0,-1300,0,0,0,-1624,-560,-536,0,35,0,39,0,-2788,0,0,39,0,75,0,--,0,0,96,0,25,--,--,--,
利润总额(万元),13100,41397,37208,20747,8323,25191,18813,14810,7081,23273,20981,15999,8224,26120,18417,12170,4723,24875,24676,18896,33046,14599,7583,4076,7331,4907,4858,2138,4213,2423,3834,--,--,
净利润(万元),7175,18605,19781,9755,4015,13344,8526,8008,3849,12110,10959,8513,4489,15084,10861,7163,3083,20015,19123,14146,27506,10950,5260,2533,5113,3936,3807,1789,3237,1726,3050,2911,2372,
净利润(扣除非经常性损益后)(万元),0,29427,0,11384,0,12025,0,9566,0,9299,0,9041,0,15790,10734,7034,--,21762,--,14137,27506,10950,4460,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-4497,76227,37055,25307,5779,60016,2953,-2977,-692,14526,13387,11905,836,25850,0,10133,--,31677,--,15779,28157,9085,8397,-1006,2595,-324,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-5054,4786,8723,8259,1914,-12068,-4146,-5391,-5306,23334,11098,2651,4472,3342,0,5396,--,7471,--,21955,3115,9176,2943,58,1360,1087,--,--,--,--,--,--,--,
总资产(万元),361787,353648,369866,367445,358216,363496,380967,366385,323977,306567,249370,231916,231030,217460,220294,221193,217662,203172,216511,212287,180407,159174,107900,112075,102655,82624,72920,68646,66329,63722,54845,--,--,
流动资产(万元),177145,167718,182696,198287,187528,191124,217142,201262,168204,148849,97913,81528,--,--,75925,0,71527,0,95104,0,0,0,45229,57759,49426,36692,29008,26611,23328,26377,18459,--,--,
总负债(万元),163084,161860,178200,185929,171554,179321,199814,185723,147369,133807,80031,65971,69163,59657,55823,60429,74564,66290,64841,66258,50276,38530,62588,69652,62797,40100,35141,33972,33615,30575,29363,--,--,
流动负债(万元),157084,155860,165943,181654,166257,174007,194490,185172,146782,133221,79417,65339,--,--,55823,0,74564,0,64841,0,0,0,58692,65656,59996,34483,29717,30076,29719,23348,22221,--,--,
股东权益不含少数股东权益(万元),189226,182051,183227,173201,178382,174367,169581,168893,164735,160885,159733,157288,153263,148773,155476,151778,135547,132471,146745,141768,127622,117133,39850,38704,36171,38004,34068,32050,30261,26564,18691,15926,14804,
净资产收益率加权(%),3.87,10.39,0,5.5,0,7.96,0,4.86,0,7.47,0,0,0,9.75,7.17,4.83,--,15.11,--,9.98,26.61,0,--,--,14.56,--,--,--,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
