报告日期,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),-0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-0.67,-0.77,-0.53,-0.52,-0.45,-0.38,0.14,0.2,0.27,0.35,1.72,1.74,1.84,1.92,2.68,2.72,2.65,2.67,2.71,2.72,2.69,2.62,2.65,5.3,3.66,3.89,3.67,3.53,--,--,--,
每股经营活动产生的现金流量净额(元),0.02,0.07,0,0,0,0.08,0,0,0,-0.08,0,0,0,-0.35,0,0,0,-0.36,0,-0.26,--,-0.87,0.07,0,-0.46,0.21,--,0.16,-0.22,--,--,
主营业务收入(万元),525,9672,7831,5272,1975,12065,9489,6584,2606,25139,22710,18137,3714,41940,42983,34385,10191,60432,39568,29720,8111,38805,16675,24516,6761,14414,4893,9102,6609,3673,1586,
主营业务利润(万元),--,5491,4512,2869,1015,3143,3251,2103,702,73,5027,4033,577,9465,12701,10819,3155,19452,12656,10066,4991,21832,12907,18581,5539,11676,3863,7553,5944,3022,1141,
营业利润(万元),-2588,-13855,-6643,-4491,-1903,-21628,-6919,-5104,-2634,-51209,-10216,-6048,-2911,-24030,-10,2218,-1004,3088,1869,2673,2102,6957,5959,5659,770,5786,2483,4508,3301,1630,819,
投资收益(万元),-4,-127,1495,-539,-501,-5446,-899,-680,-334,-3144,2163,-756,-351,-3201,-1174,-1048,-60,-815,-417,-345,-38,992,1002,1606,869,--,0,0,--,0,0,
营业外收支净额(万元),--,-278,0,0,0,-198,0,0,0,-2129,0,0,0,-977,-101,0,0,881,1026,926,0,53,0,0,0,371,0,0,14,0,0,
利润总额(万元),-2718,-14149,-5432,-5040,-2404,-27118,-7744,-5775,-2968,-55899,-7727,-6496,-3153,-27288,-93,2063,-659,4165,3228,3715,2253,8894,7281,8518,2264,6749,2631,5358,3624,1849,916,
净利润(万元),-2542,-9199,-3905,-4107,-1809,-20104,-7283,-5399,-2721,-55082,-7395,-6622,-2891,-26232,257,1680,-901,2990,2916,3268,2179,7426,6205,6754,1734,5271,2033,4518,3594,1829,608,
净利润(扣除非经常性损益后)(万元),--,-11486,0,-4169,0,-20582,0,-5702,0,-58398,0,-6707,0,-26149,0,1401,0,2044,2038,2473,--,7337,6265,6420,1540,4913,--,--,--,--,--,
经营活动产生的现金流量净额(万元),523,2296,432,539,63,2802,534,-1722,-2367,-2655,-3888,-647,-2951,-12030,2996,14349,1350,-12627,0,-8930,--,-30321,2307,-64,-7113,2928,--,2283,774,--,--,
现金及现金等价物净增加额(万元),-1936,628,-1118,521,-255,-7252,-6373,-6295,-5491,-14271,-9868,-9069,-3255,-489,5100,16945,-3130,-3139,0,358,--,-14692,6197,23504,-4050,-5964,--,29214,409,--,--,
总资产(万元),71556,95030,101430,108733,109512,110104,127785,129918,133083,137899,175174,197664,197423,201964,228906,236810,219290,237205,216442,221537,197666,192157,144064,134800,93413,83488,59811,56361,16248,10666,5746,
流动资产(万元),47598,55343,59035,57252,56585,55999,69243,70619,73090,77107,105881,118161,123366,122382,144985,154441,--,0,138581,--,129525,0,0,--,0,41091,45214,47027,9976,8103,4561,
总负债(万元),93689,120616,118300,123752,121901,120092,118034,118236,118610,120487,109805,128225,127835,126877,128974,135009,119011,132249,112682,117290,92978,90868,50797,39777,34768,26182,8010,6609,8074,7535,4464,
流动负债(万元),92733,108701,105944,105698,104904,100073,98181,88349,72518,74309,64613,78031,78361,80211,97558,109263,--,0,88087,--,65592,0,0,--,0,22889,6376,6309,3974,2735,1059,
股东权益不含少数股东权益(万元),-23268,-26896,-18281,-18059,-15565,-13334,4947,6813,9489,12197,59739,60482,63969,66738,93254,94676,92210,93068,94311,94633,93544,91365,92123,92338,56691,54976,51771,49738,8117,3103,1274,
净资产收益率加权(%),--,0,0,0,0,0,0,-56.85,0,-140.53,0,-10.42,0,-32.81,0,1.79,0,3.19,0,3.51,--,8.3,6.97,0,3.09,--,--,19.86,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
