报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2005-03-31,2004-12-31,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1992-06-30,
基本每股收益(元),0,-0,0,0,-0,-0,0,0,0,-0,0.05,-0,-0,-0,0.02,0.01,-0,-0,0.04,0.04,0.04,-0,0,-0,-0,-0,-0,-0,-0,-0,0,-0.01,-0.01,-0,0.01,-0,-0,-0,-0,-0,-0,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.31,-0.31,-0.32,-0.32,-0.32,-0.32,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-1.54,-1.52,-1.41,-1.38,-1.51,-1.48,-1.51,-1.47,-1.17,-1.04,0,-0.94,-0.25,0.12,0.34,0.86,1.58,1.8,1.83,2.11,2.1,2.16,2.24,2.32,2.35,2.31,2.24,2.16,2.21,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0.01,--,-0.01,-0,-0,--,-0.01,-0.02,-0,--,-0.01,-0.01,-0,0,-0.01,0,-0,0.01,0,0.02,0.02,0,0.01,0,0,--,-0.03,0.01,0.03,-0.01,-0.01,--,-0.14,--,-0.02,0,-0.02,-0.04,0.03,-0.16,-0.08,-0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),842,194,2194,1108,574,122,3129,1627,657,127,8376,1866,1500,403,4912,842,680,151,3949,2417,1579,879,1631,880,459,240,1420,868,525,239,2676,1934,1540,1377,3236,2225,1625,852,3288,2301,1610,887,357,3569,924,3150,2010,1431,1006,4912,4171,1882,1151,3671,11044,4763,17513,12989,18487,9648,45318,29579,75684,41541,92257,49562,97065,50644,75275,29822,--,17110,
主营业务利润(万元),291,86,563,373,228,107,407,326,200,82,2444,365,257,112,1067,49,38,15,246,194,156,83,147,86,47,25,157,82,64,34,134,81,52,33,228,147,131,55,122,137,106,68,14,483,62,-230,124,76,48,-1166,-1350,107,43,-2649,1421,1326,2289,2350,2314,1187,-4150,466,467,569,1237,2461,7443,4283,4081,2293,--,-14689,
营业利润(万元),78,-52,119,122,-1,-7,4,57,36,-5,1858,-47,-63,-100,381,-365,-217,-109,-529,-398,-207,-98,-565,-488,-241,-105,-594,-371,-204,-82,-805,-390,-255,-97,-601,-356,-236,-117,-426,-235,-155,-69,-680,-3972,-685,-4527,-2371,-1608,-975,-11796,0,-2334,0,-14704,-15713,-5120,-19854,-9607,-10628,-4789,-3508,0,1267,0,1732,0,0,4378,4441,2393,--,0,
投资收益(万元),4,--,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,-1288,0,1222,1246,1217,--,-403,-3,-17,0,63,627,-193,-638,-210,4096,4219,-3110,-623,-326,88,1020,521,517,0,227,19,--,0,
营业外收支净额(万元),1,--,--,--,--,--,-4,-4,-4,-3,-11,--,--,0,314,585,169,71,1824,1736,1532,81,690,434,211,85,510,330,134,67,862,266,109,53,918,289,204,73,355,194,77,43,--,443,1,1262,-1,-1,--,-207,6,--,0,-251,613,0,795,0,0,0,0,-8,0,-5,0,-602,-1434,0,0,--,--,--,
利润总额(万元),79,-52,119,122,-1,-7,-0,53,32,-8,1847,-47,-63,-100,694,220,-48,-37,1296,1338,1324,-18,126,-54,-30,-20,-84,-42,-70,-15,57,-123,-146,-44,317,-67,-31,-44,-71,-40,-78,--,-680,-4795,-684,-2039,-1123,-389,-975,-12392,-5480,-2337,0,-14876,-14456,-5308,-19698,-9330,-6473,-627,-6523,294,1048,872,3023,2486,6719,3687,3674,2032,--,1073,
净利润(万元),61,-47,94,83,-3,-6,3,39,24,-8,1178,-68,-85,-95,478,156,-45,-37,965,998,991,-17,92,-52,-28,-19,-89,-39,-70,-14,10,-122,-146,-43,256,-61,-29,-41,-77,-41,-79,-26,-677,-4820,-684,-2005,-1116,-379,-975,-12372,-5360,-2312,-1157,-14652,-14571,-5326,-19714,-9356,-6399,-607,-6651,109,755,772,2654,2186,5694,3132,3159,1736,--,922,
