报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2004-12-31,2003-12-31,2002-12-31,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,
基本每股收益(元),0,-0.01,-0.1,-0.01,-0.01,-0.01,-0.06,-0.01,0.01,0.01,0.08,-0.01,-0.01,-0.01,10.09,-0.39,-0.36,-0.06,-0.57,-0.28,-0.18,-0.09,-0.42,-0.28,-0.19,-0.09,-0.5,-0.37,-0.2,-0.1,-0.44,-0.33,-0.23,-0.1,-0.41,-0.31,-0.21,-0.1,-0.44,-0.31,-0.21,-0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-10.42,-11.12,-10.82,-10.33,-9,-8.9,-8.81,-8.72,-8.59,-8.5,-8.4,-8.31,-8.18,-8,-7.9,-7.8,-7.7,-7.59,-7.4,-7.3,-7.2,-7.1,-6.99,-6.89,-6.76,-6.65,-6.55,-4.86,-4.35,-3.8,-3.5,0,-3.13,-0.07,-0.07,0.06,0.53,0.63,1.09,1.09,1,1.08,1.65,1.76,1.86,2.16,2.32,2.32,2.11,2.2,1.15,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.62,--,--,0,--,--,--,-0.03,--,--,--,-0.13,--,--,--,-0.19,--,--,--,-0.27,0,--,--,-0.09,--,--,--,-0.02,-0.01,-0.21,-0,0,-0.07,0,-0.03,-0.02,-0.02,--,0.01,-0.05,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),1209,813,43,43,43,0,809,808,808,808,4259,10,10,10,4619,4,4,4,190,22,22,22,372,116,54,54,257,23,13,5,1356,692,531,211,1007,681,518,76,827,714,406,74,3141,5489,3110,1052,385,7904,5105,2818,13070,6421,11649,4931,17322,6860,20764,8978,18035,11086,30484,14849,33219,23278,51859,--,
主营业务利润(万元),-5,-1,21,21,21,0,544,544,544,543,3138,4,4,4,1983,3,3,3,-139,1,1,1,-480,54,51,54,-606,10,1,0,-755,-122,-174,112,8,188,25,4,-190,755,16,6,-2278,-1162,-2354,-1187,-577,-3002,-809,-442,-1502,1183,-18,16,1759,366,-13468,-2929,-5024,-2430,225,91,743,581,3063,--,
营业利润(万元),230,-128,-3672,-526,-430,-221,-2040,-197,136,375,2487,-238,-178,-144,266,-2809,-1893,-1538,-10108,-7104,-4707,-2342,-10729,-7299,-4879,-2339,-11046,-7692,-5115,-2585,-11298,-8584,-5856,-2619,-10550,-8025,-5432,-2683,-11472,-8062,-5408,-2717,-13678,-14811,-17166,-9667,-2953,-77039,-7303,-4977,-12476,-2468,-7719,-3225,-1553,-1983,-12210,0,-4532,0,350,0,0,774,5439,--,
投资收益(万元),510,--,--,--,--,--,--,--,--,--,--,--,--,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,0,0,-1144,2,7,-234,0,-15,0,-33,-47,-1033,17,52,0,300,17,29,15,92,--,
营业外收支净额(万元),--,--,-61,-0,-0,--,-3,-0,-0,-0,-0,--,--,--,260162,-7273,-7273,--,-4473,--,--,--,-0,-0,-0,--,-1927,-1927,-1,-0,-21,-21,-21,--,-0,-0,-0,--,6,6,6,--,15,-40,0,-30,0,-43,0,0,-25,0,136,0,0,0,0,-6,0,0,0,4,3555,0,0,--,
利润总额(万元),230,-128,-3733,-526,-430,-221,-2043,-197,136,375,2487,-238,-178,-144,260428,-10081,-9166,-1538,-14581,-7104,-4707,-2342,-10729,-7299,-4879,-2339,-12974,-9619,-5115,-2585,-11319,-8605,-5877,-2619,-10551,-8025,-5432,-2683,-11466,-8056,-5401,-2717,-13663,-14851,-17626,-9697,-2951,-78227,-7301,-4970,-12735,-2467,-714,55,144,-1949,-17513,-2918,-4484,-1977,270,112,5737,1257,5472,--,
净利润(万元),140,-128,-3733,-526,-430,-221,-2092,-241,91,330,2157,-247,-187,-139,260361,-10081,-9166,-1538,-14581,-7104,-4707,-2342,-10729,-7299,-4879,-2339,-12974,-9619,-5115,-2585,-11319,-8605,-5877,-2619,-10551,-8025,-5432,-2683,-11466,-8056,-5401,-2717,-13340,-14718,-17568,-9697,-2951,-76423,-7301,-4970,-12740,-2467,-714,55,144,-1949,-17513,-2918,-4484,-1977,161,75,4112,1069,4651,--,
净利润(扣除非经常性损益后)(万元),140,-128,-3672,-526,-430,-221,-2095,-241,91,330,2157,-247,-187,-139,199,--,-1483,--,-14581,--,-4707,--,-10729,--,-4879,--,-12974,--,-5115,--,-11319,--,-5877,--,-10551,0,-5432,--,-11466,--,-5401,--,-13325,-14678,0,-9667,0,-76380,0,-4977,-12765,-2468,-7726,--,--,--,--,--,--,--,--,--,--,0,--,--,
经营活动产生的现金流量净额(万元),-116,76,-954,-524,-523,-224,-985,-388,-398,50,2119,-3087,-3032,-978,-20404,-15889,-1765,-197,8,-612,-431,-241,-1004,-588,-400,-181,-3302,-3073,-730,-362,-5015,-3531,-3210,-160,-6939,-236,-501,-207,-2349,-271,-696,-325,-480,-180,-5421,-51,0,-1815,0,-844,-557,-631,5497,350,-1334,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-6,110,6,0,1,13,-17,13,-3,50,-3136,-3087,-3032,-978,3132,3436,8753,-21,17,-3,2,-4,2,23,3,4,0,4,-0,5,-62,18,10,-90,53,17,-11,2,2,1,6,41,11,2,0,-5029,0,4483,0,-488,526,23,-127,-121,-1071,--,--,--,--,--,--,--,--,--,--,--,
