报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.27,0.09,0.47,0.29,0.21,0.07,0.36,0.24,0.18,0.03,0.35,0.23,0.15,0.02,0.3,0.22,0.12,0.02,0.25,0.22,0.11,0.03,0.4,0.22,0.1,0.02,0.26,0.17,0.07,0.02,0.2,0.13,0.07,0.02,0.34,0.23,0.08,0.01,0.28,0.16,0.05,0.02,0.14,0.06,0.04,0.03,0.23,0.13,0.09,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.44,--,3.27,3.17,2.76,2.74,2.68,2.72,2.66,2.65,2.54,2.39,2.33,2.31,2.19,2.08,2.05,2.03,1.96,2.03,2.02,1.99,1.9,1.85,1.81,1.73,1.72,1.71,1.69,1.68,1.67,1.67,1.67,1.66,1.67,1.66,1.66,1.65,1.65,1.65,1.65,1.65,1.66,1.68,1.66,1.65,1.61,1.54,1.54,1.47,1.45,0.91,0.84,0.79,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.83,--,1.79,1.06,0.15,0.12,-0.37,-0.71,-0.69,0.47,-1.04,-1.02,0.35,1.6,1.55,1.25,1.5,0.28,0.14,-0.3,-0.7,1.32,0.3,0.43,-0,0.8,0,0,0,0.09,0,0,0,0.27,0,0,0,0.27,0,0,0,-0.1,0,-0.08,--,0.11,0.17,0.06,0.02,0.01,--,--,--,--,
主营业务收入(万元),246751,115010,427360,313090,221435,95323,378931,297736,195849,90057,347352,271531,194965,88989,342013,271673,204521,93210,355901,305331,226955,101091,426403,353029,239046,98601,411588,333747,214028,94513,399583,330331,244289,126322,376687,303415,199983,111362,284652,249271,160183,66653,190870,179463,132171,72047,204633,160772,108808,43419,114246,90173,57157,24308,77812,58290,37924,14553,60003,45448,31667,14053,40010,28981,19040,8963,22701,17427,13593,6943,25820,16402,17583,9427,18677,12291,32031,25230,16844,
主营业务利润(万元),30474,14350,59587,42601,25958,11706,53196,39636,25180,10889,51191,34913,25064,10112,49815,33473,22936,10407,47000,36110,23480,10185,52551,40873,23839,10643,49466,34392,20861,9158,40478,30361,20255,10068,45350,32873,20727,10666,42830,31130,19534,8266,25554,20564,14597,7640,27404,22306,16137,--,12663,9827,6904,3027,9732,7093,4690,1742,6469,5533,3683,1832,4715,3085,2311,1029,3427,3179,2299,1113,5548,3090,3977,1643,5659,4005,10630,8111,6999,
营业利润(万元),7936,2646,14229,7455,4795,1700,9415,4521,3863,685,7495,5174,3111,216,7857,6210,3311,437,7135,6161,3461,437,16073,9119,3749,652,11104,5767,2788,521,8544,5934,3286,888,16324,9136,3856,781,15840,7067,3060,641,5201,2219,1183,803,10008,5384,4310,1753,1393,1234,921,293,637,355,260,97,28,154,141,78,-330,38,88,53,15,177,493,251,2802,1814,1964,1202,3089,2762,7355,4924,4339,
投资收益(万元),220,31,415,55,31,13,-91,-21,-12,-8,178,-24,-16,2,168,-42,-37,24,-22,-33,-24,-13,5362,-29,-19,-31,-95,-182,-126,-65,-180,-105,-55,--,-347,-362,-737,-737,-424,-418,-354,--,-7,--,--,0,164,--,0,0,-34,-26,-18,-9,-24,-15,-7,-8,258,129,137,-8,487,-24,-16,-8,141,-28,-16,-8,-24,-2,556,0,0,0,0,0,0,
营业外收支净额(万元),364,358,36,1595,1611,386,2024,2943,2042,280,3699,1920,1411,385,2222,2448,1281,228,2371,2051,1255,466,-759,-707,488,167,429,1049,749,391,912,428,367,211,1756,498,339,215,428,798,380,324,1042,--,529,--,554,--,373,--,-37,0,0,0,-76,0,0,0,46,0,0,0,29,43,0,15,31,-73,-69,0,71,17,24,0,8,--,--,--,--,
利润总额(万元),8300,3004,14265,9050,6406,2086,11439,7464,5905,965,11194,7094,4523,601,10079,8658,4592,665,9505,8212,4716,902,15314,8413,4237,819,11533,6816,3538,912,9457,6362,3653,1099,18080,9634,4195,996,16268,7865,3440,965,6243,3052,1712,1035,10562,5908,4683,1946,1636,1408,1057,319,614,320,242,103,332,295,281,71,200,71,102,60,187,76,407,251,2849,1829,2544,1457,3627,3695,9938,6676,5940,
净利润(万元),6242,2206,11010,6891,4820,1606,8340,5541,4161,628,8304,5383,3437,564,6979,5275,2743,484,5952,5147,2496,630,9382,5172,2406,542,6052,4034,1708,411,4607,3011,1601,369,7924,5374,1777,289,6619,3678,1226,483,3284,1489,849,583,5441,3165,2182,1058,1213,1058,802,301,334,240,227,119,172,138,120,98,108,26,57,6,110,22,338,213,2419,1600,2544,1457,3097,2778,7342,4917,4342,
