报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),-0.01,-0.06,0.09,0.22,0.27,-0.1,0.43,0.45,0.07,-0.08,0.02,-0.18,-0.03,0.03,0.16,0.14,0.05,0.05,-0.34,-0.27,0.03,0.08,-0.4,-0.21,-0.12,-0.04,-0.32,-0.19,-0.08,--,-0.89,-0.52,-0.4,-0.15,0.03,-0.21,-0.28,-0.22,-2.27,1,-0.64,-0.3,-1.19,-1.05,-0.33,-0.17,-1.62,-0.13,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-4.06,-3.95,-3.87,-3.87,-3.5,-3.38,-3.13,-2.98,-3.22,-3.29,-3.23,-3.01,-1.73,-1.37,-1.04,-0.73,-0.6,0.13,0.28,0.46,1.95,2.12,2.11,2.07,2.07,2.09,2.08,2.07,2.01,1.98,2,1.95,1.9,1.86,1.88,1.86,1.81,1.77,1.75,1.73,1.75,1.73,1.71,1.69,1.71,1.66,1.66,1.66,1.64,1.64,1.44,1.39,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.44,0.09,-0.19,-1.05,-1,-0.45,0.11,4.1,3.51,3.18,2.96,0.94,0.95,-0.17,-0.78,-2.79,-1.47,-0.93,-0.89,-0.3,-0.24,-0.39,-0.25,-2.22,0,-1.52,0,1.24,0,-0.02,0,-1.18,0,-0.08,0,0.4,0,0.25,0,0.53,0,0.07,0,0.25,0.58,0.05,-0.02,--,--,-0.32,--,--,--,--,--,
主营业务收入(万元),59738,22753,105087,77152,55700,19911,146990,109678,58164,20503,144470,107063,76556,43344,128645,84948,55368,30370,94740,68183,49690,27522,86634,64604,46228,27595,76860,54045,37658,21747,51818,32670,24833,12277,62337,29963,12764,3870,51768,43217,29043,18864,112107,74313,49351,26695,177037,132635,96411,43471,228920,152991,102820,47102,287419,159842,98917,45186,221463,155852,91492,37141,123774,73812,45221,20694,63050,41703,24927,11451,40427,17335,25121,8854,14904,5349,27527,9597,50414,42255,35898,40399,
主营业务利润(万元),5331,910,16569,15190,13832,203,24075,20171,4203,18,10523,2976,3923,2841,14733,12275,8916,6725,14180,7474,6406,5391,4046,2065,1274,1648,5760,2920,3073,2181,-2245,-4484,-2933,-1307,2004,-169,-2179,-2795,-10560,-7338,-4868,464,282,-1359,3346,774,-11821,10869,10028,--,25435,17404,12756,6349,24663,20740,13105,6176,27611,20419,12838,6055,18263,13229,8520,4447,13498,8929,5493,2341,8203,3729,4730,1844,3377,1683,6893,2173,12863,5216,2283,750,
营业利润(万元),-13,-1746,5468,6618,7995,-2970,13209,15173,3291,-2362,2833,-4829,-575,686,6101,5329,1910,1708,-13116,-10477,802,2396,-11950,-6159,-3619,-1199,-7361,-2819,131,373,-28269,-15748,-12400,-4525,-7301,-5219,-7275,-6601,-68751,-29924,-19078,-8942,-38072,-31419,-9603,-5137,-52197,-3656,927,671,3392,1941,1399,797,4884,6201,3978,2509,8140,4832,3134,1828,4791,3381,2088,1152,3341,2692,1899,0,2459,1440,1441,22,22,-218,2528,1645,8638,5460,2236,941,
投资收益(万元),--,--,-517,--,--,--,-2819,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,-135,--,--,--,32,--,0,0,-45,-34,-23,-11,-25,-80,-11,-5,289,138,72,-5,48,54,59,-5,143,77,-11,-5,104,120,114,114,272,253,285,285,366,387,462,249,
营业外收支净额(万元),74,7,145,30,32,25,847,161,144,107,489,123,19,7,164,100,94,8,101,123,35,13,332,298,284,42,202,196,141,7,59,13,6,-2,10393,90,92,111,-5,288,154,-19,816,--,-20,--,--,--,--,--,-85,0,0,0,-275,0,0,0,-52,0,0,0,-170,0,-83,0,-163,-89,-67,0,-243,-69,-82,0,-66,0,0,0,--,--,--,--,
利润总额(万元),61,-1739,5613,6648,8027,-2945,14056,15334,3435,-2255,3322,-4706,-556,693,6264,5429,2004,1716,-13016,-10354,837,2409,-11618,-5861,-3334,-1157,-7160,-2623,272,380,-28210,-15735,-12394,-4527,3091,-5129,-7183,-6490,-68756,-29636,-18924,-8961,-37257,-31413,-9624,-5231,-52169,-3514,990,679,3261,1775,1293,753,4584,5714,3871,2459,8377,4847,3133,1754,4669,3294,2064,1099,3322,2681,1821,570,2320,1491,1731,125,229,31,3185,1908,8926,5841,2503,1197,
净利润(万元),-283,-1804,2665,6497,7880,-3022,12792,13366,2004,-2413,559,-5466,-875,900,4608,4163,1569,1408,-10170,-7995,821,2445,-12027,-6253,-3644,-1198,-9434,-5607,-2438,6,-26345,-15327,-11855,-4526,854,-6193,-8237,-6469,-67567,-29585,-18880,-8936,-35393,-31249,-9809,-5189,-48060,-3720,644,462,1005,945,560,338,2455,3273,2247,1450,4486,3078,2010,1193,2985,2287,1365,806,2014,1786,1195,378,1801,1270,1258,122,227,31,2374,1842,7642,4041,1830,797,
净利润(扣除非经常性损益后)(万元),-358,-1811,2652,6449,7828,-3047,10748,13205,1861,-2520,-3529,-5589,-894,893,1787,4064,1475,1400,-10677,-8118,787,2433,-15208,-6551,-3928,-1240,-9999,--,-2579,--,-26404,--,-11861,--,-12625,--,-8329,--,-64840,--,-19033,0,-35818,0,-9788,--,-48122,0,602,--,1057,0,616,0,2523,0,2311,0,4337,0,2059,0,3099,0,1420,0,2058,1846,1241,0,1508,1338,1340,122,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-1546,-8911,19582,5194,12903,3833,4454,1822,14856,20627,-7826,-18155,-16997,5090,31154,8560,-2227,13545,22279,42345,15131,16319,5174,-1981,-24920,-8552,8368,12969,2733,-5652,-31075,-29749,-13288,3353,121758,104115,94581,87978,27846,28121,-5143,-23232,-82959,-43701,-27638,-26500,-8993,-7137,-11631,-7403,-66023,-54992,-45129,-19374,36767,-9666,-643,-3064,-34925,-6491,-2464,-2761,11905,5134,7436,533,15718,0,2069,0,7325,17103,1351,-632,-1935,--,-9475,--,--,--,--,--,
现金及现金等价物净增加额(万元),-7780,-10506,5202,-6007,-1157,-2707,7960,5736,1874,5675,-15569,-10402,-15079,-3493,16553,11809,1470,10072,-160,7973,1362,18154,-12279,-10298,-11439,-11228,11068,-1434,-135,-697,990,1303,-5,69,-1662,-1457,-1100,-1693,-1050,-3005,6763,-2520,-4381,-4126,-3508,-3446,-2247,2363,-917,7131,-20939,-18665,-14873,-8840,11597,3560,754,7316,-9668,4292,2959,4828,4332,-3344,3549,-2249,30849,0,8521,0,4112,14063,1003,855,714,--,1046,--,--,--,--,--,
总资产(万元),124261,110493,123667,118819,106926,114363,120073,150887,116989,129704,136600,136111,136812,154706,168234,192006,148550,141871,115048,118754,126366,127760,133965,132914,129248,133156,162338,109096,133080,161132,174908,202824,196827,178421,178654,184573,182481,195547,210075,238611,290445,282417,286788,257501,246941,261635,252538,312514,316655,317206,294221,306629,323963,346044,312485,347077,300254,284591,277066,252661,226713,225973,220489,182533,176226,176073,174034,168948,142693,133138,127685,110676,97626,90129,93664,88594,88798,82609,65711,69204,74843,64530,
流动资产(万元),57669,43107,55337,49338,36945,43403,48045,76964,43568,54037,59926,56859,56255,71085,84343,107776,63322,55802,29650,35468,44447,45578,50568,48401,43690,46129,73290,20757,44485,68833,80737,109693,103438,84665,83924,89140,86803,98655,116963,148091,200733,205901,219513,203743,206926,233661,226050,292683,296326,296390,272938,284685,301257,322577,287869,320790,273274,257414,249526,223742,199503,199526,196214,158264,152069,--,--,--,0,108665,--,0,0,71242,73350,68194,67121,65510,51445,54830,60724,50702,
总负债(万元),243983,231737,243106,234453,221177,239517,248246,278431,255893,273025,277508,283130,279234,295349,309777,333801,292943,286425,261012,263076,261818,261585,270236,263318,257044,258506,286489,229420,250234,275784,289566,306462,296992,271252,266959,279923,279872,291164,299203,289733,330834,312832,308242,274222,241207,251215,236850,252633,251866,252339,230522,242974,259727,282059,248977,285468,239838,223418,217461,194506,169817,168784,164562,127550,122228,123183,122000,116125,90484,--,77278,60016,48253,40835,44491,39802,40037,39844,42929,47402,57826,50000,
流动负债(万元),241252,230577,240288,231384,218317,236488,245169,273674,252747,269482,273880,279421,275549,291155,305490,329687,288849,279347,255072,262583,261289,261223,269731,262720,256393,258121,285225,228262,249440,274697,287953,304969,290534,265843,261591,274562,274528,285911,293984,288287,319897,301878,296177,267222,234206,238215,220850,233632,232865,233338,216521,223973,240726,263058,234976,276467,230814,217594,216028,192415,167726,163120,161059,121311,120168,--,--,--,0,82349,--,0,0,40835,44491,39401,39633,36831,41422,44389,54817,47494,
股东权益不含少数股东权益(万元),-119723,-121244,-119440,-115645,-114262,-125164,-128184,-127554,-138916,-143333,-140920,-147035,-142444,-140669,-141569,-141822,-144416,-144577,-145986,-144344,-135528,-133904,-136349,-130575,-127966,-125520,-124322,-120495,-117326,-114882,-114888,-103870,-100397,-93069,-88543,-95589,-97633,-95865,-89396,-51414,-40709,-30765,-21829,-17678,3775,8395,13584,57925,62882,62700,61554,61479,62133,61871,61530,59724,58698,59297,57847,56439,55370,55720,54518,53632,52683,52081,51276,52087,51496,50679,50301,50643,49373,49294,49173,48792,48761,42765,22782,21802,17016,14530,
净资产收益率加权(%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,-113.01,--,-126.61,0,1.03,--,1.62,0,0.91,0,4.15,0,3.81,0,7.9,0,3.62,0,5.55,0,2.63,0,3.93,0,2.35,0,3.59,2.51,3.51,0,--,--,6.12,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
