报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2005-03-31,2004-12-31,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),0,--,0,--,0,--,0,0,--,0,0,0,0,6.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),0,--,--,--,-0,--,--,-0,--,--,--,-0,--,-0,-2.83,-2.76,-2.2,-1.79,-1.74,-0.77,-0.12,0.03,0.11,0.72,0.77,0.87,0.94,1.32,1.42,1.36,1.35,2.1,1.69,1.75,1.47,1.34,1.34,1.29,1.27,1.29,1.31,1.37,1.07,1.14,1.02,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,0,0,0.01,0,0,0,-0.21,0,-0.19,--,-0.51,-0.45,-0.04,0.25,-0.06,--,-0.15,-0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,-1,1,1,108,41,27,3,2543,2080,1836,495,4845,889,18279,10784,22083,13346,26151,11466,16910,7676,7549,3603,9459,4657,7817,3174,7388,4208,8497,7972,6175,
主营业务利润(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,55,15,13,-1,-44,-292,-389,-261,-224,229,3923,3108,6832,6206,10920,4677,508,-682,-1219,-768,-739,6,19,412,8,496,0,0,0,
营业利润(万元),1,0,2,1,1,0,3,2,2,5,3,2,1,-3961,-1686,-23475,-10445,-1174,-26102,-20408,-5543,-2021,-19001,-5112,-3755,-1824,-9530,-1935,-1100,655,5369,8408,6207,2547,543,0,529,0,-213,0,0,591,2,498,0,0,0,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,29,--,-126,-154,5,-3614,-20,-13,-7,-88,-13,-14,0,76,87,3549,-17,-39,0,4020,0,659,360,41,86,311,268,219,379,134,541,0,0,0,
营业外收支净额(万元),--,--,--,--,--,--,--,--,--,1,--,--,--,167546,--,-104,0,0,-13772,-38,-11,-5,-198,-189,-189,0,-809,0,-196,0,-175,0,0,0,0,-0,0,2,0,72,99,0,676,0,--,--,--,
利润总额(万元),1,0,2,1,1,0,3,2,2,6,3,2,1,163586,-1686,-23705,-10679,-1168,-43489,-20467,-5567,-2033,-19287,-5315,-3958,-1824,-10263,-1913,2253,626,7428,10924,16870,5472,1551,168,524,121,420,375,1132,486,812,1143,1441,1328,897,
净利润(万元),1,0,2,1,1,0,3,2,2,6,3,2,1,163586,-1627,-23189,-10267,-1095,-41663,-20446,-5553,-2024,-19266,-5300,-3947,-1818,-9874,-1905,2245,144,3962,7223,11126,3918,1116,112,370,81,304,254,889,413,690,0,1386,1273,842,
