报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,
基本每股收益(元),0.26,0.19,0.06,-0.03,-0.15,-0.12,0.14,0.09,0.06,0.04,0.26,0.16,0.1,0.03,0.2,0.15,0.08,0.04,0.28,0.21,0.08,0.03,0.25,0.16,0.06,0.04,0.12,-0,-0.02,-0.01,0.01,0.03,0.02,0.01,0.06,0.05,0.03,0.02,0.05,0.03,0.02,0.01,0.04,0.04,0.02,0.01,0.06,0.06,0.04,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.42,0.4,0.41,0.42,0.44,0.44,0.43,0.41,0.41,0.39,0.37,0.36,0.34,0.33,0.32,0.31,0.31,0.3,0.28,0.27,0.25,0.23,0.18,0.18,0.71,0.96,0.95,0.95,1.1,1.15,1.43,1.41,1.4,1.38,1.6,1.58,1.65,1.56,1.95,1.86,1.79,1.68,2.62,2.24,2.13,1.97,1.81,1.95,1.78,2.04,1.92,2.28,2.1,2.37,2.23,2.79,2.76,2.79,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.03,-0.04,-0.05,0.08,-0.03,-0.11,0.01,0.2,0.13,0.03,0.04,0.27,0.1,-0.03,-0.02,0.3,0.08,-0.14,-0.06,0.44,0.31,0.07,0.15,0.04,0,0,0,0.07,0,0,0,-0.24,0,0,0,0,0,0,0,0.6,0,0.19,0,1.42,0,0.9,0.31,0,--,-0.08,--,--,--,--,--,--,--,--,
主营业务收入(万元),92945,41411,179006,128981,69151,31936,187275,141867,86968,45438,181328,132873,79811,40016,196873,147433,89519,45345,200816,143454,89022,42426,203738,146175,87784,42488,233912,169888,106908,46865,291439,209451,137336,66448,333440,251860,166501,76539,274941,189002,118472,57775,404363,317771,209296,96477,490528,362678,233807,117947,604089,466222,317082,135838,589604,424111,281144,138207,669224,463343,296510,146011,420467,256747,147957,69961,348481,259011,148951,72981,279842,110353,252697,99626,179132,75206,133168,53311,115240,47293,89667,40881,78232,--,57187,
主营业务利润(万元),12744,4980,21672,14419,6037,2298,25716,19351,12448,6369,30688,22431,13232,6497,28919,20221,12063,5642,28723,20409,12331,5215,26580,19501,11350,6140,30052,19848,11006,4857,33243,25158,17018,8737,41304,31727,19788,9889,37555,23828,15466,7666,34801,26361,16520,4252,37940,25679,16654,--,-53733,15180,17233,11955,37389,42416,35926,18989,90472,64593,45407,23375,54869,37747,23769,10905,69335,49593,27325,13348,52229,22113,47322,19947,38355,16515,32961,13342,9333,3146,3211,2611,78232,--,54453,
营业利润(万元),9036,6688,760,-1240,-4356,-2979,2502,2032,1393,1020,6729,4286,2276,860,4797,3786,1943,690,6624,4406,1403,-179,4943,3747,864,792,2049,-602,-2700,-1559,1413,3861,3062,2382,7814,6606,4318,2245,3922,2831,1895,1099,3733,5185,3880,759,4493,4733,4596,521,-106733,-28726,1070,891,-36411,-12503,-11716,2206,10547,4084,1217,2773,13576,15398,9657,4906,33790,25120,14416,0,19491,7579,20199,10089,15943,6509,9058,3497,9392,0,3326,0,78232,--,54453,
投资收益(万元),831,492,1295,974,988,590,2007,962,172,21,270,-723,-443,-100,1659,604,603,111,2860,2045,1400,708,1682,816,358,152,897,618,512,365,2421,1103,531,242,-272,-243,210,118,-420,-181,-68,1,3289,--,--,--,-15,--,0,0,-530,-91,-61,-30,-121,-91,-61,-30,-121,-91,-61,-30,-121,-404,-101,-30,-121,-91,-61,-30,-115,-54,-67,0,0,0,0,0,0,0,1934,14,0,--,0,
营业外收支净额(万元),2616,2543,387,305,243,25,267,431,305,163,940,506,429,120,811,472,311,223,800,1069,808,757,855,603,388,295,1438,441,126,98,1272,999,457,285,1360,1496,1045,494,2534,1770,971,366,2022,1005,277,--,0,--,--,--,-5193,0,0,0,-9363,0,0,0,-4507,0,0,0,1039,0,0,0,0,-3375,-52,0,-1334,0,-513,0,-1484,0,--,0,0,144,0,14,--,--,--,
利润总额(万元),11652,9231,1147,-936,-4113,-2954,2769,2463,1698,1184,7668,4793,2705,980,5608,4258,2254,912,7424,5475,2210,577,5799,4350,1252,1087,3487,-161,-2573,-1461,2684,4860,3518,2667,9174,8102,5363,2738,6456,4601,2867,1466,5755,6190,4157,980,9820,9500,6874,906,-112165,-23445,2417,949,-45631,-21072,-15951,4572,5925,3987,2354,2948,14508,17428,12191,4790,26547,21764,14367,6767,18646,7966,19986,10016,14681,5765,9114,3060,9214,3318,5250,2736,78232,--,6581,
净利润(万元),4729,3433,1183,-492,-2834,-2188,2608,1604,1107,680,4823,2991,1779,627,3678,2807,1511,800,5135,3876,1486,545,4707,3002,1043,758,2146,-222,-1938,-1077,976,3059,2255,1566,6437,5473,3695,1845,5276,3198,2016,927,4254,4003,2775,748,6712,6987,4824,666,-85109,-23967,182,292,-36526,-20774,-14418,2261,4042,2638,1110,2233,12362,14173,11308,4623,24029,20091,12815,5611,17041,7287,18399,9193,13251,5302,8148,2709,8324,3001,4646,2623,3839,--,6581,
