报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),-0.04,-0.02,0.01,0,-0.01,0,0.01,-0.01,-0,0,0.01,0.01,0,0,0.08,0.17,0.17,-0.01,0.11,0.05,0.03,0.04,0.13,0.12,0.12,0,0.05,0.04,-0.02,-0,0.01,-0.01,-0.01,-0,0.01,-0.01,-0.01,-0,0.26,0.34,0.18,0.34,0.25,-0.14,-0.09,-0.04,-0.78,-0.49,-0.44,-0.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.07,-0.06,-0.04,-0.03,-0.05,-0.05,-0.04,-0.04,-0.08,-0.08,-0.08,-0.07,0.01,-0.15,0,-0.34,0.47,0.52,0.57,0.61,0.89,0.94,1.11,1.38,1.9,2.27,2.26,2.24,2.27,2.25,2.23,2.21,2.21,1.76,1.71,1.59,1.52,1.73,1.64,1.51,1.45,1.36,2.17,2.06,1.98,1.8,1.57,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.01,0,0,-0,-0.01,-0.03,-0.01,-0.05,0,0,0,-0.01,0,0,-0,-0.01,-0.01,0,0.01,-0.02,-0,0,-0.01,-0.25,0,0,0,0.05,0,0,0,0.13,0,0,0,0.28,0,0,0,0.44,0,0.29,--,0.29,0.19,0.32,0.65,--,--,
主营业务收入(万元),3337,1974,12351,9570,7982,5726,25007,10203,10156,8723,36790,29522,19141,4638,14122,46581,35782,7670,32250,34077,21683,12106,36395,20573,1682,1665,7951,59,48,26,52,3,2,2,52,0,--,--,0,0,--,0,1113,868,560,527,5997,5152,3060,2026,23120,19830,13542,7929,28974,22179,14841,7963,52569,50107,33614,18102,52360,56330,38394,19843,46309,32904,21843,8967,29028,13919,28401,19708,14639,14219,
主营业务利润(万元),407,84,1501,524,508,572,310,1224,694,530,2694,2355,1528,722,481,6219,4436,-164,-390,-252,-155,-101,2173,934,390,483,1614,54,43,22,48,2,1,2,-13,0,0,0,0,0,--,-1,-1467,208,397,398,-3113,-2738,-2628,-191,2451,3051,2123,1835,6746,6241,4260,2216,17194,13636,9993,7129,22512,15986,10891,5824,18073,13096,8796,3824,11164,5960,10082,9419,6546,5980,
营业利润(万元),-2478,-1417,791,335,-526,115,1774,-343,-323,50,-945,369,122,56,-2331,4365,3119,-781,-3557,-2175,-1333,-656,-48,-304,-300,135,-672,-1330,-771,-326,-1512,-937,-525,-99,-2307,-748,-477,-218,-14856,-3052,-2948,23275,-57100,-10985,-6738,-3214,-57455,-36610,-32897,-20001,-32709,2618,1974,1011,2209,3745,2409,1188,11180,11915,9006,6681,18382,14066,9590,5286,13924,10478,6779,3101,8060,4714,7717,6517,4116,3143,
投资收益(万元),20,9,1965,1868,13,--,150,--,--,--,-346,-1,-1,--,1142,28,4,--,23,7,12,17,16,122,8,--,2,--,0,--,0,--,--,--,0,--,--,--,61883,61501,18944,23407,--,--,--,--,--,--,--,0,-5598,0,0,0,0,0,0,0,89,116,116,0,14,0,0,0,0,0,0,0,0,0,0,0,438,72,
营业外收支净额(万元),-39,-37,-47,-33,0,0,-80,15,2,2,428,-34,-27,-7,9804,10009,10086,4,10975,5353,3053,3468,13171,9376,9395,-1,4615,4039,-992,-5,1786,87,87,0,3005,-5,-5,-0,47818,27211,15793,694,94376,--,-1,-0,--,--,--,--,-1008,0,0,0,-11,0,0,0,15,0,0,0,22,0,42,0,5,6,6,0,-2,-8,41,0,0,0,
利润总额(万元),-2517,-1454,744,303,-526,115,1694,-328,-321,51,-518,336,95,49,7473,14374,13205,-777,7419,3178,1720,2812,13123,9071,9095,135,3944,2709,-1763,-332,275,-851,-439,-99,698,-753,-482,-219,32962,24159,12845,23968,37276,-10913,-6738,-3214,-57472,-36631,-32897,-20001,-39115,2613,1969,1011,2222,3730,2408,1191,11283,12015,9123,6680,18418,14169,9632,5331,13929,10483,6786,3087,8058,4706,7759,6444,4522,3135,
净利润(万元),-2442,-1417,738,315,-521,121,410,-318,-315,57,376,426,180,108,5887,12189,12015,-651,8028,3603,1933,2955,9481,8537,8602,73,3289,2732,-1570,-305,364,-843,-407,-82,170,-667,-431,-193,18601,24159,12845,23968,17640,-10016,-6235,-3018,-54756,-34752,-31316,-19129,-34351,2263,1699,1022,2031,3649,2350,1081,10513,10304,7525,5113,14305,11232,7675,4413,11530,8635,5562,2542,6610,3871,6517,5470,3849,2657,
