报告日期,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.07,0.04,0.14,0.08,0.03,0.19,0,0.04,0.24,--,0.05,0.44,--,--,--,
每股净资产(元),--,--,--,1.61,--,--,--,--,--,--,1.2,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,-0.06,--,-0.4,--,-0.25,-0.7,--,-0.11,0.68,--,--,--,
主营业务收入(万元),45327,21462,100084,49669,21769,106719,46570,24755,131835,53743,25581,166886,70631,64371,63510,
主营业务利润(万元),20310,10555,36062,19014,9246,47980,19670,10552,65298,27134,12221,98414,31897,10906,6081,
营业利润(万元),20310,10555,36062,19014,9246,47980,19670,10552,65298,27134,12221,98414,31897,10906,6081,
投资收益(万元),12892,5721,33526,16165,8114,27084,8422,3351,35220,15174,8517,10250,314,4941,608,
营业外收支净额(万元),420,33,3127,2026,-4,4323,576,283,2263,1456,2465,106,-6041,203,1213,
利润总额(万元),20731,10588,39188,21039,9242,52303,20246,10835,67561,28590,14687,98520,25856,11109,7294,
净利润(万元),18274,9255,34467,18531,8207,46315,17826,9484,58912,25056,12666,81599,18809,7958,5009,
净利润(扣除非经常性损益后)(万元),17904,9226,31725,16762,8211,42535,--,9236,59022,--,10529,81482,--,--,--,
经营活动产生的现金流量净额(万元),111542,321926,6349,-15497,-11853,-97340,-58228,-60888,-170047,-45314,-26751,126749,170403,-31404,28717,
现金及现金等价物净增加额(万元),140477,255489,-75655,48362,32067,-98691,-55709,-23700,-162590,-97361,-30285,239308,205792,-32963,25678,
总资产(万元),1556491,1763558,1187075,1267848,--,1451085,1608124,1293843,1437254,--,1805041,1798175,759540,379863,402937,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
总负债(万元),1048546,1253096,778439,875281,--,1076864,1247482,944769,1098563,--,1512643,1517728,591681,261844,292876,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股东权益不含少数股东权益(万元),507944,509182,407342,391242,--,372823,359183,347975,338691,--,292397,280446,167860,118019,110061,
净资产收益率加权(%),3.71,1.95,8.84,4.85,2.18,12.91,--,2.76,19.03,--,4.42,39.12,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
