报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.6,0.43,1.02,0.84,0.58,0.24,0.77,0.73,0.55,0.23,0.72,0.4,0.64,0.05,0.18,0.27,0.3,
每股净资产(元),--,--,--,--,--,--,--,--,5.67,--,5.12,--,4.39,--,3.76,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.61,--,0.07,--,0.74,0.64,1.6,-0.4,0.25,
主营业务收入(万元),83618,43452,136356,98375,65069,27098,94937,73683,49077,21212,63347,43648,54311,10727,46846,49949,42265,
主营业务利润(万元),42277,21990,61559,45832,30785,11652,44971,40188,28278,12149,37152,27096,27456,4322,20477,21638,18154,
营业利润(万元),36025,18615,42642,35589,24518,9896,25761,22331,16451,7350,15583,10296,10233,1096,4773,6592,8534,
投资收益(万元),651,771,2818,2196,1650,836,380,-297,-193,-37,206,274,169,-11,-359,3163,2,
营业外收支净额(万元),-320,44,-377,107,140,34,531,1052,716,23,5523,1334,9794,486,1710,1913,1571,
利润总额(万元),35705,18659,42265,35696,24658,9930,26292,23383,17166,7372,21106,11630,20027,1581,6483,8505,10105,
净利润(万元),31013,15847,37658,31062,21428,8665,23720,20773,15266,6483,19934,10998,17639,1399,5102,7452,8341,
净利润(扣除非经常性损益后)(万元),28318,14785,28167,22953,14822,5056,20376,19819,14613,6151,18025,--,11787,1040,3813,6824,7893,
经营活动产生的现金流量净额(万元),48113,10521,23691,13906,8073,-1710,41820,14323,16800,8815,2068,-3135,20320,17595,44150,-11159,6790,
现金及现金等价物净增加额(万元),16777,341,22199,-30,-745,2440,9026,87259,9213,6674,1425,2454,-1337,3935,-3902,4522,-1065,
总资产(万元),368187,369106,358720,342612,322481,317366,317606,327059,237208,--,216964,--,183429,159537,164648,218568,213554,
流动资产(万元),248046,255708,248893,239337,220863,216499,216531,227809,137819,--,117328,--,81591,60396,64947,114032,86762,
总负债(万元),68608,67492,72461,63693,53373,49864,58361,70995,80752,--,75731,--,62130,54186,60989,119643,94228,
流动负债(万元),34438,32688,38999,28607,25561,23912,28686,40669,52819,--,49870,--,39456,33428,40371,96935,76384,
股东权益不含少数股东权益(万元),299579,301613,286259,278919,269108,267502,259245,256064,156456,--,141233,--,121299,105351,103659,98924,119326,
净资产收益率加权(%),10.49,5.39,13.91,11.56,8.05,3.29,12.85,12.82,10.25,4.49,15.19,--,15.68,1.34,5.05,6.18,7.24,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
