报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2003-12-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,1991-12-31,
基本每股收益(元),-0.01,-0.01,-0.03,-0.02,-0.01,-0,-0.02,-0.02,-0.01,-0.01,-0.08,-0.02,-0.02,-0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-10.38,-10.31,-10.23,-10.15,-10.07,-9.99,-9.91,-9.83,-9.76,-9.68,-9.6,-9.52,-9.44,-9.36,-9.28,-9.2,-9.12,-9.04,-8.96,-8.88,-8.8,-8.72,-8.64,-8.56,-8.51,-9.07,-8.95,-7.19,0,-5.57,-5.44,-5.18,0,-4.04,-3.94,1.07,-5.54,-0.38,-0.23,0,0.07,0.87,1.16,2.27,2.55,2.55,2.44,2.81,2.69,2.43,2.28,3.17,2.92,2.79,2.15,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,--,-0,--,-0,--,-0,--,-0,--,-0,--,-0,--,-0,--,-0,--,-0,--,-0,--,-0,-0,-0,--,0,-0.01,0,-0,-0.01,0,0,-0,0,-0.01,--,0.05,0,0.29,0,0.07,--,0.26,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),0,0,0,0,-5,0,0,0,0,0,58,58,58,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,1053,1631,180,7585,6682,13241,3528,21829,13808,20680,10224,33787,13700,12454,9767,24059,9789,21782,6608,1831,
主营业务利润(万元),-0,0,0,0,0,0,0,0,0,0,49,49,49,-28,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,-502,-249,98,-345,1426,-1186,-124,5576,4130,5713,2359,6147,2316,5737,4480,10195,3993,8012,0,0,
营业利润(万元),-221,-112,-520,-381,-158,-39,-437,-300,-246,-99,-1493,-394,-316,-241,157,-2774,-1911,-957,-3839,-2868,-1913,-959,-3774,-2883,-1925,-965,-3841,-2881,-1921,-962,-3766,-2890,-1928,-967,-3862,-2883,-1922,-962,-4454,-3765,-2712,-1356,-1371,-5481,-4659,-3015,-12649,-5454,-4136,-2890,-404,-2903,-6036,-4055,0,-10832,-3233,-12591,-3035,1033,952,5853,0,6202,0,5807,0,10312,3650,8139,0,0,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,9500,9500,9500,0,-18894,-58,-39,0,-1437,-43,-1384,-78,-139,11,212,-7,48,2,410,-115,-506,115,228,3382,1021,
营业外收支净额(万元),-4,-4,-0,-0,-0,--,0,--,--,--,--,--,--,--,-0,--,--,--,--,--,--,--,-0,-0,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,6455,6455,--,--,0,0,0,0,-0,0,-0,-0,0,-5433,2,0,-3,-1408,0,-2189,0,--,0,0,-47,0,623,0,0,0,--,--,--,--,
利润总额(万元),-226,-116,-520,-381,-158,-39,-437,-300,-246,-99,-1493,-394,-316,-241,157,-2774,-1911,-957,-3839,-2868,-1913,-959,-3774,-2883,-1925,-965,-3841,-2881,-1921,-962,-3766,-2890,-1928,-967,-3862,-2883,-1922,-962,2001,2691,-2712,-1356,-1371,-5481,-4659,-3015,-12649,4045,5364,6610,-404,-27231,-6092,-4106,0,-13677,-3827,-16163,-3790,843,944,5777,2358,5948,3129,5507,4457,9899,4108,7035,2529,1044,
净利润(万元),-226,-116,-520,-381,-158,-39,-437,-300,-246,-99,-1493,-394,-316,-241,157,-2774,-1911,-957,-3839,-2868,-1913,-959,-3774,-2883,-1925,-965,-3841,-2881,-1921,-962,-3766,-2890,-1928,-967,-3862,-2883,-1922,-962,2001,2691,-2712,-1356,-1371,-5481,-4659,-3015,-12649,4045,5364,6610,-404,-27231,-5381,-3587,-1405,-12071,-3470,-14432,-3385,724,697,3425,1204,2735,1432,2283,1789,4334,3449,3039,1780,799,
