报告日期,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),--,--,--,--,--,
每股净资产(元),4.03,2.59,2.59,3.72,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,
主营业务收入(万元),1678,364,2569,31726,9742,
主营业务利润(万元),39,-397,1413,0,0,
营业利润(万元),44157,-397,1408,18087,6284,
投资收益(万元),3015,496,78,4745,0,
营业外收支净额(万元),0,0,0,0,0,
利润总额(万元),57093,67,7696,22768,7595,
净利润(万元),48529,38,7296,21061,7595,
净利润(扣除非经常性损益后)(万元),--,--,--,0,--,
经营活动产生的现金流量净额(万元),--,--,--,--,--,
现金及现金等价物净增加额(万元),--,--,--,--,--,
总资产(万元),309002,138580,135536,113849,32267,
流动资产(万元),72964,46877,47140,39974,19622,
总负债(万元),45768,27220,24213,24808,2370,
流动负债(万元),43982,25434,22427,23022,584,
股东权益不含少数股东权益(万元),225622,111360,111322,89041,29897,
净资产收益率加权(%),0,0,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
