报告日期,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.1,0.1,0.08,0.03,-0.2,-0.1,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,1.99,1.86,1.79,1.76,1.97,2.03,2,1.97,1.91,1.78,3.49,3.31,0.26,0,0,
每股经营活动产生的现金流量净额(元),--,0.12,0.16,0.05,0.33,0.3,0.2,0.22,0.01,0.02,0.23,0.19,0.15,0.09,--,--,
主营业务收入(万元),323576,292510,277239,224236,183292,162670,124936,91796,84514,68045,47987,38334,36697,32986,38366,30540,
主营业务利润(万元),43761,37729,32070,25436,15272,18691,20075,18672,20543,21449,16175,14923,12371,10689,9830,11161,
营业利润(万元),1514,3429,2950,800,-10620,-7685,3459,5510,7268,8187,8018,7492,5715,4549,5091,4988,
投资收益(万元),--,--,3,--,--,--,-166,-290,-53,-49,-2,0,0,--,0,3,
营业外收支净额(万元),3106,1823,2058,1078,1283,3442,182,-28,-39,-79,-22,-13,44,29,0,0,
利润总额(万元),4620,5252,5008,1878,-9337,-4243,3484,5197,7188,8068,7996,7479,6388,5711,6036,5797,
净利润(万元),4193,4007,3173,1049,-8396,-4064,2191,3275,4724,5424,5448,5404,4200,3891,4133,4145,
净利润(扣除非经常性损益后)(万元),1722,2640,1512,259,-9234,-6382,-245,2878,4330,5366,5461,4669,3527,--,--,--,
经营活动产生的现金流量净额(万元),1038,5069,6650,1997,13801,12464,8517,9192,530,676,9802,4003,3182,1316,--,--,
现金及现金等价物净增加额(万元),8837,-7327,8738,-1916,-14966,5564,486,3902,-9033,3780,-10970,-15483,43989,1355,--,--,
总资产(万元),391529,337161,306172,311940,290508,261492,224895,196169,166179,130162,114197,102615,112071,63942,51309,43289,
流动资产(万元),224231,187678,177558,181078,154031,121099,113567,105982,85750,71189,54102,0,0,31122,23889,21071,
总负债(万元),294147,243749,223107,231552,211509,173159,133739,106248,76525,46535,36310,31076,42549,41343,35399,30527,
流动负债(万元),293710,243254,217529,216515,193941,168642,133222,87246,54314,33135,36310,0,0,31422,30029,24439,
股东权益不含少数股东权益(万元),87572,83424,78263,75130,74129,82788,85461,84109,82934,80311,74886,71538,69522,22598,15910,12761,
净资产收益率加权(%),4.9,4.96,4.14,1.4,-10.68,-4.79,2.58,3.92,5.71,6.81,7.34,7.66,17,--,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
