报告日期,2018-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,-1.67,-1.43,1.16,2.13,2.22,1.99,1.91,2.19,2.39,1.31,1.14,1.09,
每股经营活动产生的现金流量净额(元),--,-0,0,-0.46,-0.87,0.03,0.89,-0.02,--,--,--,--,--,
主营业务收入(万元),--,993,433,6220,3911,10785,22460,4306,5564,9545,2829,2485,2232,
主营业务利润(万元),--,902,-9,1247,2389,5698,8301,2469,4493,1383,684,--,--,
营业利润(万元),--,-3358,-33925,-5263,251,3182,4212,1913,5331,1383,684,--,--,
投资收益(万元),--,-19,-2619,-9890,-854,-847,196,1756,560,1825,321,--,--,
营业外收支净额(万元),--,-198,-2233,-4,-14,1054,-49,0,0,0,253,--,--,
利润总额(万元),--,-3574,-38777,-15158,-617,3389,4363,3701,5869,3423,1257,--,--,
净利润(万元),--,-3574,-38780,-14514,-1369,3384,3547,3135,3895,2838,1076,1133,1238,
净利润(扣除非经常性损益后)(万元),--,-3427,-36738,-9353,-2305,2330,2199,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),--,-52,65,-6835,-13090,454,13337,-271,--,--,--,--,--,
现金及现金等价物净增加额(万元),--,-4,-1206,-6864,5178,2395,-7223,10374,--,--,--,--,--,
总资产(万元),99,2722,6390,47807,60946,41457,50393,50726,37271,30365,18386,--,--,
流动资产(万元),0,587,3806,--,0,0,0,31419,25342,23791,15871,--,--,
总负债(万元),46237,27684,27778,28329,26490,7294,18787,21355,8083,8780,9106,--,--,
流动负债(万元),46237,27684,27778,--,0,0,0,21355,7333,8675,8648,--,--,
股东权益不含少数股东权益(万元),-46138,-24963,-21388,17392,31906,33219,29835,28554,25188,21192,8989,7848,5441,
净资产收益率加权(%),--,0,0,-58.88,-4.21,10.73,0,10.98,--,0,--,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
