报告日期,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.03,0.44,--,--,--,--,--,--,--,--,
每股净资产(元),3.53,3.5,3.24,2.56,2.47,4.26,3.66,3.26,2.98,2.91,
每股经营活动产生的现金流量净额(元),-1.31,1.01,0.06,0.8,0.38,1.1,0.65,0.09,0.07,-0.62,
主营业务收入(万元),1713360,1460910,778162,751527,634902,420091,276740,219891,263393,198158,
主营业务利润(万元),95103,117653,100842,79540,90966,76687,39160,30488,31909,26322,
营业利润(万元),2846,48260,43559,27107,38151,30358,12383,11629,11430,9130,
投资收益(万元),2061,2898,1884,798,188,2,0,0,9,0,
营业外收支净额(万元),--,--,-91,-203,-790,-1636,-150,0,0,0,
利润总额(万元),1098,47879,45353,27702,37549,28723,12233,11420,11002,8558,
净利润(万元),2808,43361,36546,19396,27724,22752,8201,7590,7339,5702,
净利润(扣除非经常性损益后)(万元),4058,43189,36541,19425,27454,23443,7942,0,0,0,
经营活动产生的现金流量净额(万元),-129091,99084,5681,61081,29013,42009,24826,2422,0,0,
现金及现金等价物净增加额(万元),6134,82948,95817,46799,9834,-21828,42604,5771,0,0,
总资产(万元),2116148,1246077,1052582,677591,620257,423174,398535,272837,238929,231485,
流动资产(万元),647309,438068,367298,198991,191977,127767,--,0,0,0,
总负债(万元),1754592,890674,724051,459135,416909,243143,251241,181498,155406,150003,
流动负债(万元),1422741,709244,599171,436135,339454,168688,--,0,0,0,
股东权益不含少数股东权益(万元),346251,343287,317908,194617,187866,162044,139293,91340,83523,81482,
净资产收益率加权(%),0.81,12.96,15.57,10.21,15.89,14.73,7.32,8.68,8.62,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
