报告日期,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),0.64,0.94,-0.18,-0.07,0.25,0.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),3.39,6.56,2.48,2.63,2.69,2.44,2.34,1.99,1.65,1.98,1.59,1.22,1.16,1.44,3.15,2.75,3.52,2.81,2.3,2.2,
每股经营活动产生的现金流量净额(元),--,3.08,0.71,-0.16,1.92,0.53,0.69,0.92,0.85,1.12,1.48,0.42,0,0.02,-0.64,--,--,--,--,--,
主营业务收入(万元),479158,508217,159692,47864,182136,95326,21900,21759,21765,22596,18808,5950,5469,4961,7336,9040,7513,5273,4396,3846,
主营业务利润(万元),117591,113887,3841,14569,18251,18679,15347,14303,15306,14683,12968,1488,533,481,2367,1433,1628,1082,860,630,
营业利润(万元),134585,99979,-8004,-3816,8463,12157,13917,13096,14804,12121,11943,1530,-3271,-4890,393,1546,2480,1397,1108,733,
投资收益(万元),5822,10050,592,466,238,-225,-407,-89,-401,57,-573,5,408,-531,-215,1006,860,1097,1578,1713,
营业外收支净额(万元),-127,-3609,385,496,-2280,--,3,-5,-5,-2,0,-10,152,-307,--,0,0,-30,0,0,
利润总额(万元),134458,96370,-7619,-3320,6183,12241,13513,13002,14398,12176,11370,1524,-2711,-5728,135,2581,3431,2464,2712,2458,
净利润(万元),64205,47609,-2684,-994,3696,4560,5241,5019,5549,3959,3664,282,-2711,-5728,114,2193,2918,1953,1987,1894,
净利润(扣除非经常性损益后)(万元),22038,4372,-2914,-1187,3794,4636,5150,5085,5514,3890,4857,292,-2870,0,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),96455,155351,10661,-2370,28919,7989,10415,13896,12865,11281,14923,4229,14,167,-6414,--,--,--,--,--,
现金及现金等价物净增加额(万元),-61426,22320,9816,3138,15917,-16958,10713,12766,9611,10946,9330,2580,-19,7,-51,--,--,--,--,--,
总资产(万元),1299322,1374118,201989,210310,240418,219036,64966,56255,45738,38942,33824,27588,32476,31584,48226,39240,38815,26438,27551,20476,
流动资产(万元),291941,320353,106721,104355,123660,90586,56464,45948,33907,23774,0,0,10105,0,32948,25719,24857,18522,19885,16114,
总负债(万元),817633,875332,150912,148526,171871,153318,7728,7933,5977,5427,7960,8704,20822,17116,16562,13739,15436,15677,18505,11831,
流动负债(万元),221919,273479,150912,148526,171782,151912,7728,7933,5977,5427,0,0,19806,0,15829,5438,6969,8261,11620,10044,
股东权益不含少数股东权益(万元),342132,331023,37441,39687,40477,36781,35209,29968,24947,19900,15942,12278,11655,14468,31664,25501,23308,10688,8735,8344,
净资产收益率加权(%),18.39,15.83,-6.92,-2.47,9.57,11.55,16.08,18.28,24.75,22.09,25.97,2.33,-20.75,-39.59,0.39,--,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
