报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),-1.15,-0.02,-1.62,-1.95,0,-0.15,-0.03,-0.01,0,0.01,0.06,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,2.06,2.07,2.48,1.74,1.68,1.56,1.51,1.43,1.33,1.36,1.3,1.82,1.68,1.6,1.83,1.49,2.39,1.6,1.52,1.15,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,-0.21,-0.26,0.05,-0.12,-0.49,0.53,0.34,0.63,0.05,0.05,0.26,0.02,-0.79,0.26,--,--,--,--,--,--,
主营业务收入(万元),144,863,989,778,783,41979,87141,148483,208822,34970,11556,6948,15703,47376,27662,23042,24260,19456,28993,23872,20956,10973,8027,9967,6900,9489,3735,
主营业务利润(万元),-389,-1952,-1626,-1691,-2388,-1302,370,2782,4839,1745,787,663,8735,14729,13159,8176,9093,6036,9866,10017,9537,2100,1668,1197,1333,1540,144,
营业利润(万元),-84797,-3596,-61064,-160420,-3873,-8593,-8021,-1268,245,216,-321,2967,5557,9762,7223,958,2302,5754,6350,6974,4728,2128,1668,1274,1357,1540,149,
投资收益(万元),-48222,--,--,-85149,--,--,351,5,498,--,--,4608,-1057,-1093,-466,-40,52,44,53,--,-7,13,73,88,2,2,0,
营业外收支净额(万元),-87319,63,-181312,-134906,4851,-14412,2893,-405,290,381,5154,--,0,-614,576,-157,-10,224,2001,644,--,-2,0,0,--,--,--,
利润总额(万元),-172116,-3533,-242376,-295326,977,-23004,-5128,-1673,535,597,4833,3750,4522,8139,7524,780,2345,6022,8404,7618,4676,2166,1741,1548,1346,1520,124,
净利润(万元),-172016,-3068,-241984,-291355,576,-22571,-4449,-1858,264,498,3528,2513,2418,4555,4535,523,1571,5118,7152,6307,3975,1842,1490,1154,902,1486,83,
净利润(扣除非经常性损益后)(万元),-84689,-3120,-60670,-158062,-7259,-8157,-6501,-1461,41,249,99,-1030,2413,4910,4021,628,1578,2392,4121,4762,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-73,8,-102,-4352,-1923,-80997,49665,-31184,-38250,6068,-6931,-27413,29993,18921,35130,2557,2764,14359,894,-29674,3378,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-79,7,-102,238,-1710,-83892,70875,-75667,-56484,136567,-361,5664,-17777,12382,173,743,-596,10373,-693,-716,1055,--,--,--,--,--,--,
总资产(万元),5942,187004,189395,248197,425857,422417,415954,442527,437357,347743,145606,152146,191547,145171,148643,103993,102130,111243,91180,81718,54588,23007,20779,19710,10064,9316,7191,
流动资产(万元),5553,95606,96575,152847,218530,213144,204885,220927,249105,192888,28151,29180,45297,80147,85615,64584,--,--,0,41006,18912,10816,9508,10376,5010,4939,3755,
总负债(万元),454858,456073,454985,271410,155526,130673,101625,121285,113339,23852,17277,27176,68642,53544,62265,29129,25953,38105,22918,18766,33477,5740,6735,7179,3424,4466,3516,
流动负债(万元),93936,99196,98108,93712,138113,114159,100735,121270,113339,23852,16760,25979,63684,51068,60015,26253,--,--,0,14904,31523,5580,6485,5444,1979,2976,2123,
股东权益不含少数股东权益(万元),-448917,-276436,-273368,-31384,259964,281825,303974,307603,309461,309197,97585,94034,87740,84470,79915,74864,76177,73137,68262,62952,21111,17267,14044,12531,6640,4850,3675,
净资产收益率加权(%),--,--,--,0,0.22,-7.71,-1.46,-0.6,0.09,0.51,3.68,2.72,4.05,5.54,5.88,0.86,2.09,7.25,10.75,--,20.71,--,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
