报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),0.08,0.08,0.57,0.02,0,-0.02,-0.2,-0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,-0.6,--,--,-1.05,-1.24,-0.89,-0.55,0.28,0.46,1.16,0.85,0.66,0.65,1.64,2.48,2.59,2.71,1.71,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.01,-0.01,-0.03,0,-0.18,-0.02,0.02,--,--,--,--,--,--,--,--,
主营业务收入(万元),3458,4159,5371,1473,0,0,0,150,2549,181,413,418,3622,311,1253,11382,19146,46323,48811,36146,11403,3213,2962,
主营业务利润(万元),2185,2825,3551,680,0,0,0,130,864,29,-244,-18,976,45,147,-7391,-6331,175,189,1052,334,119,98,
营业利润(万元),1608,1496,3105,351,39,-322,-2761,-689,763,-11584,-2707,-7057,2350,-182,-3359,-6263,-4634,270,0,1496,824,119,98,
投资收益(万元),--,--,--,--,200,--,--,--,--,0,69,-216,-62,642,2959,-6153,-7116,753,573,1318,0,0,0,
营业外收支净额(万元),-7,-46,5111,137,--,--,--,-2,-15,-66,86,-608,696,1619,0,0,0,0,147,-9,--,--,--,
利润总额(万元),1602,1450,8215,488,39,-322,-2761,-691,748,-11650,-2552,-7881,2984,2079,151,-13889,-11819,929,1223,2811,781,100,85,
净利润(万元),1176,1093,8044,332,39,-322,-2761,-691,127,-11029,-2552,-7881,2984,2079,151,-13882,-11814,657,402,2378,664,100,85,
净利润(扣除非经常性损益后)(万元),1178,1137,2933,195,-161,-322,--,-690,142,-10963,-2707,-8269,1635,-426,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),2393,-635,2499,-209,3,0,--,-1,-161,-116,-389,30,-2462,-222,215,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),83,-2463,2405,-212,0,0,0,-1,-8,-148,75,-25,-235,-557,0,--,--,--,--,--,--,--,--,
总资产(万元),12415,9894,6088,1090,3,0,0,2069,4708,9558,19994,22273,31569,25418,33905,32186,43007,55090,54806,42811,18987,--,--,
流动资产(万元),12364,9820,5999,1084,0,0,0,1327,3663,8463,--,0,0,0,12732,13496,17368,27786,24499,21848,4695,--,--,
总负债(万元),8654,7307,4595,9513,14995,15031,14708,19501,17126,17302,16068,15567,15356,13496,24794,22923,19854,20118,20033,11938,7019,--,--,
流动负债(万元),8654,7307,4595,9513,14313,14349,14027,18820,17126,16693,--,0,0,0,24783,22913,19845,20109,16078,7692,2923,--,--,
股东权益不含少数股东权益(万元),3757,2581,1489,-8423,-14992,-15030,-14708,-17432,-12418,-7743,3926,6426,16213,11922,9112,9088,22970,34784,34581,30682,11967,--,--,
净资产收益率加权(%),37.1,53.69,--,--,--,--,--,--,0,0,-49.05,-76.38,20.27,0,--,--,0,0,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
