报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-6.69,0.26,0.33,0.42,0.14,0.11,0.17,0.08,0.58,0.02,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,2.2,1.41,0.83,0.69,0.68,0.58,0.86,1.16,0.97,1.67,2.25,2.52,2.79,2.85,4.4,3.94,2.89,2,1.68,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,1.18,0.43,-0.18,0.36,0.2,0.09,0.03,0.44,0.04,0.11,0.04,0.07,2.79,-0.23,--,--,--,--,--,
主营业务收入(万元),472428,681487,635867,515602,37916,38122,37807,58262,26544,20724,20483,17952,17733,18091,6445,15145,23739,40192,56741,60796,66959,51476,47031,38394,48871,46833,
主营业务利润(万元),23372,49042,51490,36046,12862,12101,10930,9850,9654,8081,7470,6611,5955,5919,1520,3113,5726,6900,10144,10485,15099,5297,3695,2448,4866,4593,
营业利润(万元),-413385,22680,28237,21006,6140,5172,6300,5918,1910,68,272,-4305,-5803,-5421,-4672,-10825,-13484,-4749,-228,734,6331,5920,3935,2800,4866,4593,
投资收益(万元),-1123,2485,-2533,2121,60,16,148,104,0,0,--,0,-334,-364,478,-3631,-120,-149,542,-107,24,828,843,49,39,83,
营业外收支净额(万元),727,87,-74,11388,11,74,701,-1834,14849,39,--,--,-671,-1295,1934,-1532,-369,-283,145,-22,0,0,0,0,--,--,
利润总额(万元),-412658,22766,28162,32394,6151,5246,7000,4084,16759,107,250,604,-6808,-7080,739,-15988,-13973,-5180,458,605,6578,6747,4763,2840,4824,4598,
净利润(万元),-413134,16360,20541,23354,4519,3640,5469,2699,14051,486,500,382,-6812,-7034,775,-15919,-13973,-5180,313,449,5526,5742,4050,2422,3237,3081,
净利润(扣除非经常性损益后)(万元),-413759,15840,23300,8631,4484,2783,4942,3471,1616,447,522,-4527,-6218,-5733,-9198,-15294,-13685,-4752,-302,511,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),19429,-167337,-13818,3003,-13779,11112,5248,38283,10511,-4412,8852,4987,2150,740,10786,1149,2752,985,1590,-3189,-5144,--,--,--,--,--,
现金及现金等价物净增加额(万元),-4272,-1004,-76994,38797,-15673,7869,9395,46109,-2085,-5230,6513,1207,-690,-656,1278,-151,-370,-3548,2351,-2810,-614,--,--,--,--,--,
总资产(万元),144329,578548,508987,361535,120429,122079,118381,109178,68064,72452,79582,75371,78851,83764,86969,74999,90393,90806,107083,110575,109796,83416,52538,30500,22641,22975,
流动资产(万元),101241,493868,424388,320236,73494,71327,64709,58921,15026,19079,25323,20733,24147,27436,27100,36897,--,0,0,0,54875,33219,14666,7688,7287,10230,
总负债(万元),253781,273776,216857,84720,33556,38445,35781,37365,33551,51773,62358,58340,64791,62692,58597,51415,49784,36096,45750,48751,46490,26164,12354,8824,7606,6874,
流动负债(万元),202536,159018,113359,82961,32234,37019,35095,34056,32386,48545,55264,52195,64791,62692,58597,51415,--,0,0,0,44370,12841,9489,8674,5972,5450,
股东权益不含少数股东权益(万元),-110117,302931,290276,274676,84630,81407,80238,71578,34231,20329,16721,16459,14053,21067,28365,23575,40610,54710,61334,61711,63092,57252,40184,21676,15036,16101,
净资产收益率加权(%),0,5.48,7.26,10.5,5.44,4.51,7.26,4,51.35,2.4,3,2.32,-38.79,-28.49,2.98,-49.31,-29.28,-9.02,0.51,0,9.18,--,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
