报告日期,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,
每股净资产(元),2.36,1.49,2.33,2.28,3.38,2.86,2.54,2.26,2.42,3.67,
每股经营活动产生的现金流量净额(元),2.44,2.17,-0.05,-0.4,-0.13,--,--,--,--,--,
主营业务收入(万元),872259,276902,93223,33440,40282,54188,60134,68720,56933,61013,
主营业务利润(万元),240914,86538,21661,3584,10522,5142,3978,7759,10169,5234,
营业利润(万元),115489,20613,2307,-18655,1223,5345,4242,7959,10169,5234,
投资收益(万元),-2032,653,630,-321,-1175,171,1158,385,229,428,
营业外收支净额(万元),-11675,-5701,68,-162,--,0,0,0,0,0,
利润总额(万元),104260,15565,3005,-18183,919,6734,9646,9224,10240,5653,
净利润(万元),27639,2154,2632,-17984,304,4843,7440,8075,9021,4981,
净利润(扣除非经常性损益后)(万元),36116,7855,2632,-17984,--,--,--,--,--,0,
经营活动产生的现金流量净额(万元),45961,40829,-1003,-7476,-2461,--,--,--,--,--,
现金及现金等价物净增加额(万元),40874,29208,4729,-13374,16681,--,--,--,--,--,
总资产(万元),491497,186391,109089,68079,86945,67952,69619,66535,53959,49803,
流动资产(万元),--,0,0,0,70041,48712,51334,49400,38655,41535,
总负债(万元),334120,132534,58954,23685,22373,22147,29779,31582,19456,23669,
流动负债(万元),--,0,0,0,21095,20709,28925,30823,19456,23669,
股东权益不含少数股东权益(万元),44299,28098,43753,42800,63644,44736,39839,35454,34503,26134,
净资产收益率加权(%),76.35,7.71,6.08,0,0.68,--,0,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
