报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),--,0.28,0.12,0.21,0.25,0.19,0.23,0.22,0.27,0.23,0.29,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,3.52,3.53,3.58,3.09,3.46,2.8,2.86,2.8,2.68,2.51,2.5,2.46,2.3,1.52,1.47,1.37,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,0.3,0.31,0.29,0.29,0.32,0.31,0.29,0.33,0.26,0.25,0.26,0.28,0.18,--,--,--,
主营业务收入(万元),100228,102097,93267,70923,66415,63193,71446,95012,81692,80385,80142,78767,73454,67843,49621,44416,39538,35577,30373,25540,22801,20470,
主营业务利润(万元),52924,50558,37941,32014,34415,25433,34040,35429,35692,33684,46074,40086,37253,42627,28818,28496,26977,23952,18150,16364,13249,11920,
营业利润(万元),47086,39261,16325,30842,35222,24594,31983,32046,37351,33814,45768,35587,33824,36940,24844,23784,23562,21987,16792,11362,12678,9101,
投资收益(万元),3626,1255,655,2766,3463,3575,1230,1525,5339,2235,6006,1440,2331,308,450,-1250,-1617,6087,0,0,0,0,
营业外收支净额(万元),491,33,4993,463,667,1223,380,425,-120,-8,--,-41,1,-4,1,-129,-50,0,337,--,--,--,
利润总额(万元),47577,39294,21319,31305,35889,25817,32362,32471,37231,33806,45768,36985,36156,37244,26045,24981,21896,28074,17129,11430,12755,9121,
净利润(万元),37719,30001,13580,22752,26962,20260,24803,24257,28986,25199,31214,25057,24149,24249,17557,17348,16132,28074,16463,11430,12755,9121,
净利润(扣除非经常性损益后)(万元),--,29921,11264,22024,25611,18608,24950,24113,26476,26407,31214,23734,23292,24218,16608,16434,18628,22796,16127,--,--,--,
经营活动产生的现金流量净额(万元),94994,53536,31631,41681,23062,32219,32828,33210,32086,31068,35339,33835,31347,36131,28243,26743,28056,30258,19468,--,--,--,
现金及现金等价物净增加额(万元),22415,-6840,6117,-78579,-26254,-18204,11,11925,20609,-5777,17300,7963,15216,11132,19270,-36930,-11760,13222,91951,--,--,--,
总资产(万元),570495,594035,622753,626206,466216,425161,408425,412905,421990,352397,409060,322846,325192,318069,305294,295844,339461,329516,308921,199855,202460,207409,
流动资产(万元),147132,159758,156785,137460,206725,161046,189999,182188,163100,139417,140462,131695,119887,104822,84046,0,0,--,0,1099,23,3,
总负债(万元),69276,99576,142607,161117,27347,27502,19634,25615,29819,13631,29605,14717,11302,10888,11125,19429,64707,61856,58366,85926,92149,104888,
流动负债(万元),36153,80011,122140,128445,22301,23562,15415,16309,13277,10755,10616,14717,11302,10888,11125,0,0,--,0,40511,32213,11381,
股东权益不含少数股东权益(万元),492167,464914,446361,433663,410578,391205,383972,385293,390329,336836,377334,305426,311745,305036,291688,273860,272858,267660,250554,113929,110311,102521,
净资产收益率加权(%),--,6.58,3.09,5.4,6.74,5.19,6.44,6.26,8,6.66,9.91,8.22,7.83,8.13,6.04,6.16,5.85,10.76,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
