报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.36,0.55,0.66,0.44,0.53,0.63,0.48,
每股净资产(元),--,--,--,--,--,3.84,--,
每股经营活动产生的现金流量净额(元),--,--,1.34,0.91,-0.09,0.43,0.59,
主营业务收入(万元),77174,80768,70815,82167,73605,111380,101345,
主营业务利润(万元),37356,40991,38289,42441,39161,46252,40215,
营业利润(万元),21999,28076,32478,22405,25745,26655,22776,
投资收益(万元),1883,-88,10060,--,7108,20,3,
营业外收支净额(万元),430,1256,2799,854,697,3417,197,
利润总额(万元),22430,29332,35278,23260,26442,30072,22973,
净利润(万元),16824,21932,26286,17548,21006,25252,19333,
净利润(扣除非经常性损益后)(万元),15005,20893,18547,17497,14165,22977,19156,
经营活动产生的现金流量净额(万元),9380,6411,53728,36484,-3491,17006,23722,
现金及现金等价物净增加额(万元),30636,5650,4475,22244,-873,-12848,8169,
总资产(万元),570057,391453,356869,375620,362163,344399,320010,
流动资产(万元),226595,89638,75035,104634,52643,46382,58242,
总负债(万元),247127,162117,151320,196366,200018,185590,186372,
流动负债(万元),154018,68977,85838,124332,115848,112023,100564,
股东权益不含少数股东权益(万元),302459,222306,200374,174088,156541,153516,128264,
净资产收益率加权(%),5.79,10.38,14.04,10.61,14.39,17.92,16.3,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
